evaluator,record_id,triple_key,metric_canonical,raw_score,source_file,source_row_index,alignment_method,parse_note
GPT-4o,68a0267b4bbc92d914b826dab06c3d9dbb1a94d0,4be96dbd84da005ea3baed2c761b645785055406,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,77,record_id,empty
GPT-4o,d3b62e4922934a331ee467af58956ba7bdc0c1e7,850fb1fea387c1b90d05aaa9d84d2165fad0e110,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,86,record_id,empty
QwQ-plus,b0928be835fcdfce40f01c966480287812bc07bb,486f8942111aaa0286f7d9c718f06d0c7e68e7c6,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,141,record_id,empty
GPT-4o,10884df0656f2d19b1053d36c2ba4f8d6dcd06a0,edfacd7e2ac230f5eff0a14e8a584ac2afb2a82d,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,165,record_id,empty
GPT-4o,61a57b8cd57e43a156a1c449cd6e44d5ac6cf37a,ed123165b26ea96aef798b296a0c193618371e10,"Motivation, Guidance & Positive Feedback",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,198,record_id,empty
GPT-4o,ee70eb52ee54fac3fa00cb1c19c9e7042e2fc1d6,b80c41d0851138f3fdce33b9cd1e983a9fbf70ce,Error Identification & Correction Precision,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,287,record_id,empty
GPT-4o,59072e1bc4f4cb210b7f23e24e04578accc3a866,90d0f59cc2a4cf23f73ceb40c0e52733b27f7f2c,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,288,record_id,empty
GPT-4o,e6d9f3adf35a70aae9f9bb908942fddee7c8dc75,6514a7ad4461fa520c35d8cd1f404cd3f701f91f,"Motivation, Guidance & Positive Feedback",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,289,record_id,empty
QwQ-plus,d7dfad3fc42945cc563185c1a18e2e2af3b22a5a,c766e654ff43b008e4346a84c77e3f02f2c23315,"Motivation, Guidance & Positive Feedback",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,328,record_id,empty
GPT-4o,2914def2f0914b30d799f0286744ac2a12b03847,4719a5301275b32a44754e1aa8c9757aa1814b93,Reasoning Process Rigor,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,376,record_id,empty
QwQ-plus,1da096cd444a177d19e7514b433d54bbad4dfcfb,02e024fc6aa78512113a8ac315bbfdf6f3dc604d,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,724,record_id,empty
QwQ-plus,4250d211e17fd1aa5272ffabf2708587fd06e66b,c47ac2fd9a206b3f115affa535d9f2a377d4059b,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,725,record_id,empty
QwQ-plus,266f5f751c7cdd83dd3439677156a79c5bdefee9,8e4328ab9fafe727b5fedbb670ab78b5d850ee45,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,776,record_id,empty
GPT-4o,a0e08be6e4e119d7ceb2994be2b3460f7a35869a,519ff02fd5f44fc381d12d3f59a1fe11f5b3691a,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,876,record_id,empty
GPT-4o,0e02bd863554bbd67bdb44ef1f4ca3d8f75efbf9,9767b2dbba49be9ecd95a3954c813cd75171db06,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,884,record_id,empty
GPT-4o,e31f8716b70763dbc5847120c5dc7d8e285bed56,1f5fe67b68c48c911532a5f15be3aa8ce7581312,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,907,record_id,empty
GPT-4o,c214c2c703b40f343bd11359a52f9c8f11993750,6acaff7369a07ebd606330db899135526b92b84c,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1165,record_id,empty
QwQ-plus,e764c9e506fcfaa57f7987ca4450f4b3534d393f,397999e9c4aa1e83f0194da7bdeab2395ceeeba8,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1176,record_id,empty
GPT-4o,4ede1868371af9197570c1b9fb4476716019bc74,d920245e532894c9a19c68898c7e74a613a7c737,Error Identification & Correction Precision,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1282,record_id,empty
