seed,variant,treatment_MAE_human_mean,consensus_MAE_human_mean,delta_MAE_human_mean,treatment_Exact_rounded,consensus_Exact_rounded,delta_Exact_rounded,treatment_Kendall_human_mean,consensus_Kendall_human_mean,delta_Kendall_human_mean
42,orthogonal_only,0.3795180722891566,0.39508032128514053,-0.015562248995983907,0.7183734939759037,0.7243975903614458,-0.0060240963855421326,0.6102208434928242,0.5774646699159056,0.032756173576918624
43,orthogonal_only,0.39708835341365456,0.4141566265060241,-0.017068273092369524,0.7153614457831325,0.7123493975903614,0.003012048192771122,0.5598998000708792,0.5463949601703378,0.01350483990054141
44,orthogonal_only,0.3694779116465863,0.37901606425702805,-0.009538152610441775,0.7364457831325302,0.7319277108433735,0.004518072289156683,0.6151064903788216,0.5931291635643675,0.02197732681445408
45,orthogonal_only,0.3965863453815261,0.4231927710843373,-0.026606425702811187,0.7198795180722891,0.7048192771084337,0.015060240963855387,0.5792628860097766,0.5490594184821431,0.030203467527633476
46,orthogonal_only,0.38955823293172687,0.3935742971887549,-0.004016064257028051,0.7093373493975904,0.7168674698795181,-0.0075301204819276935,0.5736802488728671,0.5654680503641931,0.00821219850867394
42,parallel_only,0.38905622489959835,0.39508032128514053,-0.006024096385542188,0.7213855421686747,0.7243975903614458,-0.003012048192771122,0.5779774680836033,0.5774646699159056,0.0005127981676976701
43,parallel_only,0.41867469879518066,0.4141566265060241,0.004518072289156572,0.6957831325301205,0.7123493975903614,-0.016566265060240948,0.5290651064176174,0.5463949601703378,-0.017329853752720448
44,parallel_only,0.3915662650602409,0.37901606425702805,0.012550200803212841,0.7243975903614458,0.7319277108433735,-0.0075301204819276935,0.5554596232772229,0.5931291635643675,-0.03766954028714464
45,parallel_only,0.4206827309236947,0.4231927710843373,-0.0025100401606426015,0.7078313253012049,0.7048192771084337,0.003012048192771122,0.5399554343939071,0.5490594184821431,-0.009103984088235983
46,parallel_only,0.3870481927710843,0.3935742971887549,-0.006526104417670597,0.7183734939759037,0.7168674698795181,0.001506024096385561,0.5836703688349967,0.5654680503641931,0.018202318470803558
