sample_id,paper_split,reuse_status,teacher_scores_available,model_adjudication_available
0578273c54e1a724084529ebbc385f1bdd1076ea,test,quarantine_heldout,True,True
5238e123a16a826d9dd25c0454890d96db10099a,test,quarantine_heldout,True,True
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,train,eligible_train_reaudit,True,True
7b2343c0fac6f79059007d116f746842fe6a6637,dev,quarantine_heldout,True,True
89f8c6ed8c1b947a44510dcc18b38a1d97571453,train,eligible_train_reaudit,True,False
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,train,eligible_train_reaudit,True,True
b51fe8038ded98685f2c18b27990ce26056dfc17,test,quarantine_heldout,True,False
bd384e01426757c4dd86e755a75d5ef86fe6e59f,train,eligible_train_reaudit,True,True
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,train,eligible_train_reaudit,True,False
c0d4f41ccf2066449887e86887cb7b8903269b2a,train,eligible_train_reaudit,True,True
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,train,eligible_train_reaudit,True,True
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,train,eligible_train_reaudit,True,True
46133cfb383c1c10e94bab324dabdce1277ab939,train,eligible_train_reaudit,True,True
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,test,quarantine_heldout,True,True
b9f1c6853708c1217088b33dabe3b2ce1f70233e,train,eligible_train_reaudit,True,True
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,dev,quarantine_heldout,True,True
b01129b756e85be3f61bf81d006ca0e61ef3e530,dev,quarantine_heldout,True,False
b5f54f2d11493dd41a74e9e2274d26451a958dcc,train,eligible_train_reaudit,True,True
e226030ea01e090a606049052bd6c187688f7a7a,train,eligible_train_reaudit,True,False
eebb6c2d0851b385f14d5f66295db77afd02c747,dev,quarantine_heldout,True,False
022806ec04a3b92cfcb17f3ba4951ae817c1f854,train,eligible_train_reaudit,True,True
18ae31b0930f4812f14b417a1b631e06c74e7410,train,eligible_train_reaudit,True,True
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,train,eligible_train_reaudit,True,False
4a94159b2cfae1127c979628b87af3087401a413,dev,quarantine_heldout,True,False
6195cd84a8bf06d5a3608b3bb6561111e242ace6,test,quarantine_heldout,True,False
6c2ca811835d3ab2cc459573f13c0ae3caf83824,test,quarantine_heldout,True,False
a6a61e243a1f0c09ac86c3557bd39377eff935bc,test,quarantine_heldout,True,False
b93239ad93a7561a06f1b07c82c82f44bf81667e,dev,quarantine_heldout,True,False
cd63948c28174674b09c1bed2f6fa389c8ec4a34,train,eligible_train_reaudit,True,False
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,train,eligible_train_reaudit,True,False
ff657c059d6b1fdddbeae35add3c566377c0dd86,test,quarantine_heldout,True,False
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,dev,quarantine_heldout,True,False
107a460ba82cd473b9a08a5d43257a7f1d336874,train,eligible_train_reaudit,True,False
1947f424625d896777f4dbddef16ab9afb7730aa,train,eligible_train_reaudit,True,True
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,train,eligible_train_reaudit,True,False
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,train,eligible_train_reaudit,True,False
4468842156d5b938a609185df023c4a860497e75,train,eligible_train_reaudit,True,False
5eca8796afa57332b77efb229a632e49b196cbed,train,eligible_train_reaudit,True,False
c13167075148a265b283ce6bd0a309d539f243f7,train,eligible_train_reaudit,True,False
e927013b12cac98ecddc4843316f9befc695ed6d,train,eligible_train_reaudit,True,False
a78d41fd92d092509e201d4cb468bba833ecdf3a,test,quarantine_heldout,True,False
c1507d3c6bb859e46a5fcae0e2d5475886c36187,test,quarantine_heldout,True,False
61725aede8ed2f1879dae36d9b4f8a751b64787b,train,eligible_train_reaudit,True,True
ff8336b754ae2926d754192bf5a2f0c7ca6ba2a5,test,quarantine_heldout,True,False
6ba52ada98a9a51312929f9f19f6c7227cd562eb,test,quarantine_heldout,True,False
6c703c046a9b97419785484bb1dd5d5b81ccd77a,test,quarantine_heldout,True,False
378f7b2160c791b11e16c3dd68d76ed1363a3ff6,train,eligible_train_reaudit,True,False
4d02a34fe7fc1a2f65e5defcbeec26283b13ada9,test,quarantine_heldout,True,False
cc218e690fef26eec817bb03c4ad9a759d05825e,test,quarantine_heldout,True,False
4f22bf04948dfebf09ef963ef74d98df56ffdb57,train,eligible_train_reaudit,True,False
0c74a66a6f9ecee5580723b73f7741a8f05e1352,train,eligible_train_reaudit,True,False
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,test,quarantine_heldout,True,False
38c7ddb254e471811c6a5a57cccae37cc6d4656e,test,quarantine_heldout,True,False
08554936f4982f9a49b0ecb237ab00fa29370010,train,eligible_train_reaudit,True,True
9695560e94c04bb151b514cc850a85eb10394a00,test,quarantine_heldout,True,False
4c1781a47196920cfbd9a98a60533436add7af41,test,quarantine_heldout,True,True
eca00ddc55d718efe2435adde78462ed09661b7c,test,quarantine_heldout,True,False
0a2cdf9b3f6bdc6f89db168c31be1e2a31b9ba5e,train,eligible_train_reaudit,True,False
44a426bf4f453df7ea5b7ac85d6f0e801f9ba296,train,eligible_train_reaudit,True,False
f941bd555946d5f670146c0ddba2b00c76cfee04,test,quarantine_heldout,True,False
61ce1005760ba6b25779f26dec03b15d4d61f5ec,test,quarantine_heldout,True,False
90ed1a72c758f575b39f863d5ac03313ac9b197e,train,eligible_train_reaudit,True,False
34d1c2d12a4242a8a26ed4f998ae1f08b3210cdf,dev,quarantine_heldout,True,False
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,train,eligible_train_reaudit,True,False
dcf321c484e4128628a7517762ccaf72fc0916d8,test,quarantine_heldout,True,False
a2963f0bafecf877ce9d9f85ccd07d324522a500,test,quarantine_heldout,True,False
6a65ddfebb3698d3eb20f814a761580fa2f8be48,test,quarantine_heldout,True,True
ba114a1a8452ac012af5a1940b242d85f38538d3,train,eligible_train_reaudit,True,False
17e0ba51820c815389e5f672d6bed2ca748a8775,dev,quarantine_heldout,True,False
4153d3a9a2b62778bf32e38aa33be57d0215987d,train,eligible_train_reaudit,True,False
9fdf5ac4ce9e42b699e040bcc32841d72d8c9e07,train,eligible_train_reaudit,True,False
3b5a8c4295de94d52db9f719bd2bf0ff725b74bc,test,quarantine_heldout,True,False
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,train,eligible_train_reaudit,True,True
f0c923e09065792432b0f588a7eb74ea86409797,train,eligible_train_reaudit,True,False
f54280d4caeef0bdadc941acfcd5f7fede5d6838,dev,quarantine_heldout,True,False
e2c88c65f2542bab93dbf50c022a42b356f788d2,train,eligible_train_reaudit,True,False
13af8e6896f2be6cf223e45bf4f1652fe39fe7d3,train,eligible_train_reaudit,True,False
a5b40ba0a800e6ec0da88e7d0591d092caa41ae1,test,quarantine_heldout,True,False
b32ef4e0d4df64758a36c00f66d44107809101c3,test,quarantine_heldout,True,False
