variant,seed,dimension,value,n,MAE_argmax,MAE_expected,QWK,Accuracy,Signed_Bias_argmax,Signed_Bias_expected,low_n,low_to_high_count,low_to_high_rate,high_n,high_to_low_count,high_to_low_rate,label1_recall,label2_recall,label5_recall,low_mean_p_score_ge_4,high_mean_p_score_le_2,pred_count_1,expected_mass_1,pred_count_2,expected_mass_2,pred_count_3,expected_mass_3,pred_count_4,expected_mass_4,pred_count_5,expected_mass_5
v0_original_unweighted,42,gold_label,1,19,0.7368421052631579,0.8555818297417749,0.0,0.6842105263157895,0.7368421052631579,0.8555818297417749,19,2,0.10526315789473684,0,0,nan,0.6842105263157895,nan,nan,0.17953470756152742,nan,13,12.703819539630786,0,0.2909454668406397,4,2.59407520647801,2,2.867678545997478,0,0.5434808976715431
v0_original_unweighted,42,gold_label,2,38,2.236842105263158,2.135652893449572,0.0,0.0,2.236842105263158,2.135652893449572,38,30,0.7894736842105263,0,0,nan,nan,0.0,nan,0.7350199532474538,nan,0,0.10957112349569798,0,1.064732065424323,8,8.894938500365242,13,11.422831921372563,17,16.507926302030683
v0_original_unweighted,42,gold_label,3,105,1.2285714285714286,1.1100207351506384,0.0,0.08571428571428572,1.2285714285714286,1.1100207351506384,0,0,nan,0,0,nan,nan,nan,nan,nan,nan,0,0.32476990400027717,0,1.2576705503452104,9,18.44731221953407,63,51.48110589850694,33,33.48914118669927
v0_original_unweighted,42,gold_label,4,389,0.3444730077120823,0.33910405479487626,0.0,0.6555269922879178,0.32390745501285345,0.256755039382643,0,0,nan,389,0,0.0,nan,nan,nan,nan,0.010884678053060546,0,1.5301999735784193,0,2.703939789062133,4,32.08830484712962,255,210.7130677299574,130,141.9644890613854
v0_original_unweighted,42,gold_label,5,556,0.13129496402877697,0.2697944557705518,0.0,0.8758992805755396,-0.13129496402877697,-0.2697944557705518,0,0,nan,556,1,0.0017985611510791368,nan,nan,0.8758992805755396,nan,0.008795140251000415,1,2.022365898666976,0,2.8677320808892546,1,15.94419464719249,67,101.42466426175088,487,433.74104230850935
v0_original_unweighted,42,language,en,637,0.45839874411302983,0.49215617410205664,0.45130760185426766,0.6640502354788069,0.3453689167974882,0.239387594227111,44,28,0.6363636363636364,537,0,0.0,0.5,0.0,0.9131652661064426,0.6450588880371387,0.007402215116378934,4,4.714973380550873,0,5.554420130592916,25,42.40253134351224,146,159.18188511859626,462,425.14618987520225
v0_original_unweighted,42,language,zh,470,0.30425531914893617,0.3880356462289746,0.6809627746150326,0.725531914893617,0.12978723404255318,0.024138589990949148,13,4,0.3076923076923077,408,1,0.0024509803921568627,0.8181818181818182,0.0,0.8090452261306532,0.22764050718755102,0.01262070643309141,10,11.975753058821283,0,2.6305998219686444,1,35.566294077187194,254,218.727463238989,205,201.099889881094
v0_original_unweighted,42,metric_group,Factual & Reasoning Accuracy,314,0.35668789808917195,0.40758700173780205,0.655461009692445,0.7484076433121019,0.24203821656050956,0.11748722150428632,23,10,0.43478260869565216,273,1,0.003663003663003663,0.9285714285714286,0.0,0.9222797927461139,0.398037762320398,0.014474500088529038,14,14.836591217543173,0,2.2764751259746845,0,11.868318947424996,67,72.19658315612469,233,212.82203132321592
v0_original_unweighted,42,metric_group,Pedagogical Application,303,0.5313531353135313,0.5612603580995152,0.4613489222017346,0.5544554455445545,0.33993399339933994,0.2882031358279017,21,9,0.42857142857142855,220,0,0.0,0.0,0.0,0.7209302325581395,0.548053276059883,0.006664290025458864,0,0.3619227475810476,0,2.9219832843882614,25,40.2912188085611,173,147.8783656200394,105,111.54650838673115
v0_original_unweighted,42,metric_group,Scenario Adaptability,490,0.3306122448979592,0.4037469991445004,0.36031331592689286,0.736734693877551,0.20816326530612245,0.08085407573513405,13,13,1.0,452,0,0.0,nan,0.0,0.8916967509025271,0.8213792566496593,0.008200343832803995,0,1.4922124742479355,0,2.986561542198615,1,25.809287664713338,160,157.83439958142117,329,301.87754004634917
v0_original_unweighted,42,subject,Applied Economics,35,0.2857142857142857,0.3817735548692456,0.72,0.7142857142857143,0.11428571428571428,-0.05815910354015484,0,0,nan,30,0,0.0,nan,nan,0.85,nan,0.01880564541449227,0,0.0892964458471397,0,0.67508009809535,4,6.113561959471554,8,7.426016704179347,23,20.69604440778494
v0_original_unweighted,42,subject,Aquaculture,35,0.2,0.24418871181426635,0.6067415730337079,0.8,-0.14285714285714285,-0.12052001478857294,0,0,nan,34,0,0.0,nan,nan,0.6,nan,0.0013376402044634555,0,0.012483174024964683,0,0.03415777478949167,0,0.706125273485668,26,23.653546057641506,9,10.593688141554594
v0_original_unweighted,42,subject,Automation,25,0.0,0.11619826679925609,nan,1.0,0.0,-0.11619826679925609,0,0,nan,25,0,0.0,nan,nan,1.0,nan,0.0014041784965229454,0,0.003990060855358024,0,0.03111440155771561,0,0.22797568538226187,0,2.3397014192305505,25,22.397218346595764
v0_original_unweighted,42,subject,Basic Medicine,65,0.26153846153846155,0.35216782362460014,0.6586345381526104,0.7384615384615385,0.1076923076923077,-0.005915326814059741,0,0,nan,56,0,0.0,nan,nan,0.8214285714285714,nan,0.0075060370524754816,0,0.13572076766286045,0,0.3383342453453224,1,6.0610599557403475,37,32.704485554248095,27,25.760398482903838
v0_original_unweighted,42,subject,Biology,100,0.33,0.4145310405789496,0.6466110909749909,0.7,0.19,0.09892201212169312,6,1,0.16666666666666666,87,0,0.0,nan,0.0,0.8627450980392157,0.4241063902154565,0.0052548511509600245,0,0.09884122490620939,0,0.7473242461273912,5,9.172741294372827,39,37.124981097877026,56,52.85611264407635
