variant,seed,training_tier,n,MAE_argmax,MAE_expected,QWK,Accuracy,Signed_Bias_argmax,Signed_Bias_expected,low_n,low_to_high_count,low_to_high_rate,high_n,high_to_low_count,high_to_low_rate,label1_recall,label2_recall,label5_recall,low_mean_p_score_ge_4,high_mean_p_score_le_2,pred_count_1,expected_mass_1,pred_count_2,expected_mass_2,pred_count_3,expected_mass_3,pred_count_4,expected_mass_4,pred_count_5,expected_mass_5
v0_original_unweighted,42,direct_accept,173,0.4277456647398844,0.492552616125388,0.8134320032724703,0.7687861271676301,0.4046242774566474,0.3026807904471947,67,20,0.29850746268656714,98,0,0.0,0.8260869565217391,0.0,0.9705882352941176,0.26393812622070495,0.017189945570936865,38,38.873479366258834,0,3.397454047881183,11,16.895986916626498,49,41.15797456371365,75,72.67510605612188
v0_original_unweighted,42,original_train,2965,0.1966273187183811,0.27401410896040596,0.6823702660070543,0.8128161888701517,0.09005059021922428,-0.012601462726377063,0,0,nan,2753,0,0.0,nan,nan,0.9151113786875377,nan,0.010931049391264682,0,11.97453314708764,0,24.664504137406766,50,201.1734940718161,1149,1029.1246960109565,1766,1698.0627710670233
v0_original_unweighted,42,resolved_adjudication,62,1.2580645161290323,1.1513751612408434,0.1223545900490538,0.3870967741935484,1.2580645161290323,0.9939297841264042,21,17,0.8095238095238095,19,0,0.0,0.16666666666666666,0.0,1.0,0.7336132151207754,0.030038469293350845,1,1.7834822519289446,0,2.5306438794650603,8,11.241937180515379,23,22.1666192561388,30,24.27731760777533
v0_original_unweighted,42,review_only,8,1.875,1.6236212592193624,-0.12643678160919536,0.375,1.875,1.5560059695417294,5,5,1.0,3,0,0.0,0.0,0.0,nan,0.6981090519577264,0.05057334438121567,0,0.38718654413241893,0,0.3601975543424487,0,1.227328379638493,6,3.467955769971013,2,2.5573315769433975
v0_original_unweighted,42,weighted_accept,118,0.7796610169491526,0.7100509713324091,0.4018309752591359,0.3813559322033898,0.6949152542372882,0.5666001948785857,18,12,0.6666666666666666,45,0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.47840347244507736,0.018401217249629554,2,3.0273498344104155,0,3.990747940799338,18,26.112014363403432,71,53.83550718985498,27,31.03438108600676
v1_original_label_matched_weight,42,direct_accept,173,0.27167630057803466,0.3174890160015521,0.8929409530111697,0.8265895953757225,0.23699421965317918,0.2170074901059864,67,9,0.13432835820895522,98,0,0.0,0.9130434782608695,0.14285714285714285,0.9705882352941176,0.15973218276241227,0.008195024909132464,42,41.68277279590575,3,5.855076030726195,18,16.688376747252278,39,37.7846299508692,71,70.98914417714877
v1_original_label_matched_weight,42,original_train,2965,0.11669477234401349,0.17346108785301476,0.8234631705606291,0.8897133220910624,0.04114671163575042,-0.007319844624859152,0,0,nan,2753,2,0.000726480203414457,nan,nan,0.9572546658639374,nan,0.007215344386099861,2,9.348369947058245,1,19.48852395924723,141,203.0806645916482,1101,1035.6829439257126,1720,1697.399494668789
v1_original_label_matched_weight,42,resolved_adjudication,62,1.2258064516129032,1.0351112894092636,0.12750533049040524,0.4032258064516129,1.1290322580645162,0.9504764548585685,21,16,0.7619047619047619,19,0,0.0,0.16666666666666666,0.0,1.0,0.6692797626379788,0.021787985087987755,2,2.7167717185757283,0,2.434234216605546,12,12.164158322295407,19,19.572352258954197,29,25.112483209348284
v1_original_label_matched_weight,42,review_only,8,1.875,1.7372688778559677,-0.12643678160919536,0.375,1.875,1.6573867934639566,5,5,1.0,3,0,0.0,0.0,0.0,nan,0.7752964491024613,0.0582786666151757,0,0.36726133478805423,0,0.2799013080075383,0,0.8030349276959896,6,3.8260869504883885,2,2.7237155623733997
v1_original_label_matched_weight,42,weighted_accept,118,0.559322033898305,0.5661120523721411,0.5479273618879779,0.5677966101694916,0.4745762711864407,0.44814758502321883,18,9,0.5,45,0,0.0,0.6666666666666666,0.2,0.8,0.40611502644605935,0.014166975937769166,3,3.3442469333695044,3,5.887946584523888,32,30.339232088212157,56,52.399291968438774,24,26.029282158386195
v2_selective_hard_relabel,42,direct_accept,173,0.23121387283236994,0.2733873271871214,0.9172187868080094,0.8497109826589595,0.21965317919075145,0.20018559360649324,67,9,0.13432835820895522,98,0,0.0,0.9130434782608695,0.23809523809523808,0.9852941176470589,0.1452041214854591,0.007000206086358355,42,41.52504855695486,5,7.662238872755097,15,15.39690018796864,42,38.48717990955083,69,69.9286322378698
v2_selective_hard_relabel,42,original_train,2965,0.08229342327150084,0.15297292084902062,0.8852188061872726,0.9197301854974705,0.008768971332209106,-0.032756208674142626,0,0,nan,2753,0,0.0,nan,nan,0.9512341962673089,nan,0.005626341418284832,0,4.080775009030077,0,18.60537882115102,162,217.3640084988101,1166,1106.254912380573,1637,1618.6949267222226
v2_selective_hard_relabel,42,resolved_adjudication,62,1.2903225806451613,1.2331165987612738,0.15801246205464126,0.24193548387096775,0.967741935483871,0.9055142687810134,21,14,0.6666666666666666,19,2,0.10526315789473684,0.0,0.0,0.6363636363636364,0.6708737897819707,0.085268316387699,0,0.7847125075932126,6,4.988633496192051,8,11.023758466733852,27,24.705848093144596,21,20.497047478333116
v2_selective_hard_relabel,42,review_only,8,1.875,1.8647007028775988,-0.12643678160919536,0.375,1.875,1.692498163014534,5,5,1.0,3,0,0.0,0.0,0.0,nan,0.8523811137769371,0.04680776254584392,0,0.18161019870240125,0,0.15914382798291626,0,1.034340805712418,6,4.187461675377563,2,2.4374436661601067
v2_selective_hard_relabel,42,weighted_accept,118,0.7203389830508474,0.6377234340959488,0.44326812428078244,0.4322033898305085,0.5677966101694916,0.4886012174692103,18,11,0.6111111111111112,45,0,0.0,0.6666666666666666,0.0,0.4666666666666667,0.45075842795065707,0.012818350696357407,3,3.1679423718478574,0,4.865244927863387,28,29.076738670599298,62,53.92407498136163,25,26.965999099309556
v3_selective_soft_audit,42,direct_accept,173,0.4624277456647399,0.49142614096457315,0.7972164299727319,0.7572254335260116,0.4393063583815029,0.3742741922217915,67,20,0.29850746268656714,98,0,0.0,0.8043478260869565,0.0,0.9705882352941176,0.28414673002506746,0.008614173805672552,37,37.88119571153766,0,2.110451300855857,12,16.0580504166428,45,38.278327334579444,79,78.67197527057488
v3_selective_soft_audit,42,original_train,2965,0.21956155143338954,0.2705071310802502,0.6408488230614939,0.7952782462057335,0.11770657672849916,0.016349587192818475,0,0,nan,2753,0,0.0,nan,nan,0.9265502709211318,nan,0.007636208708387134,0,10.075133662974622,0,15.595951971710747,72,233.80711257117218,1023,912.8208533426514,1870,1792.7009474672377
v3_selective_soft_audit,42,resolved_adjudication,62,1.5806451612903225,1.399266121845299,-0.037250032675467226,0.24193548387096775,1.4838709677419355,1.2366975006120957,21,21,1.0,19,0,0.0,0.0,0.0,0.8181818181818182,0.8532083031854459,0.020281733496200393,0,0.7448072247279924,0,0.8748962811368983,2,8.9357205030974,25,20.849397733807564,35,30.595178561285138
v3_selective_soft_audit,42,review_only,8,2.0,1.903601751451788,-0.13089005235602102,0.375,2.0,1.8606971372719272,5,5,1.0,3,0,0.0,0.0,0.0,nan,0.859734190069139,0.04037389011743168,0,0.24100826540961862,0,0.09631769495899789,0,0.8431273212190717,5,3.175182851962745,3,3.6443640142679214
v3_selective_soft_audit,42,weighted_accept,118,0.8983050847457628,0.8581384135011492,0.20367578433484113,0.3644067796610169,0.7966101694915254,0.7112327126138799,18,16,0.8888888888888888,45,0,0.0,0.0,0.0,0.6666666666666666,0.6783932223916054,0.01112413680158271,0,1.4841534505903837,0,2.158305554483377,22,25.53905758529436,59,49.58489605784416,37,39.233587708324194
