run_id,lambda_low,selection_metric,selected_epoch,epoch,global_step,dev_MAE_label,dev_MAE_expected,dev_qwk,dev_kendall_tau,dev_low_to_high_rate,dev_low_signed_bias,dev_mean_pred_low,dev_Acc_at_1,dev_Acc_at_2,dev_low_exact_match,mean_penalty_eval,mean_s_hat_low_eval,mean_over_low_eval,is_selected_checkpoint_epoch,is_best_dev_MAE_label_epoch,is_best_dev_low_to_high_epoch,checkpoint_selection_matches_low_to_high_best,selected_checkpoint_has_best_low_to_high_value,best_dev_low_to_high_epochs
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,1,21,0.5436746987951807,0.5107749797493578,0.2119176747973539,0.3078378656415013,1.0,2.466666666666667,4.25,0.0,0.0,0.0,0.011916326381355882,0.8532941398850407,0.4978724588830787,False,False,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,2,42,0.4452811244979919,0.39653501811859965,0.39594958138539293,0.48412505998838623,1.0,2.466666666666667,4.25,0.0,0.0,0.0,0.010300655030162937,0.8173197062618761,0.4618980195148882,False,False,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,3,63,0.42068273092369474,0.36747629620461164,0.5048614573687584,0.5465800939963807,0.8,2.1666666666666665,3.95,0.0,0.0,0.0,0.007798204086272113,0.7510878264185894,0.39566614110785797,False,False,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,4,84,0.431726907630522,0.37060810815429324,0.5058781963520735,0.5250293177220969,0.65,2.0166666666666666,3.8,0.0,0.0,0.0,0.006626287435955671,0.7330069829182453,0.3775852976075138,False,False,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,5,105,0.40261044176706823,0.3671066771309842,0.6297631392688428,0.5851026664547153,0.4,1.3666666666666667,3.15,0.16666666666666666,0.21428571428571427,0.2,0.005130978951971215,0.6794674827391842,0.3240457988647093,False,False,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,6,126,0.38704819277108427,0.35293136534869973,0.6340705153823825,0.5828319915888575,0.35,1.3166666666666667,3.1,0.3333333333333333,0.14285714285714285,0.2,0.00499839499503015,0.6788336455103863,0.32341195804527006,False,False,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,7,147,0.38152610441767065,0.35498897143250097,0.6723554357734534,0.5993105857163641,0.25,1.0166666666666666,2.8,0.5,0.21428571428571427,0.3,0.004238212517608541,0.6440206320889025,0.2885989474962993,False,False,True,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,8,168,0.3805220883534136,0.34932191042441835,0.6563258612150784,0.5882773653545581,0.3,1.0666666666666667,2.85,0.5,0.2857142857142857,0.35,0.004512361118973917,0.6524113143783018,0.2969896283494421,True,True,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,9,189,0.38152610441767065,0.35114677725565213,0.6518732641840956,0.5854413431408099,0.3,1.1166666666666667,2.9,0.5,0.2857142857142857,0.35,0.004596055253880121,0.6543834209442139,0.29896173635161066,False,False,False,False,False,7
L2a_asymmetric_ordinal_lambda03_margin0,0.3,dev_MAE_label,8,10,210,0.38152610441767065,0.35000772700624216,0.6552231327482261,0.5879941601731689,0.3,1.0666666666666667,2.85,0.5,0.2857142857142857,0.35,0.004496103257827282,0.6504363927496485,0.29501470600266055,False,False,False,False,False,7
