loss_id,objective_id,objective_type,objective_label,status,split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
L0_exp04_o3_ordinal,O3_ordinal,ordinal,ordinal,completed,test,1,56,0.2857142857142857,1.5178571428571428,1.5178571428571428,2.517857142857143,2.5976136808972763,0.7142857142857143,0.0
L0_exp04_o3_ordinal,O3_ordinal,ordinal,ordinal,completed,test,2,47,0.3404255319148936,0.8085106382978722,0.780141843971631,2.893617021276596,2.897496204966143,0.6595744680851063,0.0
L0_exp04_o3_ordinal,O3_ordinal,ordinal,ordinal,completed,test,3,194,0.36082474226804123,0.7972508591065292,0.6426116838487972,3.768041237113402,3.785866733070826,0.6237113402061856,0.015463917525773196
L0_exp04_o3_ordinal,O3_ordinal,ordinal,ordinal,completed,test,4,720,0.7041666666666667,0.39305555555555555,0.07268518518518538,4.175,4.172994284714084,0.2361111111111111,0.059722222222222225
L0_exp04_o3_ordinal,O3_ordinal,ordinal,ordinal,completed,test,5,1201,0.8559533721898418,0.23064113238967518,0.0008326394671106079,4.850124895920066,4.814582158916756,0.0,0.1440466278101582
L1_weighted_ordinal,,,,,test,1,56,0.35714285714285715,1.3571428571428572,1.3571428571428572,2.357142857142857,2.4852129115253256,0.6428571428571429,0.0
L1_weighted_ordinal,,,,,test,2,47,0.2978723404255319,0.8865248226950353,0.8439716312056734,2.9574468085106385,2.978232040292301,0.7021276595744681,0.0
L1_weighted_ordinal,,,,,test,3,194,0.4329896907216495,0.7216494845360825,0.5395189003436426,3.6649484536082473,3.704234255710804,0.5463917525773195,0.020618556701030927
L1_weighted_ordinal,,,,,test,4,720,0.6694444444444444,0.4356481481481481,0.017129629629629817,4.1194444444444445,4.131164916326392,0.225,0.10555555555555556
L1_weighted_ordinal,,,,,test,5,1201,0.839300582847627,0.24340827088537323,-0.015820149875104217,4.833472106577852,4.773232403070502,0.0,0.16069941715237301
L2a_asymmetric_ordinal_lambda03_margin0,,,,,test,1,56,0.125,2.0357142857142856,2.0357142857142856,3.0357142857142856,3.1163655669328625,0.875,0.0
L2a_asymmetric_ordinal_lambda03_margin0,,,,,test,2,47,0.2553191489361702,1.0638297872340423,1.0354609929078011,3.148936170212766,3.077115226603247,0.7446808510638298,0.0
L2a_asymmetric_ordinal_lambda03_margin0,,,,,test,3,194,0.29381443298969073,0.8539518900343642,0.7096219931271476,3.8350515463917527,3.792596693012756,0.6855670103092784,0.020618556701030927
L2a_asymmetric_ordinal_lambda03_margin0,,,,,test,4,720,0.6861111111111111,0.41018518518518515,0.060185185185185376,4.1625,4.148232927296016,0.24027777777777778,0.07361111111111111
L2a_asymmetric_ordinal_lambda03_margin0,,,,,test,5,1201,0.8476269775187344,0.2331390507910074,-0.004995836802664576,4.844296419650291,4.805335402174309,0.0,0.1523730224812656
L2b_asymmetric_ordinal_lambda05_margin0,,,,,test,1,56,0.32142857142857145,1.5357142857142858,1.5357142857142858,2.5357142857142856,2.7085866570456085,0.6785714285714286,0.0
L2b_asymmetric_ordinal_lambda05_margin0,,,,,test,2,47,0.2553191489361702,1.0425531914893615,1.0141843971631201,3.127659574468085,3.120060515524993,0.7446808510638298,0.0
L2b_asymmetric_ordinal_lambda05_margin0,,,,,test,3,194,0.30927835051546393,0.8161512027491408,0.6683848797250858,3.7938144329896906,3.7650701695124225,0.6701030927835051,0.020618556701030927
L2b_asymmetric_ordinal_lambda05_margin0,,,,,test,4,720,0.6888888888888889,0.4060185185185184,0.05879629629629648,4.161111111111111,4.142679302185707,0.2375,0.07361111111111111
L2b_asymmetric_ordinal_lambda05_margin0,,,,,test,5,1201,0.8351373855120733,0.24562864279766852,-0.022481265611990143,4.826810990840966,4.792610458626922,0.0,0.16486261448792672
L3b_weighted_threshold_mu03,,,,,test,1,56,0.2857142857142857,1.625,1.625,2.625,2.750350505272633,0.7142857142857143,0.0
L3b_weighted_threshold_mu03,,,,,test,2,47,0.3404255319148936,0.8368794326241134,0.780141843971631,2.893617021276596,2.902264512934322,0.6595744680851063,0.0
L3b_weighted_threshold_mu03,,,,,test,3,194,0.3917525773195876,0.7577319587628866,0.5446735395189002,3.670103092783505,3.6900389700827665,0.5773195876288659,0.030927835051546393
L3b_weighted_threshold_mu03,,,,,test,4,720,0.6763888888888889,0.42546296296296293,0.047685185185185365,4.15,4.140802213356124,0.2375,0.08611111111111111
L3b_weighted_threshold_mu03,,,,,test,5,1201,0.8351373855120733,0.2428531779072994,-0.024146544546211627,4.825145711906744,4.764677313842172,0.0,0.16486261448792672
