seed,epoch,routed_MAE_human_mean,consensus_MAE_human_mean,delta_MAE_human_mean,routed_Exact_rounded,consensus_Exact_rounded,delta_Exact_rounded,routed_Kendall_human_mean,consensus_Kendall_human_mean,delta_Kendall_human_mean
42,1,0.5120481927710844,0.5321285140562247,-0.020080321285140368,0.6204819277108434,0.5828313253012049,0.03765060240963858,0.3516938839302211,0.290576756619466,0.06111712731075508
42,2,0.4558232931726907,0.46285140562249,-0.007028112449799284,0.6716867469879518,0.661144578313253,0.010542168674698815,0.4840265270393622,0.47318259350753666,0.010843933531825556
42,3,0.4307228915662651,0.43875502008032125,-0.008032128514056158,0.6837349397590361,0.6852409638554217,-0.001506024096385561,0.5493420278957521,0.5293823981180471,0.019959629777705046
42,4,0.38253012048192764,0.41666666666666663,-0.03413654618473899,0.7123493975903614,0.7063253012048193,0.0060240963855421326,0.5873425986723849,0.5458450291394695,0.04149756953291539
42,5,0.3890562248995983,0.40461847389558225,-0.015562248995983963,0.7153614457831325,0.7048192771084337,0.010542168674698815,0.5880039341649083,0.5717505022406435,0.01625343192426476
42,6,0.37299196787148586,0.39508032128514053,-0.02208835341365467,0.7274096385542169,0.7243975903614458,0.003012048192771122,0.6203986888523768,0.5774646699159056,0.0429340189364712
42,7,0.3885542168674699,0.41064257028112444,-0.02208835341365456,0.7078313253012049,0.7078313253012049,0.0,0.5901644787942799,0.5583449442012084,0.03181953459307152
42,8,0.38152610441767065,0.4076305220883534,-0.026104417670682722,0.713855421686747,0.7123493975903614,0.001506024096385561,0.601186234832706,0.5566270667930554,0.04455916803965054
42,9,0.38504016064257024,0.3990963855421687,-0.014056224899598457,0.713855421686747,0.7183734939759037,-0.004518072289156683,0.6012659927465592,0.564783234955421,0.03648275779113819
42,10,0.38102409638554213,0.4091365461847389,-0.028112449799196748,0.7183734939759037,0.7108433734939759,0.0075301204819278045,0.6014945056770851,0.5571044518703175,0.04439005380676753
43,1,0.5140562248995983,0.521586345381526,-0.0075301204819276935,0.6099397590361446,0.5948795180722891,0.015060240963855498,0.3271686892978849,0.3186540065956288,0.008514682702256082
43,2,0.4292168674698794,0.481425702811245,-0.05220883534136561,0.7033132530120482,0.6551204819277109,0.04819277108433728,0.5185383267611398,0.4363246983285478,0.08221362843259195
43,3,0.39508032128514053,0.4141566265060241,-0.01907630522088355,0.713855421686747,0.7123493975903614,0.001506024096385561,0.5689867523027513,0.5463949601703378,0.02259179213241347
43,4,0.4116465863453814,0.411144578313253,0.0005020080321284093,0.7048192771084337,0.6987951807228916,0.0060240963855421326,0.5450272249553347,0.567790701786332,-0.02276347683099722
43,5,0.39206827309236947,0.4136546184738955,-0.02158634538152604,0.7063253012048193,0.6942771084337349,0.012048192771084376,0.5775508916445309,0.5631564084307907,0.01439448321374015
43,6,0.3880522088353413,0.41817269076305214,-0.03012048192771083,0.7033132530120482,0.6912650602409639,0.012048192771084265,0.5900086979407766,0.554309081412041,0.035699616528735545
43,7,0.3810240963855421,0.42168674698795183,-0.040662650602409756,0.7183734939759037,0.6852409638554217,0.03313253012048201,0.5932497179087037,0.5391222006190298,0.05412751728967391
43,8,0.3915662650602409,0.42018072289156627,-0.02861445783132538,0.7033132530120482,0.6852409638554217,0.01807228915662651,0.5894974001255618,0.5344949447281913,0.05500245539737059
43,9,0.3915662650602409,0.4161646586345381,-0.024598393574297217,0.7018072289156626,0.6867469879518072,0.015060240963855387,0.5850663659024243,0.5371909630147649,0.04787540288765946
43,10,0.38654618473895574,0.4141566265060241,-0.02761044176706834,0.7078313253012049,0.6942771084337349,0.013554216867469937,0.5905474769682554,0.5457096819705028,0.044837794997752534
44,1,0.501004016064257,0.5135542168674698,-0.012550200803212785,0.6310240963855421,0.5978915662650602,0.033132530120481896,0.3800795422149694,0.3287769166332255,0.05130262558174392
44,2,0.4257028112449799,0.43122489959839355,-0.005522088353413668,0.6912650602409639,0.6852409638554217,0.006024096385542244,0.5238873823289297,0.5081292799097551,0.015758102419174636
44,3,0.4257028112449799,0.4191767068273091,0.006526104417670764,0.6927710843373494,0.7033132530120482,-0.010542168674698815,0.5330687436829391,0.5320906678655699,0.000978075817369195
44,4,0.40461847389558225,0.38755020080321284,0.017068273092369413,0.7153614457831325,0.7274096385542169,-0.012048192771084376,0.5754833935324406,0.5834887073479961,-0.00800531381555547
44,5,0.37499999999999994,0.37901606425702805,-0.004016064257028107,0.7319277108433735,0.7319277108433735,0.0,0.601007033628565,0.5931291635643675,0.00787787006419749
44,6,0.3820281124497991,0.3840361445783132,-0.002008032128514081,0.7228915662650602,0.7304216867469879,-0.0075301204819276935,0.5959573555936161,0.590393492437502,0.005563863156114013
44,7,0.36746987951807225,0.39759036144578314,-0.030120481927710885,0.7409638554216867,0.713855421686747,0.027108433734939763,0.6202551337358825,0.5727083127550135,0.04754682098086893
44,8,0.37148594377510036,0.3940763052208835,-0.022590361445783136,0.7379518072289156,0.7198795180722891,0.01807228915662651,0.6071320437224013,0.5772266651694642,0.029905378552937067
44,9,0.3714859437751004,0.3820281124497991,-0.010542168674698704,0.7349397590361446,0.7319277108433735,0.003012048192771122,0.6063790569167172,0.5827623022332844,0.023616754683432828
44,10,0.37299196787148586,0.38403614457831314,-0.01104417670682728,0.7364457831325302,0.7289156626506024,0.0075301204819278045,0.6067312944507557,0.5784200427325357,0.02831125171822002
