seed,epoch,delta_MAE_human_mean,delta_Exact_rounded,delta_Kendall_human_mean
42,1,-0.020080321285140368,0.03765060240963858,0.06111712731075508
42,2,-0.007028112449799284,0.010542168674698815,0.010843933531825556
42,3,-0.008032128514056158,-0.001506024096385561,0.019959629777705046
42,4,-0.03413654618473899,0.0060240963855421326,0.04149756953291539
42,5,-0.015562248995983963,0.010542168674698815,0.01625343192426476
42,6,-0.02208835341365467,0.003012048192771122,0.0429340189364712
42,7,-0.02208835341365456,0.0,0.03181953459307152
42,8,-0.026104417670682722,0.001506024096385561,0.04455916803965054
42,9,-0.014056224899598457,-0.004518072289156683,0.03648275779113819
42,10,-0.028112449799196748,0.0075301204819278045,0.04439005380676753
43,1,-0.0075301204819276935,0.015060240963855498,0.008514682702256082
43,2,-0.05220883534136561,0.04819277108433728,0.08221362843259195
43,3,-0.01907630522088355,0.001506024096385561,0.02259179213241347
43,4,0.0005020080321284093,0.0060240963855421326,-0.02276347683099722
43,5,-0.02158634538152604,0.012048192771084376,0.01439448321374015
43,6,-0.03012048192771083,0.012048192771084265,0.035699616528735545
43,7,-0.040662650602409756,0.03313253012048201,0.05412751728967391
43,8,-0.02861445783132538,0.01807228915662651,0.05500245539737059
43,9,-0.024598393574297217,0.015060240963855387,0.04787540288765946
43,10,-0.02761044176706834,0.013554216867469937,0.044837794997752534
44,1,-0.012550200803212785,0.033132530120481896,0.05130262558174392
44,2,-0.005522088353413668,0.006024096385542244,0.015758102419174636
44,3,0.006526104417670764,-0.010542168674698815,0.000978075817369195
44,4,0.017068273092369413,-0.012048192771084376,-0.00800531381555547
44,5,-0.004016064257028107,0.0,0.00787787006419749
44,6,-0.002008032128514081,-0.0075301204819276935,0.005563863156114013
44,7,-0.030120481927710885,0.027108433734939763,0.04754682098086893
44,8,-0.022590361445783136,0.01807228915662651,0.029905378552937067
44,9,-0.010542168674698704,0.003012048192771122,0.023616754683432828
44,10,-0.01104417670682728,0.0075301204819278045,0.02831125171822002
45,1,-0.009036144578313254,0.0060240963855421326,0.01613694660817261
45,2,0.02359437751004012,-0.024096385542168752,-0.032465444316405245
45,3,0.004518072289156627,-0.010542168674698815,-0.01567386785520375
45,4,-0.01054216867469876,0.01957831325301196,-0.0017177012814347803
45,5,-0.00853413654618479,0.0075301204819278045,-0.01188091851037687
45,6,-0.0291164658634539,0.030120481927710885,0.030666947591154736
45,7,-0.042168674698795205,0.016566265060240948,0.03998588995912644
45,8,-0.03463855421686751,0.013554216867469826,0.03916793274115704
45,9,-0.049196787148594434,0.03313253012048201,0.0575584977114415
45,10,-0.039658634538152604,0.01807228915662651,0.046464731226674716
46,1,-0.07730923694779113,0.052710843373493965,0.13649213708666216
46,2,-0.026606425702811243,0.01807228915662651,0.0659845210154707
46,3,-0.016064257028112372,0.02108433734939763,0.02314420573838749
46,4,-0.02058232931726911,0.027108433734939763,0.03242424063316429
46,5,0.0035140562248995866,-0.015060240963855387,-0.016211024543460906
46,6,-0.007530120481927638,0.004518072289156683,0.004894897496565687
46,7,-0.0050200803212850365,-0.0075301204819276935,0.006242180723422863
46,8,0.008032128514056158,-0.006024096385542244,-0.0105012601170833
46,9,0.0025100401606424905,0.001506024096385561,-0.008520949874991524
46,10,-0.0030120481927710108,0.0,0.003109249515303447
