source_file,target_label_5,count,pct
deepseek-r1_merged.jsonl,missing,990,0.0093
deepseek_output/deepseek_generated_20251124_204411.jsonl,missing,164,0.001541
deepseek_output/en_judge_20251109_221657.jsonl,missing,173,0.001625
deepseek_output/judge-1-process.jsonl,missing,189,0.001775
deepseek_output/judge-2-process.jsonl,missing,186,0.001747
deepseek_output/processed_excel_data_1.jsonl,2,8,7.5e-05
deepseek_output/processed_excel_data_1.jsonl,3,42,0.000395
deepseek_output/processed_excel_data_1.jsonl,4,77,0.000723
deepseek_output/processed_excel_data_1.jsonl,5,532,0.004997
deepseek_output/processed_excel_data_1_en.jsonl,2,5,4.7e-05
deepseek_output/processed_excel_data_1_en.jsonl,3,13,0.000122
deepseek_output/processed_excel_data_1_en.jsonl,4,33,0.00031
deepseek_output/processed_excel_data_1_en.jsonl,5,280,0.00263
deepseek_output/processed_excel_data_1_zh.jsonl,2,3,2.8e-05
deepseek_output/processed_excel_data_1_zh.jsonl,3,29,0.000272
deepseek_output/processed_excel_data_1_zh.jsonl,4,44,0.000413
deepseek_output/processed_excel_data_1_zh.jsonl,5,252,0.002367
deepseek_output/processed_excel_data_2.jsonl,2,8,7.5e-05
deepseek_output/processed_excel_data_2.jsonl,3,42,0.000395
deepseek_output/processed_excel_data_2.jsonl,4,77,0.000723
deepseek_output/processed_excel_data_2.jsonl,5,532,0.004997
deepseek_output/processed_excel_data_2_en.jsonl,2,5,4.7e-05
deepseek_output/processed_excel_data_2_en.jsonl,3,13,0.000122
deepseek_output/processed_excel_data_2_en.jsonl,4,33,0.00031
deepseek_output/processed_excel_data_2_en.jsonl,5,280,0.00263
deepseek_output/processed_excel_data_2_zh.jsonl,2,3,2.8e-05
deepseek_output/processed_excel_data_2_zh.jsonl,3,29,0.000272
deepseek_output/processed_excel_data_2_zh.jsonl,4,44,0.000413
deepseek_output/processed_excel_data_2_zh.jsonl,5,252,0.002367
deepseek_output/unique_questions.jsonl,missing,25,0.000235
deepseek_output/zh_judge_20251109_223622.jsonl,missing,234,0.002198
edu-data-synthesis-main/data/criteria/metrics_old.json,missing,3,2.8e-05
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,1,264,0.00248
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,2,371,0.003485
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,3,1681,0.01579
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,4,6148,0.057751
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,5,8936,0.08394
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,1,182,0.00171
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,2,246,0.002311
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,3,1017,0.009553
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,4,3696,0.034718
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,5,4957,0.046563
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,1,82,0.00077
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,2,125,0.001174
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,3,664,0.006237
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,4,2381,0.022366
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,5,3480,0.032689
edu-data-synthesis-main/data/zh/cjeval.jsonl,missing,26136,0.245508
edu-data-synthesis-main/data/zh/gaokao-bench.jsonl,missing,3126,0.029364
edu-data-synthesis-main/init_workflows/init_evaluation_workflow_1_1.json,missing,1,9e-06
edu-data-synthesis-main/test_workflow.json,missing,1,9e-06
groupby_metric_qwq_eval_en.jsonl,1,38,0.000357
groupby_metric_qwq_eval_en.jsonl,2,53,0.000498
groupby_metric_qwq_eval_en.jsonl,3,84,0.000789
groupby_metric_qwq_eval_en.jsonl,4,313,0.00294
groupby_metric_qwq_eval_en.jsonl,5,2209,0.02075
groupby_metric_qwq_eval_en.jsonl,missing,12,0.000113
groupby_metric_qwq_eval_zh.jsonl,1,12,0.000113
groupby_metric_qwq_eval_zh.jsonl,2,47,0.000441
groupby_metric_qwq_eval_zh.jsonl,3,123,0.001155
groupby_metric_qwq_eval_zh.jsonl,4,613,0.005758
groupby_metric_qwq_eval_zh.jsonl,5,1936,0.018186
groupby_metric_qwq_eval_zh.jsonl,missing,1,9e-06
groupby_metric_r1_eval_en.jsonl,1,35,0.000329
groupby_metric_r1_eval_en.jsonl,2,86,0.000808
groupby_metric_r1_eval_en.jsonl,3,121,0.001137
groupby_metric_r1_eval_en.jsonl,4,454,0.004265
groupby_metric_r1_eval_en.jsonl,5,2070,0.019444
groupby_metric_r1_eval_en.jsonl,missing,1,9e-06
groupby_metric_r1_eval_zh.jsonl,1,9,8.5e-05
groupby_metric_r1_eval_zh.jsonl,2,68,0.000639
groupby_metric_r1_eval_zh.jsonl,3,147,0.001381
groupby_metric_r1_eval_zh.jsonl,4,573,0.005382
groupby_metric_r1_eval_zh.jsonl,5,1791,0.016824
groupby_metric_r1_eval_zh.jsonl,missing,36,0.000338
groupby_metric_v3_eval_en.jsonl,1,70,0.000658
groupby_metric_v3_eval_en.jsonl,2,9,8.5e-05
groupby_metric_v3_eval_en.jsonl,3,61,0.000573
groupby_metric_v3_eval_en.jsonl,4,617,0.005796
groupby_metric_v3_eval_en.jsonl,5,1996,0.018749
groupby_metric_v3_eval_en.jsonl,missing,32,0.000301
groupby_metric_v3_eval_zh.jsonl,2,2,1.9e-05
groupby_metric_v3_eval_zh.jsonl,3,15,0.000141
groupby_metric_v3_eval_zh.jsonl,4,562,0.005279
groupby_metric_v3_eval_zh.jsonl,5,2194,0.020609
groupby_metric_v3_eval_zh.jsonl,missing,32,0.000301
human_sampled_eval_sft_criteria_test.json,1,50,0.00047
human_sampled_eval_sft_criteria_test.json,2,60,0.000564
human_sampled_eval_sft_criteria_test.json,3,326,0.003062
human_sampled_eval_sft_criteria_test.json,4,1043,0.009797
human_sampled_eval_sft_criteria_test.json,5,1795,0.016861
merge_model_metric.jsonl,1,17,0.00016
merge_model_metric.jsonl,2,29,0.000272
merge_model_metric.jsonl,3,135,0.001268
merge_model_metric.jsonl,4,754,0.007083
merge_model_metric.jsonl,5,5726,0.053787
missing,missing,6,5.6e-05
sampled_merge_50_new.json,1,1200,0.011272
sampled_merge_50_new.json,2,1200,0.011272
sampled_merge_50_new.json,3,1200,0.011272
sampled_merge_50_new.json,4,1200,0.011272
sampled_merge_50_new.json,5,1200,0.011272
sampled_merge_50_new_swift.json,1,1200,0.011272
sampled_merge_50_new_swift.json,2,1200,0.011272
sampled_merge_50_new_swift.json,3,1200,0.011272
sampled_merge_50_new_swift.json,4,1200,0.011272
sampled_merge_50_new_swift.json,5,1200,0.011272
