source_file,likely_role,candidate_rows,target_label_5_rows,low_score_rows,error_type_rows,normalization_status_counts,dev_test_leakage,leakage_risk,label_reliability_status,recommended_use,allowed_split,blocked_reasons
,unknown,6,0,0,0,"{"""": 6}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
deepseek-r1_merged.jsonl,model_judge_output,990,0,0,0,"{""non_edubench_task_score_review_only"": 990}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source; no target_label_5; no low-score target_label_5 rows"
deepseek_output/deepseek_generated_20251124_204411.jsonl,synthetic_candidate,164,0,0,0,"{""non_edubench_task_score_review_only"": 164}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
deepseek_output/en_judge_20251109_221657.jsonl,model_judge_output,173,0,0,0,"{""non_edubench_task_score_review_only"": 173}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"model/judge output, not human label; no target_label_5; no low-score target_label_5 rows"
deepseek_output/judge-1-process.jsonl,model_judge_output,189,0,0,0,"{""non_edubench_task_score_review_only"": 189}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"model/judge output, not human label; no target_label_5; no low-score target_label_5 rows"
deepseek_output/judge-2-process.jsonl,model_judge_output,186,0,0,0,"{""non_edubench_task_score_review_only"": 186}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"model/judge output, not human label; no target_label_5; no low-score target_label_5 rows"
deepseek_output/processed_excel_data_1.jsonl,unknown,659,659,8,0,"{""synthetic_metric_label_review_only"": 659}",False,LOW,unverified_human_or_model_generated,POSSIBLE_FILTERED_TRAIN_ONLY_AFTER_MANUAL_CONFIRMATION,train_only_if_approved,
deepseek_output/processed_excel_data_1_en.jsonl,unknown,331,331,5,0,"{""synthetic_metric_label_review_only"": 331}",False,LOW,unverified_human_or_model_generated,POSSIBLE_FILTERED_TRAIN_ONLY_AFTER_MANUAL_CONFIRMATION,train_only_if_approved,
deepseek_output/processed_excel_data_1_zh.jsonl,unknown,328,328,3,0,"{""synthetic_metric_label_review_only"": 328}",False,LOW,unverified_human_or_model_generated,POSSIBLE_FILTERED_TRAIN_ONLY_AFTER_MANUAL_CONFIRMATION,train_only_if_approved,
deepseek_output/processed_excel_data_2.jsonl,model_judge_output,659,659,8,0,"{""model_judge_output_review_only"": 659}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"model/judge output, not human label"
deepseek_output/processed_excel_data_2_en.jsonl,model_judge_output,331,331,5,0,"{""model_judge_output_review_only"": 331}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"model/judge output, not human label"
deepseek_output/processed_excel_data_2_zh.jsonl,model_judge_output,328,328,3,0,"{""model_judge_output_review_only"": 328}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"model/judge output, not human label"
