source_file,metric_canonical,target_label_5,count,pct
deepseek-r1_merged.jsonl,unknown,missing,990,0.0093
deepseek_output/deepseek_generated_20251124_204411.jsonl,unknown,missing,164,0.001541
deepseek_output/en_judge_20251109_221657.jsonl,unknown,missing,173,0.001625
deepseek_output/judge-1-process.jsonl,unknown,missing,189,0.001775
deepseek_output/judge-2-process.jsonl,unknown,missing,186,0.001747
deepseek_output/processed_excel_data_1.jsonl,Basic Factual Accuracy,4,3,2.8e-05
deepseek_output/processed_excel_data_1.jsonl,Basic Factual Accuracy,5,126,0.001184
deepseek_output/processed_excel_data_1.jsonl,Content Relevance & Scope Control,4,4,3.8e-05
deepseek_output/processed_excel_data_1.jsonl,Content Relevance & Scope Control,5,125,0.001174
deepseek_output/processed_excel_data_1.jsonl,Error Identification & Correction Precision,3,9,8.5e-05
deepseek_output/processed_excel_data_1.jsonl,Error Identification & Correction Precision,4,20,0.000188
deepseek_output/processed_excel_data_1.jsonl,Error Identification & Correction Precision,5,100,0.000939
deepseek_output/processed_excel_data_1.jsonl,Instruction Following & Task Completion,3,1,9e-06
deepseek_output/processed_excel_data_1.jsonl,Instruction Following & Task Completion,4,3,2.8e-05
deepseek_output/processed_excel_data_1.jsonl,Instruction Following & Task Completion,5,125,0.001174
deepseek_output/processed_excel_data_1.jsonl,"Motivation, Guidance & Positive Feedback",2,8,7.5e-05
deepseek_output/processed_excel_data_1.jsonl,"Motivation, Guidance & Positive Feedback",3,31,0.000291
deepseek_output/processed_excel_data_1.jsonl,"Motivation, Guidance & Positive Feedback",4,45,0.000423
deepseek_output/processed_excel_data_1.jsonl,"Motivation, Guidance & Positive Feedback",5,45,0.000423
deepseek_output/processed_excel_data_1.jsonl,Reasoning Process Rigor,3,1,9e-06
deepseek_output/processed_excel_data_1.jsonl,Reasoning Process Rigor,4,2,1.9e-05
deepseek_output/processed_excel_data_1.jsonl,Reasoning Process Rigor,5,11,0.000103
deepseek_output/processed_excel_data_1_en.jsonl,Basic Factual Accuracy,5,64,0.000601
deepseek_output/processed_excel_data_1_en.jsonl,Content Relevance & Scope Control,4,2,1.9e-05
deepseek_output/processed_excel_data_1_en.jsonl,Content Relevance & Scope Control,5,62,0.000582
deepseek_output/processed_excel_data_1_en.jsonl,Error Identification & Correction Precision,3,3,2.8e-05
deepseek_output/processed_excel_data_1_en.jsonl,Error Identification & Correction Precision,4,7,6.6e-05
deepseek_output/processed_excel_data_1_en.jsonl,Error Identification & Correction Precision,5,54,0.000507
deepseek_output/processed_excel_data_1_en.jsonl,Instruction Following & Task Completion,4,1,9e-06
deepseek_output/processed_excel_data_1_en.jsonl,Instruction Following & Task Completion,5,63,0.000592
deepseek_output/processed_excel_data_1_en.jsonl,"Motivation, Guidance & Positive Feedback",2,5,4.7e-05
deepseek_output/processed_excel_data_1_en.jsonl,"Motivation, Guidance & Positive Feedback",3,10,9.4e-05
deepseek_output/processed_excel_data_1_en.jsonl,"Motivation, Guidance & Positive Feedback",4,21,0.000197
deepseek_output/processed_excel_data_1_en.jsonl,"Motivation, Guidance & Positive Feedback",5,28,0.000263
deepseek_output/processed_excel_data_1_en.jsonl,Reasoning Process Rigor,4,2,1.9e-05
deepseek_output/processed_excel_data_1_en.jsonl,Reasoning Process Rigor,5,9,8.5e-05
deepseek_output/processed_excel_data_1_zh.jsonl,Basic Factual Accuracy,4,3,2.8e-05
deepseek_output/processed_excel_data_1_zh.jsonl,Basic Factual Accuracy,5,62,0.000582
deepseek_output/processed_excel_data_1_zh.jsonl,Content Relevance & Scope Control,4,2,1.9e-05
deepseek_output/processed_excel_data_1_zh.jsonl,Content Relevance & Scope Control,5,63,0.000592
deepseek_output/processed_excel_data_1_zh.jsonl,Error Identification & Correction Precision,3,6,5.6e-05
deepseek_output/processed_excel_data_1_zh.jsonl,Error Identification & Correction Precision,4,13,0.000122
deepseek_output/processed_excel_data_1_zh.jsonl,Error Identification & Correction Precision,5,46,0.000432
deepseek_output/processed_excel_data_1_zh.jsonl,Instruction Following & Task Completion,3,1,9e-06
deepseek_output/processed_excel_data_1_zh.jsonl,Instruction Following & Task Completion,4,2,1.9e-05
deepseek_output/processed_excel_data_1_zh.jsonl,Instruction Following & Task Completion,5,62,0.000582
deepseek_output/processed_excel_data_1_zh.jsonl,"Motivation, Guidance & Positive Feedback",2,3,2.8e-05
deepseek_output/processed_excel_data_1_zh.jsonl,"Motivation, Guidance & Positive Feedback",3,21,0.000197
deepseek_output/processed_excel_data_1_zh.jsonl,"Motivation, Guidance & Positive Feedback",4,24,0.000225
deepseek_output/processed_excel_data_1_zh.jsonl,"Motivation, Guidance & Positive Feedback",5,17,0.00016
deepseek_output/processed_excel_data_1_zh.jsonl,Reasoning Process Rigor,3,1,9e-06
deepseek_output/processed_excel_data_1_zh.jsonl,Reasoning Process Rigor,5,2,1.9e-05
deepseek_output/processed_excel_data_2.jsonl,Basic Factual Accuracy,4,3,2.8e-05
deepseek_output/processed_excel_data_2.jsonl,Basic Factual Accuracy,5,126,0.001184
deepseek_output/processed_excel_data_2.jsonl,Content Relevance & Scope Control,4,4,3.8e-05
deepseek_output/processed_excel_data_2.jsonl,Content Relevance & Scope Control,5,125,0.001174
deepseek_output/processed_excel_data_2.jsonl,Error Identification & Correction Precision,3,9,8.5e-05
deepseek_output/processed_excel_data_2.jsonl,Error Identification & Correction Precision,4,20,0.000188
deepseek_output/processed_excel_data_2.jsonl,Error Identification & Correction Precision,5,100,0.000939
deepseek_output/processed_excel_data_2.jsonl,Instruction Following & Task Completion,3,1,9e-06
deepseek_output/processed_excel_data_2.jsonl,Instruction Following & Task Completion,4,3,2.8e-05
deepseek_output/processed_excel_data_2.jsonl,Instruction Following & Task Completion,5,125,0.001174
deepseek_output/processed_excel_data_2.jsonl,"Motivation, Guidance & Positive Feedback",2,8,7.5e-05
deepseek_output/processed_excel_data_2.jsonl,"Motivation, Guidance & Positive Feedback",3,31,0.000291
deepseek_output/processed_excel_data_2.jsonl,"Motivation, Guidance & Positive Feedback",4,45,0.000423
deepseek_output/processed_excel_data_2.jsonl,"Motivation, Guidance & Positive Feedback",5,45,0.000423
deepseek_output/processed_excel_data_2.jsonl,Reasoning Process Rigor,3,1,9e-06
deepseek_output/processed_excel_data_2.jsonl,Reasoning Process Rigor,4,2,1.9e-05
deepseek_output/processed_excel_data_2.jsonl,Reasoning Process Rigor,5,11,0.000103
deepseek_output/processed_excel_data_2_en.jsonl,Basic Factual Accuracy,5,64,0.000601
deepseek_output/processed_excel_data_2_en.jsonl,Content Relevance & Scope Control,4,2,1.9e-05
deepseek_output/processed_excel_data_2_en.jsonl,Content Relevance & Scope Control,5,62,0.000582
deepseek_output/processed_excel_data_2_en.jsonl,Error Identification & Correction Precision,3,3,2.8e-05
deepseek_output/processed_excel_data_2_en.jsonl,Error Identification & Correction Precision,4,7,6.6e-05
deepseek_output/processed_excel_data_2_en.jsonl,Error Identification & Correction Precision,5,54,0.000507
deepseek_output/processed_excel_data_2_en.jsonl,Instruction Following & Task Completion,4,1,9e-06
deepseek_output/processed_excel_data_2_en.jsonl,Instruction Following & Task Completion,5,63,0.000592
deepseek_output/processed_excel_data_2_en.jsonl,"Motivation, Guidance & Positive Feedback",2,5,4.7e-05
deepseek_output/processed_excel_data_2_en.jsonl,"Motivation, Guidance & Positive Feedback",3,10,9.4e-05
deepseek_output/processed_excel_data_2_en.jsonl,"Motivation, Guidance & Positive Feedback",4,21,0.000197
deepseek_output/processed_excel_data_2_en.jsonl,"Motivation, Guidance & Positive Feedback",5,28,0.000263
deepseek_output/processed_excel_data_2_en.jsonl,Reasoning Process Rigor,4,2,1.9e-05
deepseek_output/processed_excel_data_2_en.jsonl,Reasoning Process Rigor,5,9,8.5e-05
deepseek_output/processed_excel_data_2_zh.jsonl,Basic Factual Accuracy,4,3,2.8e-05
deepseek_output/processed_excel_data_2_zh.jsonl,Basic Factual Accuracy,5,62,0.000582
deepseek_output/processed_excel_data_2_zh.jsonl,Content Relevance & Scope Control,4,2,1.9e-05
deepseek_output/processed_excel_data_2_zh.jsonl,Content Relevance & Scope Control,5,63,0.000592
deepseek_output/processed_excel_data_2_zh.jsonl,Error Identification & Correction Precision,3,6,5.6e-05
deepseek_output/processed_excel_data_2_zh.jsonl,Error Identification & Correction Precision,4,13,0.000122
deepseek_output/processed_excel_data_2_zh.jsonl,Error Identification & Correction Precision,5,46,0.000432
deepseek_output/processed_excel_data_2_zh.jsonl,Instruction Following & Task Completion,3,1,9e-06
deepseek_output/processed_excel_data_2_zh.jsonl,Instruction Following & Task Completion,4,2,1.9e-05
deepseek_output/processed_excel_data_2_zh.jsonl,Instruction Following & Task Completion,5,62,0.000582
deepseek_output/processed_excel_data_2_zh.jsonl,"Motivation, Guidance & Positive Feedback",2,3,2.8e-05
deepseek_output/processed_excel_data_2_zh.jsonl,"Motivation, Guidance & Positive Feedback",3,21,0.000197
deepseek_output/processed_excel_data_2_zh.jsonl,"Motivation, Guidance & Positive Feedback",4,24,0.000225
deepseek_output/processed_excel_data_2_zh.jsonl,"Motivation, Guidance & Positive Feedback",5,17,0.00016
deepseek_output/processed_excel_data_2_zh.jsonl,Reasoning Process Rigor,3,1,9e-06
deepseek_output/processed_excel_data_2_zh.jsonl,Reasoning Process Rigor,5,2,1.9e-05
deepseek_output/unique_questions.jsonl,unknown,missing,25,0.000235
deepseek_output/zh_judge_20251109_223622.jsonl,unknown,missing,234,0.002198
edu-data-synthesis-main/data/criteria/metrics_old.json,unknown,missing,3,2.8e-05
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Basic Factual Accuracy,1,13,0.000122
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Basic Factual Accuracy,2,21,0.000197
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Basic Factual Accuracy,3,52,0.000488
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Basic Factual Accuracy,4,354,0.003325
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Basic Factual Accuracy,5,1540,0.014466
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Clarity, Simplicity & Inspiration",2,18,0.000169
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Clarity, Simplicity & Inspiration",3,90,0.000845
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Clarity, Simplicity & Inspiration",4,648,0.006087
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Clarity, Simplicity & Inspiration",5,564,0.005298
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Content Relevance & Scope Control,1,2,1.9e-05
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Content Relevance & Scope Control,2,25,0.000235
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Content Relevance & Scope Control,3,81,0.000761
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Content Relevance & Scope Control,4,528,0.00496
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Content Relevance & Scope Control,5,1434,0.01347
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Domain Knowledge Accuracy,3,69,0.000648
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Domain Knowledge Accuracy,4,437,0.004105
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Domain Knowledge Accuracy,5,484,0.004546
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Error Identification & Correction Precision,1,24,0.000225
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Error Identification & Correction Precision,2,32,0.000301
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Error Identification & Correction Precision,3,47,0.000441
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Error Identification & Correction Precision,4,182,0.00171
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Error Identification & Correction Precision,5,375,0.003523
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Higher-Order Thinking & Skill Development,2,82,0.00077
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Higher-Order Thinking & Skill Development,3,360,0.003382
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Higher-Order Thinking & Skill Development,4,598,0.005617
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Higher-Order Thinking & Skill Development,5,370,0.003476
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Instruction Following & Task Completion,1,4,3.8e-05
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Instruction Following & Task Completion,2,48,0.000451
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Instruction Following & Task Completion,3,212,0.001991
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Instruction Following & Task Completion,4,1101,0.010342
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Instruction Following & Task Completion,5,1735,0.016298
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Motivation, Guidance & Positive Feedback",1,15,0.000141
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Motivation, Guidance & Positive Feedback",2,52,0.000488
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Motivation, Guidance & Positive Feedback",3,209,0.001963
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Motivation, Guidance & Positive Feedback",4,427,0.004011
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Motivation, Guidance & Positive Feedback",5,287,0.002696
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Personalization, Adaptation & Learning Support",2,11,0.000103
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Personalization, Adaptation & Learning Support",3,180,0.001691
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Personalization, Adaptation & Learning Support",4,405,0.003804
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,"Personalization, Adaptation & Learning Support",5,524,0.004922
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Reasoning Process Rigor,1,206,0.001935
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Reasoning Process Rigor,2,26,0.000244
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Reasoning Process Rigor,3,133,0.001249
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Reasoning Process Rigor,4,419,0.003936
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Reasoning Process Rigor,5,536,0.005035
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,Role & Tone Consistency,2,1,9e-06
