pair_index,sample_id,question_key,risk_type,gold_label,rejected_score,reason_hash,r7a_match_found,r7e_same_sample,r7e_messages_match_r7d,r7e_rejected_match_r7d,r7e_chosen_score_only,r7d_chosen_has_reason,r7a_messages_match_r7d,r7a_rejected_match_r7d
0,01cc5ff057b6de65aa7fc51623308f2c778c9ee7,fe8355c92fdedf86b46847c533ca17f018bc7679,high_to_low_real_model_error,5,1,d544eed2964bd71065950d678269130a5c8a4d8f,True,True,True,True,True,True,True,True
1,069efce9a099285d7ca6da6c14beb40c0b846992,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,high_to_low_real_model_error,5,2,d904787978045e8641651216a9dcedcccfbc61c6,True,True,True,True,True,True,True,True
2,078a7ec67d125c2319c7f26a2b09f6930ba294cb,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,high_to_low_real_model_error,4,2,cd80bb2a0c9676272b29a180ea9339d2f7c8b0f2,True,True,True,True,True,True,True,True
3,08e17a89ec6bdaf01401e8273bb48c4a9389829d,7f281c5d001646c5cd068f561302e9f2c1b03a4e,high_to_low_real_model_error,4,2,31329155da71e91677122a70b01a8a2e980baf00,True,True,True,True,True,True,True,True
4,09202b8fad82a0e2d357f9671cae70d0a8b29349,d2dfb2224f4f7d3f932930cf1d4240b74deb2f11,high_to_low_real_model_error,4,2,5b18fabad5e6831b95b0268124ebb94c442e6c71,True,True,True,True,True,True,True,True
5,118543b6ffd1f0b7fc57b078ffd51c77f796b610,fe8355c92fdedf86b46847c533ca17f018bc7679,high_to_low_real_model_error,5,1,3c58494d75b94e04d128c89a9b320d4cd4ce2546,True,True,True,True,True,True,True,True
6,1214a9796760bb201b38fce79c99471cc31271d2,474e1de7818e5730139801b4f471b28d6fa78a15,high_to_low_real_model_error,5,1,2c7976490e075e0c7ca73bb06c009a5a86d4b6e7,True,True,True,True,True,True,True,True
7,131797f974b039a303f85e62bde66f7f8dffe4bc,5190426b37344a5dd70adf4894aacc1fb868cdff,high_to_low_real_model_error,5,1,8f02490049767754eef189c64d4bd02019dc2123,True,True,True,True,True,True,True,True
8,131797f974b039a303f85e62bde66f7f8dffe4bc,5190426b37344a5dd70adf4894aacc1fb868cdff,high_to_low_real_model_error,5,2,8f02490049767754eef189c64d4bd02019dc2123,True,True,True,True,True,True,True,True
9,13d04f08a0d70c9f135178c8257a87a5dbeb4f4a,ac5843a5b2798e8500cac73be37d8147d820498f,high_to_low_real_model_error,4,2,ad5627fa01167b29985e5116aef0995f8bb479a0,True,True,True,True,True,True,True,True
10,174cb745b1e9218726a6d0e749f43d68cf936226,f7f8e6254e81a50cd0db26f7a0b465bd860ee691,high_to_low_real_model_error,4,2,d9780a9c961f03d4f625f05d8310e3a5f57c2a83,True,True,True,True,True,True,True,True
11,19c0fa03c864642d8bc83f2794cc14fb1adbf199,7d31b9d0eef59066afff9ba848a799e2668bbed2,high_to_low_real_model_error,5,2,9002574decaf041772b7c9b6a1b908708fea5e98,True,True,True,True,True,True,True,True
12,19cde12137f089d93000c830e674b7341c697dd6,4313f036000c452831d9baa30d1ba9a9a6cc0647,high_to_low_real_model_error,4,2,e8c323f2261168fc744348837998e0f1c6efccbf,True,True,True,True,True,True,True,True
