objective_id,objective_type,objective_label,status,split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
O1_classification,classification,classification,reused_exp03_a4,dev,1,6,0.5,1.277777777777778,1.277777777777778,2.3333333333333335,2.357047940856622,0.5,0.0
O1_classification,classification,classification,reused_exp03_a4,dev,2,14,0.14285714285714285,1.5238095238095237,1.476190476190476,3.5714285714285716,3.664480414852733,0.8571428571428571,0.0
O1_classification,classification,classification,reused_exp03_a4,dev,3,62,0.2903225806451613,0.8225806451612904,0.6827956989247309,3.8548387096774195,3.7894064579062277,0.7096774193548387,0.0
O1_classification,classification,classification,reused_exp03_a4,dev,4,237,0.7130801687763713,0.420534458509142,0.026722925457102854,4.147679324894515,4.107208212386424,0.21940928270042195,0.06751054852320675
O1_classification,classification,classification,reused_exp03_a4,dev,5,345,0.8434782608695652,0.24444444444444438,-0.024154589371980808,4.828985507246377,4.764710224507606,0.0,0.1565217391304348
O1_classification,classification,classification,reused_exp03_a4,test,1,56,0.3392857142857143,2.1785714285714284,2.1785714285714284,3.1785714285714284,3.0279941085682367,0.6607142857142857,0.0
O1_classification,classification,classification,reused_exp03_a4,test,2,47,0.3829787234042553,0.929078014184397,0.8439716312056735,2.9574468085106385,3.020095407326385,0.5957446808510638,0.02127659574468085
O1_classification,classification,classification,reused_exp03_a4,test,3,194,0.4020618556701031,0.7422680412371134,0.5498281786941579,3.6752577319587627,3.6691841309004407,0.5721649484536082,0.02577319587628866
O1_classification,classification,classification,reused_exp03_a4,test,4,720,0.7041666666666667,0.4,0.05740740740740759,4.159722222222222,4.12352183128516,0.22916666666666666,0.06666666666666667
O1_classification,classification,classification,reused_exp03_a4,test,5,1201,0.8509575353871773,0.2467388287538162,-0.017485428809325698,4.83180682764363,4.77602279549513,0.0,0.14904246461282264
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,1,6,0.16666666666666666,1.277777777777778,1.277777777777778,2.3333333333333335,2.2421895066897073,0.8333333333333334,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,2,14,0.14285714285714285,1.3571428571428572,1.261904761904762,3.357142857142857,3.3367036410740445,0.8571428571428571,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,3,62,0.3870967741935484,0.6666666666666666,0.5053763440860215,3.6774193548387095,3.63895425873418,0.6129032258064516,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,4,237,0.7552742616033755,0.3881856540084388,0.005625879043600747,4.1265822784810124,4.157630733296841,0.18565400843881857,0.05907172995780591
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,5,345,0.7507246376811594,0.2840579710144927,-0.1024154589371982,4.750724637681159,4.665598281224569,0.0,0.2492753623188406
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,1,56,0.05357142857142857,1.4642857142857142,1.4642857142857142,2.4642857142857144,2.386444417493684,0.9464285714285714,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,2,47,0.3617021276595745,0.7730496453900707,0.7163120567375886,2.8297872340425534,2.882982152573606,0.6382978723404256,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,3,194,0.35051546391752575,0.7010309278350515,0.5807560137457044,3.7061855670103094,3.682703834219077,0.6391752577319587,0.010309278350515464
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,4,720,0.7777777777777778,0.3550925925925925,-0.010648148148147964,4.091666666666667,4.124697263373269,0.15694444444444444,0.06527777777777778
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,5,1201,0.7502081598667777,0.29364418540105464,-0.10158201498751054,4.7477102414654455,4.66616589064205,0.0,0.2497918401332223
O3_ordinal,ordinal,ordinal,completed,dev,1,6,0.5,0.7777777777777778,0.7777777777777778,1.8333333333333333,2.0656825107677528,0.5,0.0
O3_ordinal,ordinal,ordinal,completed,dev,2,14,0.07142857142857142,1.4523809523809523,1.4047619047619047,3.5,3.539294906993746,0.9285714285714286,0.0
O3_ordinal,ordinal,ordinal,completed,dev,3,62,0.25806451612903225,0.8333333333333331,0.7473118279569889,3.9193548387096775,3.8667294514097224,0.7419354838709677,0.0
O3_ordinal,ordinal,ordinal,completed,dev,4,237,0.6835443037974683,0.4219409282700422,0.0900140646976092,4.210970464135021,4.179352196468965,0.26582278481012656,0.05063291139240506
O3_ordinal,ordinal,ordinal,completed,dev,5,345,0.8231884057971014,0.24057971014492746,-0.02995169082125617,4.823188405797102,4.788948329667007,0.0,0.17681159420289855
O3_ordinal,ordinal,ordinal,completed,test,1,56,0.2857142857142857,1.5178571428571428,1.5178571428571428,2.517857142857143,2.5976136808972763,0.7142857142857143,0.0
O3_ordinal,ordinal,ordinal,completed,test,2,47,0.3404255319148936,0.8085106382978722,0.780141843971631,2.893617021276596,2.897496204966143,0.6595744680851063,0.0
O3_ordinal,ordinal,ordinal,completed,test,3,194,0.36082474226804123,0.7972508591065292,0.6426116838487972,3.768041237113402,3.785866733070826,0.6237113402061856,0.015463917525773196
O3_ordinal,ordinal,ordinal,completed,test,4,720,0.7041666666666667,0.39305555555555555,0.07268518518518538,4.175,4.172994284714084,0.2361111111111111,0.059722222222222225
O3_ordinal,ordinal,ordinal,completed,test,5,1201,0.8559533721898418,0.23064113238967518,0.0008326394671106079,4.850124895920066,4.814582158916756,0.0,0.1440466278101582
