check,status,observed,expected,notes
Exp3 A4 run exists,PASS,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata,exists,
Exp3 A4 dataset exists,PASS,thesis_exp/outputs/exp03_input_ablation/datasets/A4_question_answer_metric_rubric_metadata,exists,
O1 can reuse Exp3 A4 artifacts,PASS,missing=[],all required files present,
Exp4 fixed A4 dataset can be built,PASS,"[""PASS"", ""PASS"", ""PASS""]",all PASS,
train row count,PASS,2654,2654,
train no synthetic/sample path,PASS,thesis_exp/outputs/exp04_target_objectives/datasets/A4_fixed_question_answer_metric_rubric_metadata/train.jsonl,fixed A4 dataset path,
train O2 human_mean_5 target,PASS,0,0,
train O3 ordinal target shape,PASS,5x4 sample,"[n,4]",
dev row count,PASS,664,664,
dev no synthetic/sample path,PASS,thesis_exp/outputs/exp04_target_objectives/datasets/A4_fixed_question_answer_metric_rubric_metadata/dev.jsonl,fixed A4 dataset path,
dev O2 human_mean_5 target,PASS,0,0,
dev O3 ordinal target shape,PASS,5x4 sample,"[n,4]",
test row count,PASS,2218,2218,
test no synthetic/sample path,PASS,thesis_exp/outputs/exp04_target_objectives/datasets/A4_fixed_question_answer_metric_rubric_metadata/test.jsonl,fixed A4 dataset path,
test O2 human_mean_5 target,PASS,0,0,
test O3 ordinal target shape,PASS,5x4 sample,"[n,4]",
No test leakage by record_id,PASS,"{""dev_test"": 0, ""train_dev"": 0, ""train_test"": 0}",all overlaps 0,
bash -n run_exp04_train_objectives.sh,PASS,ok,ok,
bash -n thesis_exp/scripts/run_exp04_train_objectives.sh,PASS,ok,ok,
exp04 modules py_compile,PASS,ok,ok,
No checkpoint files tracked,PASS,[],[],
