objective_id,objective_type,objective_label,status,split,metric_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
O1_classification,classification,classification,reused_exp03_a4,dev,Basic Factual Accuracy,83,0.8072289156626506,0.8072289156626506,0.3052208835341365,0.32874574835383263,0.5944860424084605,0.09638554216867465,0.04045895066565203,0.2601320820298923,0.8058846438936142,0.5681581685744017,0.3837146682319183,0.40981921710374175,0.963855421686747,0.0,0.0,0.9130434782608695,3,0.0,1.888888888888889,1.888888888888889,0.6666666666666666,0.6666666666666666,3.6666666666666665,69,0.014492753623188406,-9.01050570710272e-17,0.32874574835383263,0.03614457831325301,0.0,0.012048192771084338,0.024096385542168676,0.14457831325301204,0.8192771084337349,nan
O1_classification,classification,classification,reused_exp03_a4,dev,"Clarity, Simplicity & Inspiration",47,0.6382978723404256,0.6382978723404256,0.43971631205673745,0.390641129317341,0.5954913341754137,0.05673758865248227,0.05654751288969733,0.3590769230769231,0.6265466448445172,0.35230677052127024,0.38774374476505596,0.4286108883470947,0.9574468085106383,nan,0.0,0.6,1,0.0,1.6666666666666665,1.6666666666666665,1.0,1.0,4.0,20,0.0,-0.16666666666666688,0.390641129317341,0.0425531914893617,0.0,0.0,0.02127659574468085,0.574468085106383,0.40425531914893614,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Content Relevance & Scope Control,76,0.8421052631578947,0.8421052631578947,0.2894736842105262,0.27736911958928145,0.47449573109819365,0.12280701754385963,0.06718591665938242,0.3265873015873016,0.8276420217209691,0.5443037974683544,0.5236377443311155,0.5698688631874993,0.9736842105263158,nan,nan,0.9444444444444444,0,nan,nan,nan,nan,nan,nan,54,0.018518518518518517,0.061728395061728274,0.27736911958928145,0.02631578947368421,0.0,0.0,0.013157894736842105,0.2236842105263158,0.7631578947368421,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Domain Knowledge Accuracy,33,0.6060606060606061,0.6060606060606061,0.5353535353535352,0.4307156906698911,0.7498596950693925,0.09090909090909093,0.04614540355791952,0.2574712643678161,0.6039707419017764,0.22111801242236018,0.23373698476807434,0.27710808194390696,0.9393939393939394,nan,nan,0.7333333333333333,0,nan,nan,nan,nan,nan,nan,15,0.0,-0.08888888888888904,0.4307156906698911,0.06060606060606061,0.0,0.0,0.06060606060606061,0.3939393939393939,0.5454545454545454,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Error Identification & Correction Precision,34,0.7941176470588235,0.7941176470588235,0.40196078431372545,0.3322320731335197,0.773329952663334,0.303921568627451,0.1692520195334224,0.44927536231884063,0.7711849957374254,0.6076923076923078,0.6676523877471614,0.7498115938423432,0.9411764705882353,0.0,0.0,0.9545454545454546,2,0.0,2.6666666666666665,2.6666666666666665,1.0,1.0,4.0,22,0.0,0.06060606060606051,0.3322320731335197,0.058823529411764705,0.0,0.0,0.058823529411764705,0.23529411764705882,0.7058823529411765,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Higher-Order Thinking & Skill Development,45,0.6,0.6,0.5259259259259259,0.4874229765566043,0.6903210918670696,-0.05185185185185186,-0.10717979916685791,0.5457556935817806,0.6017483321831149,0.5927601809954751,0.4536516226109335,0.5285523402157964,0.9555555555555556,nan,1.0,0.6666666666666666,2,1.0,0.16666666666666674,-0.16666666666666674,0.0,0.0,2.0,12,0.16666666666666666,-0.27777777777777796,0.4874229765566043,0.044444444444444446,0.0,0.044444444444444446,0.24444444444444444,0.5111111111111111,0.2,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Instruction Following & Task Completion,124,0.7338709677419355,0.7338709677419355,0.3790322580645161,0.37211733440322564,0.5608173758294744,0.14247311827956988,0.10779479287076625,0.5585763000852515,0.716791106344361,0.6648246035559826,0.528906423168128,0.5820795709355574,0.967741935483871,1.0,0.0,0.859375,4,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,2.5,64,0.0,0.02083333333333319,0.37211733440322564,0.03225806451612903,0.008064516129032258,0.0,0.04838709677419355,0.3629032258064516,0.5806451612903226,nan
O1_classification,classification,classification,reused_exp03_a4,dev,"Motivation, Guidance & Positive Feedback",44,0.6818181818181818,0.6818181818181818,0.462121212121212,0.4172512300344634,0.621581560508061,0.21969696969696972,0.05088251081033613,0.39994548180455225,0.6567583976606738,0.5736434108527131,0.6171054158483675,0.7061279865428884,0.9545454545454546,nan,0.0,0.7857142857142857,2,0.0,1.8333333333333333,1.8333333333333333,1.0,1.0,4.0,14,0.0,-1.9032394707859825e-16,0.4172512300344634,0.045454545454545456,0.0,0.0,0.06818181818181818,0.5909090909090909,0.3409090909090909,nan
O1_classification,classification,classification,reused_exp03_a4,dev,"Personalization, Adaptation & Learning Support",41,0.7804878048780488,0.7804878048780488,0.3658536585365853,0.3409222775318104,0.5334349496690812,0.04065040650406506,0.05040530391130554,0.4152380952380953,0.7718931475029035,0.6583333333333334,0.6141226943472241,0.6965442423931733,0.975609756097561,nan,nan,0.8125,0,nan,nan,nan,nan,nan,nan,16,0.0,-0.02083333333333348,0.3409222775318104,0.024390243902439025,0.0,0.0,0.0975609756097561,0.5609756097560976,0.34146341463414637,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Reasoning Process Rigor,48,0.5625,0.5625,0.5208333333333334,0.5076371212573147,0.8646879120151878,0.04861111111111116,-0.04667002897676611,0.4541176470588236,0.5648809523809524,0.6243980738362761,0.5568611940755261,0.6426448134444634,0.9583333333333334,0.6666666666666666,0.0,0.7142857142857143,4,0.5,1.1666666666666665,1.1666666666666665,0.25,0.25,2.5,21,0.047619047619047616,-0.2698412698412699,0.5076371212573147,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.3541666666666667,0.4375,nan
