run_id,setting,status,split,n,Accuracy,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,severe_error_rate,low_to_high_rate,Acc@5,high_to_mid_or_low_rate,monotonic_violation_rate,best_epoch,best_global_step
QD-B0_human_only_ordinary_ordinal,human-only ordinary independent ordinal,completed,dev,1107,0.6766034327009937,0.4658235471243601,0.4202975068149761,0.7306677348517502,0.23396567299006324,0.19411797120595306,0.5032087688277459,0.654298874122451,0.5650525008529019,0.5046981461930293,0.5661577995571536,0.05871725383920506,0.5263157894736842,0.8381294964028777,0.0035971223021582736,0.23486901535682023,5,130
QD-B0_human_only_ordinary_ordinal,human-only ordinary independent ordinal,completed,test,1103,0.6935630099728014,0.4019341190692051,0.37631541153116166,0.6188666010134206,0.1069809610154125,0.06809384010810855,0.5465464782390519,0.6837726755752096,0.5976217823018422,0.5293242185530982,0.5912981227564057,0.03173164097914778,0.5161290322580645,0.7873376623376623,0.003246753246753247,0.1985494106980961,5,130
QD-B1_human_only_L1_weighted_ordinal,human-only L1 weighted independent ordinal,completed,dev,1107,0.6485998193315267,0.48118036735922903,0.4304336130845666,0.7366190659348326,0.15356820234869015,0.1195250129699691,0.5346131073141539,0.6389196371923507,0.5614556962025317,0.4905643092554062,0.5539990695127406,0.057813911472448055,0.49122807017543857,0.7805755395683454,0.01079136690647482,0.3053297199638663,6,156
QD-B1_human_only_L1_weighted_ordinal,human-only L1 weighted independent ordinal,completed,test,1103,0.670897552130553,0.42792384406165007,0.3980361290190023,0.6446969281319261,0.018132366273798706,-0.01394251076054075,0.5324847212262678,0.6707224928657053,0.6012356007375432,0.5265979428764057,0.5931744288310964,0.03445149592021759,0.45161290322580644,0.7418831168831169,0.01461038961038961,0.3118766999093382,6,156
QD-R1_CORAL_human_only,human-only CORAL rank-consistent ordinal,completed,dev,1107,0.6287262872628726,0.5221318879855466,0.41504699589832494,0.8064778385455118,0.4046973803071364,0.1252787511715257,0.4580485912428357,0.5834959388992836,0.48496020640504167,0.43367754955202026,0.486931547889587,0.07046070460704607,0.5614035087719298,0.9244604316546763,0.0035971223021582736,0.0,4,104
QD-R1_CORAL_human_only,human-only CORAL rank-consistent ordinal,completed,test,1103,0.6554850407978241,0.4466606225445754,0.39555819536680903,0.6811659899560988,0.2828649138712602,-0.008384031965254826,0.48795115868699596,0.6203411241744902,0.5271754702243676,0.45560562684313166,0.5134349936980643,0.04805077062556664,0.5161290322580645,0.8977272727272727,0.003246753246753247,0.0,4,104
QD-ER1_EduRisk_human_only,human-only EduRisk rank-consistent ordinal,completed,dev,1107,0.6594399277326106,0.49292381812707015,0.47314323703412087,0.7735074407627809,0.2917795844625113,-0.09868736587996516,0.49049624353503135,0.6309517325111079,0.5207353155163215,0.45746385236242443,0.5132861124101034,0.06052393857271906,0.5263157894736842,0.8669064748201439,0.0035971223021582736,0.0,4,104
QD-ER1_EduRisk_human_only,human-only EduRisk rank-consistent ordinal,completed,test,1103,0.6699909338168631,0.4378966455122393,0.49900128417016526,0.6652296388833534,0.12601994560290114,-0.2593010972006583,0.5245983487371758,0.6587665685546121,0.5580654633188158,0.46946147976060904,0.5307766357214987,0.04986400725294651,0.45161290322580644,0.8035714285714286,0.024350649350649352,0.0,4,104
QD-PR1_PairwiseRiskOrdinal_human_only,human-only risk-aware pairwise independent ordinal,completed,dev,1107,0.6576332429990966,0.47997591087021974,0.45602686491762284,0.7341622973373647,0.16260162601626016,0.159646628779512,0.494677418603386,0.640038580608894,0.5444935656946113,0.4723460724501893,0.5308654537866759,0.05871725383920506,0.5263157894736842,0.7553956834532374,0.007194244604316547,0.7551942186088527,5,785
QD-PR1_PairwiseRiskOrdinal_human_only,human-only risk-aware pairwise independent ordinal,completed,test,1103,0.6400725294650952,0.45451798126322146,0.4310548794954223,0.6586095166458961,0.03263825929283769,0.03734285829620104,0.501949042724779,0.6354433882080378,0.5473117789228875,0.454532962190567,0.5117367248286756,0.03989120580235721,0.5161290322580645,0.6915584415584416,0.01461038961038961,0.7615593834995467,5,785
