split,true_label,n,monotonic_violation_count,monotonic_violation_rate,mean_prob_gt_1,mean_prob_gt_2,mean_prob_gt_3,mean_prob_gt_4,mean_pred_label,mean_pred_score_expected
dev,1,19,6,0.3157894736842105,0.3587832584971693,0.3028213815922706,0.11682593217275744,7.462311681425298e-05,1.736842105263158,1.7785051953790116
dev,2,38,18,0.47368421052631576,0.999986668950633,0.995392415084337,0.755203825637394,0.40891978027307196,4.157894736842105,4.159502689945436
dev,3,105,56,0.5333333333333333,0.9999848496346246,0.9968518688565209,0.7694878887518696,0.25734525128535574,4.038095238095238,4.023669858528371
dev,4,389,257,0.6606683804627249,0.9999865670437065,0.9999721260181123,0.9451067718380348,0.24755170120083944,4.197943444730077,4.192617166100693
dev,5,556,499,0.8974820143884892,0.999975700708602,0.9999619507961136,0.991960716119753,0.7553367121779477,4.748201438848921,4.747235079802416
test,1,9,7,0.7777777777777778,0.11159759260610574,0.11113298812415451,0.1112548370167335,0.0008635481717836532,1.3333333333333333,1.3348489659187774
test,2,22,10,0.45454545454545453,0.9999668462709947,0.9997686608271166,0.6933307876348532,0.14633508578267074,3.8181818181818183,3.839401380515635
test,3,105,54,0.5142857142857142,0.9904958514452336,0.9903791854305641,0.7642162614348524,0.1744278533541604,3.9047619047619047,3.9195191516648107
test,4,351,233,0.6638176638176638,0.9999808973056978,0.9999759217612764,0.9319776975360043,0.244172136069734,4.170940170940171,4.176106652672712
test,5,616,536,0.8701298701298701,0.9999672523760176,0.9999459601648442,0.9848132499885993,0.6944062576380219,4.6769480519480515,4.679132720167483
