scope,row_count,epoch_start,epoch_end,global_step_start,global_step_end,mean_L_total,mean_L_point,mean_L_pair,mean_weighted_L_pair,mean_score_gap,mean_low_high_pair_loss,mean_adjacent_pair_loss,mean_point_base_loss,mean_point_sample_weight,min_point_sample_weight,max_point_sample_weight
first_100_steps,100,1,1,0,24,1.1956384497880936,0.6563954767584801,1.7974764907360077,1.7974764907360077,0.01661230083554983,3.117292380332947,0.8291462939977646,0.8069705784320831,1.5508909785747529,0.5,3.0
last_100_steps,100,10,10,1544,1569,0.09755368947982788,0.000837803748290753,0.32238627195358277,0.32238627195358277,2.046879597902298,0.3009305988252163,0.3802768290042877,0.002242113383836113,1.573009204864502,0.5,3.0
all_steps,6250,1,10,0,1569,0.1313392927968502,0.02177754419607285,0.36520581372261046,0.36520581372261046,1.9681975492185355,0.3686025918722153,0.40551854164123535,0.03373794900082925,1.5708436561584473,0.5,3.0
epoch_1,625,1,1,0,156,0.4031308825969696,0.1882704455971718,0.7162014285564423,0.7162014285564423,1.4220211869180202,0.9704201783180236,0.5675031102657319,0.2699300568759441,1.5708436573028564,0.5,3.0
epoch_2,625,2,2,157,313,0.11815559413433074,0.015786518266052006,0.3412302395820618,0.3412302395820618,1.9973232389450073,0.30529873740673064,0.4140166434764862,0.03447305887900293,1.5708436527252196,0.5,3.0
epoch_3,625,3,3,314,470,0.10466467032432557,0.005970719563821331,0.32897982292175293,0.32897982292175293,2.0226274602890015,0.30078574318885803,0.3934872241973877,0.013511337915435434,1.5708436552047729,0.5,3.0
epoch_4,625,4,4,471,627,0.10081761107444763,0.0030185300410259515,0.3259969220161438,0.3259969220161438,2.028764182472229,0.30087930481433867,0.3880172190666199,0.007056981352949515,1.5708436599731446,0.5,3.0
epoch_5,625,5,5,628,784,0.09861261596679688,0.0011088937386113684,0.3250123936653137,0.3250123936653137,2.030003499221802,0.3017094141960144,0.38596717467308045,0.002826311451580841,1.570843656539917,0.5,3.0
epoch_6,625,6,6,785,941,0.09786910017728806,0.0004910115044913254,0.32459361515045165,0.32459361515045165,2.030659784698486,0.3028625660181046,0.38448598680496215,0.0012743435262993444,1.570843657684326,0.5,3.0
epoch_7,625,7,7,942,1098,0.09762197787761688,0.0006060583457030589,0.32338638525009156,0.32338638525009156,2.034711837387085,0.3016167491912842,0.38180773344039914,0.0016097367529349868,1.5708436569213866,0.5,3.0
epoch_8,625,8,8,1099,1255,0.09753566601276398,0.000809825205305242,0.322419455909729,0.322419455909729,2.0379671041488647,0.30145570554733275,0.3803646141052246,0.002144167754240334,1.5708436559677124,0.5,3.0
epoch_9,625,9,9,1256,1412,0.09749594860076904,0.0008493224261066644,0.32215540804862974,0.32215540804862974,2.0388341220855715,0.3006986510038376,0.3797870982170105,0.0022581163328606636,1.5708436544418336,0.5,3.0
epoch_10,625,10,10,1413,1569,0.09748886120319367,0.000864117272439762,0.3220824661254883,0.3220824661254883,2.039063076019287,0.30029886903762815,0.379748612165451,0.0022953791670443026,1.5708436548233031,0.5,3.0
