dataset_name,check_name,status,details
QD-S0_human_only,dev_human_only,PASS,
QD-S0_human_only,dev_row_count,PASS,1107
QD-S0_human_only,test_human_only,PASS,
QD-S0_human_only,test_row_count,PASS,1103
QD-S0_human_only,synthetic_rows_only_in_train,PASS,0
QD-S0_human_only,synthetic_label_provenance_pseudo_label,PASS,
QD-S0_human_only,human_label_provenance_human_score,PASS,
QD-S0_human_only,no_dev_test_question_overlap_for_synthetic_source,PASS,0
QD-S0_human_only,no_dev_test_triple_overlap_for_synthetic_source,PASS,0
QD-S0_human_only,no_duplicate_synthetic_id,PASS,0
QD-S0_human_only,no_duplicate_synthetic_answer_hash,PASS,0
QD-S0_human_only,required_training_fields_present,PASS,
QD-S0_human_only,a4_template_fields_present,PASS,
QD-S0_human_only,no_rationale_error_type_label_source_in_training_text,PASS,{}
QD-S1_human_plus_synthetic_ordinal,dev_human_only,PASS,
QD-S1_human_plus_synthetic_ordinal,dev_row_count,PASS,1107
QD-S1_human_plus_synthetic_ordinal,test_human_only,PASS,
QD-S1_human_plus_synthetic_ordinal,test_row_count,PASS,1103
QD-S1_human_plus_synthetic_ordinal,synthetic_rows_only_in_train,PASS,0
QD-S1_human_plus_synthetic_ordinal,synthetic_label_provenance_pseudo_label,PASS,
QD-S1_human_plus_synthetic_ordinal,human_label_provenance_human_score,PASS,
QD-S1_human_plus_synthetic_ordinal,no_dev_test_question_overlap_for_synthetic_source,PASS,0
QD-S1_human_plus_synthetic_ordinal,no_dev_test_triple_overlap_for_synthetic_source,PASS,0
QD-S1_human_plus_synthetic_ordinal,no_duplicate_synthetic_id,PASS,0
QD-S1_human_plus_synthetic_ordinal,no_duplicate_synthetic_answer_hash,PASS,0
QD-S1_human_plus_synthetic_ordinal,required_training_fields_present,PASS,
QD-S1_human_plus_synthetic_ordinal,a4_template_fields_present,PASS,
QD-S1_human_plus_synthetic_ordinal,no_rationale_error_type_label_source_in_training_text,PASS,{}
QD-S2_human_plus_synthetic_L1,dev_human_only,PASS,
QD-S2_human_plus_synthetic_L1,dev_row_count,PASS,1107
QD-S2_human_plus_synthetic_L1,test_human_only,PASS,
QD-S2_human_plus_synthetic_L1,test_row_count,PASS,1103
QD-S2_human_plus_synthetic_L1,synthetic_rows_only_in_train,PASS,0
QD-S2_human_plus_synthetic_L1,synthetic_label_provenance_pseudo_label,PASS,
QD-S2_human_plus_synthetic_L1,human_label_provenance_human_score,PASS,
QD-S2_human_plus_synthetic_L1,no_dev_test_question_overlap_for_synthetic_source,PASS,0
QD-S2_human_plus_synthetic_L1,no_dev_test_triple_overlap_for_synthetic_source,PASS,0
QD-S2_human_plus_synthetic_L1,no_duplicate_synthetic_id,PASS,0
QD-S2_human_plus_synthetic_L1,no_duplicate_synthetic_answer_hash,PASS,0
QD-S2_human_plus_synthetic_L1,required_training_fields_present,PASS,
QD-S2_human_plus_synthetic_L1,a4_template_fields_present,PASS,
QD-S2_human_plus_synthetic_L1,no_rationale_error_type_label_source_in_training_text,PASS,{}
QD-S3_synthetic_pretrain_then_human_finetune,dev_human_only,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,dev_row_count,PASS,1107
QD-S3_synthetic_pretrain_then_human_finetune,test_human_only,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,test_row_count,PASS,1103
QD-S3_synthetic_pretrain_then_human_finetune,synthetic_rows_only_in_train,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,synthetic_label_provenance_pseudo_label,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,human_label_provenance_human_score,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,no_dev_test_question_overlap_for_synthetic_source,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,no_dev_test_triple_overlap_for_synthetic_source,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,no_duplicate_synthetic_id,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,no_duplicate_synthetic_answer_hash,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,required_training_fields_present,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,a4_template_fields_present,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,no_rationale_error_type_label_source_in_training_text,PASS,{}
GLOBAL,QD-S0 train/dev/test rows = 3326/1107/1103,PASS,
GLOBAL,final_synthetic_pool_count_384,PASS,384
GLOBAL,final_synthetic_pool_label_distribution_168_168_48,PASS,"{""1"": 168, ""2"": 168, ""3"": 48}"
GLOBAL,synthetic_label_provenance_pseudo_label,PASS,
GLOBAL,synthetic_label_source_synthetic_design,PASS,
GLOBAL,synthetic_source_split_train,PASS,
GLOBAL,synthetic_source_question_keys_in_train,PASS,
GLOBAL,synthetic_source_triple_keys_in_train,PASS,
GLOBAL,no_synthetic_source_question_overlap_with_dev_test,PASS,
GLOBAL,no_synthetic_source_triple_overlap_with_dev_test,PASS,
GLOBAL,no_duplicate_synthetic_id,PASS,0
GLOBAL,no_duplicate_answer_hash_within_synthetic_pool,PASS,0
GLOBAL,no_rationale_error_type_label_source_in_training_text,PASS,{}
GLOBAL,a4_template_fields_present,PASS,
GLOBAL,no_api_key_in_files,PASS,0
GLOBAL,no_checkpoint_weights,PASS,0
GLOBAL,no_model_training_executed,PASS,dataset build only
GLOBAL,no_api_called,PASS,local transformation only
GLOBAL,no_new_synthetic_generated,PASS,reused final curated synthetic pool
