dataset_name,split,label_5,count
QD-S0_human_only,train,1,58
QD-S0_human_only,train,2,53
QD-S0_human_only,train,3,297
QD-S0_human_only,train,4,1163
QD-S0_human_only,train,5,1755
QD-S0_human_only,dev,1,19
QD-S0_human_only,dev,2,38
QD-S0_human_only,dev,3,105
QD-S0_human_only,dev,4,389
QD-S0_human_only,dev,5,556
QD-S0_human_only,test,1,9
QD-S0_human_only,test,2,22
QD-S0_human_only,test,3,105
QD-S0_human_only,test,4,351
QD-S0_human_only,test,5,616
QD-S1_human_plus_synthetic_ordinal,train,1,226
QD-S1_human_plus_synthetic_ordinal,train,2,221
QD-S1_human_plus_synthetic_ordinal,train,3,345
QD-S1_human_plus_synthetic_ordinal,train,4,1163
QD-S1_human_plus_synthetic_ordinal,train,5,1755
QD-S1_human_plus_synthetic_ordinal,dev,1,19
QD-S1_human_plus_synthetic_ordinal,dev,2,38
QD-S1_human_plus_synthetic_ordinal,dev,3,105
QD-S1_human_plus_synthetic_ordinal,dev,4,389
QD-S1_human_plus_synthetic_ordinal,dev,5,556
QD-S1_human_plus_synthetic_ordinal,test,1,9
QD-S1_human_plus_synthetic_ordinal,test,2,22
QD-S1_human_plus_synthetic_ordinal,test,3,105
QD-S1_human_plus_synthetic_ordinal,test,4,351
QD-S1_human_plus_synthetic_ordinal,test,5,616
QD-S2_human_plus_synthetic_L1,train,1,226
QD-S2_human_plus_synthetic_L1,train,2,221
QD-S2_human_plus_synthetic_L1,train,3,345
QD-S2_human_plus_synthetic_L1,train,4,1163
QD-S2_human_plus_synthetic_L1,train,5,1755
QD-S2_human_plus_synthetic_L1,dev,1,19
QD-S2_human_plus_synthetic_L1,dev,2,38
QD-S2_human_plus_synthetic_L1,dev,3,105
QD-S2_human_plus_synthetic_L1,dev,4,389
QD-S2_human_plus_synthetic_L1,dev,5,556
QD-S2_human_plus_synthetic_L1,test,1,9
QD-S2_human_plus_synthetic_L1,test,2,22
QD-S2_human_plus_synthetic_L1,test,3,105
QD-S2_human_plus_synthetic_L1,test,4,351
QD-S2_human_plus_synthetic_L1,test,5,616
QD-S3_synthetic_pretrain_then_human_finetune,stage1_train,1,168
QD-S3_synthetic_pretrain_then_human_finetune,stage1_train,2,168
QD-S3_synthetic_pretrain_then_human_finetune,stage1_train,3,48
QD-S3_synthetic_pretrain_then_human_finetune,stage1_train,4,0
QD-S3_synthetic_pretrain_then_human_finetune,stage1_train,5,0
QD-S3_synthetic_pretrain_then_human_finetune,stage2_train,1,58
QD-S3_synthetic_pretrain_then_human_finetune,stage2_train,2,53
QD-S3_synthetic_pretrain_then_human_finetune,stage2_train,3,297
QD-S3_synthetic_pretrain_then_human_finetune,stage2_train,4,1163
QD-S3_synthetic_pretrain_then_human_finetune,stage2_train,5,1755
QD-S3_synthetic_pretrain_then_human_finetune,train,1,58
QD-S3_synthetic_pretrain_then_human_finetune,train,2,53
QD-S3_synthetic_pretrain_then_human_finetune,train,3,297
QD-S3_synthetic_pretrain_then_human_finetune,train,4,1163
QD-S3_synthetic_pretrain_then_human_finetune,train,5,1755
QD-S3_synthetic_pretrain_then_human_finetune,dev,1,19
QD-S3_synthetic_pretrain_then_human_finetune,dev,2,38
QD-S3_synthetic_pretrain_then_human_finetune,dev,3,105
QD-S3_synthetic_pretrain_then_human_finetune,dev,4,389
QD-S3_synthetic_pretrain_then_human_finetune,dev,5,556
QD-S3_synthetic_pretrain_then_human_finetune,test,1,9
QD-S3_synthetic_pretrain_then_human_finetune,test,2,22
QD-S3_synthetic_pretrain_then_human_finetune,test,3,105
QD-S3_synthetic_pretrain_then_human_finetune,test,4,351
QD-S3_synthetic_pretrain_then_human_finetune,test,5,616
