prompt_config,gold_label,n,exact_accuracy,mean_pred,pred_1_rate,pred_2_rate,pred_3_rate,pred_4_rate,pred_5_rate
R0C_0_exact_r0a_reproduction,1,19,0.0,4.842105263157895,0.0,0.05263157894736842,0.0,0.0,0.9473684210526315
R0C_0_exact_r0a_reproduction,2,38,0.10526315789473684,4.315789473684211,0.0,0.10526315789473684,0.13157894736842105,0.10526315789473684,0.6578947368421053
R0C_0_exact_r0a_reproduction,3,105,0.009523809523809525,4.619047619047619,0.02857142857142857,0.02857142857142857,0.009523809523809525,0.1619047619047619,0.7714285714285715
R0C_0_exact_r0a_reproduction,4,389,0.12853470437017994,4.778920308483291,0.010282776349614395,0.005141388174807198,0.017994858611825194,0.12853470437017994,0.8380462724935732
R0C_0_exact_r0a_reproduction,5,556,0.8920863309352518,4.735611510791367,0.03597122302158273,0.014388489208633094,0.019784172661870502,0.03776978417266187,0.8920863309352518
R0C_1_balanced_failure_first,1,19,0.0,3.6315789473684212,0.0,0.3157894736842105,0.0,0.42105263157894735,0.2631578947368421
R0C_1_balanced_failure_first,2,38,0.9473684210526315,2.1315789473684212,0.0,0.9473684210526315,0.0,0.02631578947368421,0.02631578947368421
R0C_1_balanced_failure_first,3,105,0.02857142857142857,2.638095238095238,0.0,0.7142857142857143,0.02857142857142857,0.1619047619047619,0.09523809523809523
R0C_1_balanced_failure_first,4,389,0.2133676092544987,2.922879177377892,0.0,0.6143958868894601,0.010282776349614395,0.2133676092544987,0.16195372750642673
R0C_1_balanced_failure_first,5,556,0.21223021582733814,2.7848101265822787,0.0,0.7068345323741008,0.007194244604316547,0.0683453237410072,0.21223021582733814
R0C_2_evidence_required_cap,1,19,0.0,3.210526315789474,0.0,0.5263157894736842,0.05263157894736842,0.10526315789473684,0.3157894736842105
R0C_2_evidence_required_cap,2,38,0.8421052631578947,2.3157894736842106,0.0,0.8421052631578947,0.02631578947368421,0.10526315789473684,0.02631578947368421
R0C_2_evidence_required_cap,3,105,0.009523809523809525,2.1346153846153846,0.0,0.9238095238095239,0.009523809523809525,0.047619047619047616,0.009523809523809525
R0C_2_evidence_required_cap,4,389,0.05912596401028278,2.2242268041237114,0.0,0.8483290488431876,0.08226221079691516,0.05912596401028278,0.007712082262210797
R0C_2_evidence_required_cap,5,556,0.02158273381294964,2.2,0.0,0.8920863309352518,0.0341726618705036,0.050359712230215826,0.02158273381294964
R0C_3_two_pass_balanced,1,19,0.0,3.526315789473684,0.0,0.3684210526315789,0.0,0.3684210526315789,0.2631578947368421
R0C_3_two_pass_balanced,2,38,0.9210526315789473,2.108108108108108,0.0,0.9210526315789473,0.0,0.05263157894736842,0.0
R0C_3_two_pass_balanced,3,105,0.009523809523809525,2.4095238095238094,0.0,0.819047619047619,0.009523809523809525,0.11428571428571428,0.05714285714285714
R0C_3_two_pass_balanced,4,389,0.12339331619537275,2.5670103092783507,0.0,0.7660668380462725,0.002570694087403599,0.12339331619537275,0.10539845758354756
R0C_3_two_pass_balanced,5,556,0.13848920863309352,2.58018018018018,0.0,0.7769784172661871,0.0017985611510791368,0.08093525179856115,0.13848920863309352
R0C_4_high_score_protection,1,19,0.0,2.8947368421052633,0.0,0.631578947368421,0.0,0.21052631578947367,0.15789473684210525
R0C_4_high_score_protection,2,38,0.8947368421052632,2.210526315789474,0.0,0.8947368421052632,0.02631578947368421,0.05263157894736842,0.02631578947368421
R0C_4_high_score_protection,3,105,0.009523809523809525,2.419047619047619,0.0,0.8285714285714286,0.009523809523809525,0.0761904761904762,0.08571428571428572
R0C_4_high_score_protection,4,389,0.08226221079691516,2.562176165803109,0.0,0.7737789203084833,0.007712082262210797,0.08226221079691516,0.12853470437017994
R0C_4_high_score_protection,5,556,0.14388489208633093,2.5415162454873648,0.0,0.7967625899280576,0.0035971223021582736,0.052158273381294966,0.14388489208633093
