sample_id_hash,conflict_reasons,expected_conflict
aeb5b900a2b5871eb38e883c1a8a9701574dceea6aaec25772da63b6e7df53e3,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|score_range_differs,1
0d9db4fd09ad2162164a448093abecb47dce9765cc2986222a569a68042778f3,point_score_differs|score_range_differs,1
816e31f418ef5633cd7e3866d2e68f6760bbfd2f7dde1bacb85f23ce38521666,score_range_differs,1
eb6609a0761d4901aa4cec1fdda073982e3e409f40052708972698c6514611fb,score_range_differs,1
687440ba808e265fb49b4bf87a99ceadbf2384ade61a9dea9d6d2be6df5c12e8,score_range_differs,1
aa149b2ed296e456ebfc8fe6439e8d6d65b1606d78dfb6e4d1ebf0cf8968aefd,point_score_differs,1
58e604769cc8c8879a77bf75380acc7c3b1b1a480830ff863d563f6ccb57b5f5,point_score_differs,1
00febcbeab2a1af9f1a563b2fecb6c66a3a4329749031d54ef9f4233f04ffd47,score_range_differs,1
4a85887a2f07dac4bafefa966357fff96e30671d9ef7711dd28daba2a1619b47,score_range_differs,1
d48160ea1b4c336889763a71d3117e75f036cb3ba6e3fef8d43f55afbd321392,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|score_range_differs,1
b92edca2166d5849ea73de408b3a8eb4b0bb53c1cb360c0e119149a88b4a68a5,evidence_sufficiency_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs,1
aebbea620d9a10988fa5a28fcd648a3235ed9e6cf9e3ce65a6e717ce7e050450,score_range_differs,1
f9629fb734ea34c56d7cfe8d1997b1fecf583abd653f7543e1f5ef6cdb1504c9,score_range_differs,1
6c8bb55d5bdbfc77906abf868bd5441ec98a27bd5b0af2d41ee17de33920cbe0,score_range_differs,1
3c5599054326d9cb69122955da6d9657cf7e3b26e9dedbc42bb2ce3c547f444e,score_range_differs,1
c8f973318c1404112694a87c57763e6233ca09de99bdc68b99974a25ff2aa007,point_score_differs|score_range_differs,1
40b6fad7459773b6372426cc7d63d9dd9e53d4bbcef60cd933873243f51f2750,evidence_sufficiency_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|reviewer_requested_adjudication|score_range_differs,1
ad79f124922e198aadad7b28d5d31531f53a2165ee636d00c1b2b22c9e7dbb6b,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|score_range_differs,1
5dcf878ff3ab58db8f1529fb7994a9b0a837d13531e4eac47b47df4c47ce9eb1,point_score_differs,1
a182d73cfe02eea5c02d5005cd624b48c448d10bfdba390cdcf7641ac27e4014,score_range_differs,1
7c2fc9d8d6d7ec5cfc9a011044409bd23276975a6d20f5b554957b5b282d27a1,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|score_range_differs,1
e75a9b3f19e4a51649ed5ce46af133ddca79de8927347dc9c8fdd2b21fe9bfe8,score_range_differs,1
9a2d50a161e2a188db8dc887d68654d77a0261674b54258a5f7a3a413d6e6d27,score_range_differs,1
b7b4cc73ae6d9eb187141442c755bdea44c08169ddb0a819bc11b14ae1957124,point_score_differs,1
bcaf43c176e25d3ee143bb8c84a49caff1a361e3501df2351c51ac2a888105c9,score_range_differs,1
6b8345a9622df1d4ce7387d87347aea16d1551c02a47076c2a7e1948f8d260d7,score_range_differs,1
4de46d7cfd719d299736371e74b6f77d51eb65152f1fc70b31e556edd5388a54,point_score_differs,1
3475b10b17288d49a431cc05c97219671bf46626a536adf4c0854f915b615119,evidence_sufficiency_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|score_range_differs,1
b7ac67e5d4cdd6e7b3b81df37b4b03ff96b5b4236e6b3fec0d8fda3435883b35,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|reviewer_requested_adjudication|score_range_differs,1
7b19e927befcb62f525152ae2e5bc4635957628442e092a1fd1570af019bbdeb,score_range_differs,1
8069023204d2a6dd7de30b3be32b44709acd7f86777f6924312a47189f848b58,evidence_sufficiency_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs,1
3228eefa3033926b5f6365e8bbad13588db5da99c5e2811c9c45448be31fd8ee,score_range_differs,1
2750e52805c67c6a9c9bafe31be9f1ebbab3e6ade60374225374250a9a1b37ae,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|score_range_differs,1
c37737a3d838b65457898dd3b90760d2827de1b89d0b9225aad29d9ce91f922a,score_range_differs,1
7a02ae3146de81181efc8a32b086090a3d1855b7b5f4498476545fd45a5b500b,score_range_differs,1
feb1f5d3019b3894371cb4f60e95a426dafc2216c144524b7daac1620913ea64,score_range_differs,1
86c71aa1bb95245bd49b3476cccffd86efd3cfe40cbbe46d0915aad539205215,point_score_differs,1
e959b86a75d78aa829da3f2bbbf5e8b06250ecd9fda36e84614995cf7fc60bd5,point_score_differs|score_range_differs,1
95d7138f9c40057e1986d02f5c51f97567affefb4d10b2a716b35cce6984adee,point_score_differs|score_range_differs,1
dd140c2a2eea767159cccee573abb482256949ec9d417739b01489f2b8f56f2b,score_range_differs,1
dc5cca5913cabe63998b94cbda602a2faf11e1557140e08861ed38fbfbda1b84,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|score_range_differs,1
31f0138606418911d0eb556006eafdc914074e02d75d640b955035e283b99e17,evidence_sufficiency_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|score_range_differs,1
729e27f10d8ba9538592f9b6b9c054c79b98b7e7f520fb628721b1eea46090bd,score_range_differs,1
7f047b124c774f1902b4e042e2170920df50e6b1aade04338adde9a3fbb3423f,score_range_differs,1
8679c2b5e7fa201e3c3804a5953ba5b7ffa78f95380db0f04473b027a4109dfb,point_score_differs|score_range_differs,1
caa755eee0288dcf3abd42e18cf9ae61fe3e40f37f6091c5213d4dad0d4d97d0,point_score_differs|score_range_differs,1
3337b7b58c59fd868d4d9e41204cce2b7972913dcf01d5a9e362c4f645016b8c,score_range_differs,1
87c1cb324bead532d75dfaf83e65390525ef8c2f8ba646ea2c98ab4088154330,reviewer_requested_adjudication|score_range_differs,1
3b556bb91656546bfed0f7136822cccc3cb0d218f882221acd1d4fdf4ade5a4c,score_range_differs,1
18bc187751dedf843a7eb24a66909e53bfdee9ac7720433944af59df3cd301b1,score_range_differs,1
928f7a9ed369c9dfbb534abff6273b6a83ac50715e5a451ac7146433f79378c8,score_range_differs,1
438b5ed9f8e3589185e4bd863476b0472425cbda23836a629251664a7b93bca3,score_range_differs,1
2526c0b0c0564f934b83fcb0cb605e07cbc1f14146156513dd1b9b2de55a58f5,score_range_differs,1
c48a9726b586aad712e5a604e1b296729fcbcba67969e0b3df08f9eff66e3df4,point_score_differs,1
6973afb63c2d47dc42c2f862ab0448d4ce9b4127b90b603bc8de241d5acf9920,score_range_differs,1
cf5ff480d1e709fcef0ee4620f73d0c053092638dbeb8ad9d2c9238ee3499abf,explicit_evidence_compatibility_differs,1
10275cb3c99411148d45960cce04d70c3efb01fe077ba1d41b5e6c83c67ba0e8,evidence_sufficiency_differs|explicit_evidence_compatibility_differs|failure_bucket_differs|failure_class_set_differs|major_failure_presence_differs|point_score_differs|score_range_differs,1
94a05f974270540f0edadbc444c38036195771d2637724fcb1219521b463ba04,point_score_differs|score_range_differs,1
f930018d877df337cb0d536bfe74e780074b78dece942ee943a32626febbcbdf,point_score_differs,1
4f89c567c8cea9811a6f85db9e83dc9e9ce45f24816d450122cd1c99d02808a1,score_range_differs,1
