family_hash,metric,joint_fully_confirmed,joint_score2_correct
5b0472f260fd85d5a366198032ddf33c2c8e8b5d13cb649b8f1092a25aad037c,Basic Factual Accuracy,False,False
e5e1651a64e733388576f1433ba397a5ebad5e91ce957b8d825d336688445b5c,"Clarity, Simplicity & Inspiration",False,False
c6d2390d91ee7ca0ad2e3bf85bdfd68aa67bdf544f2208c9b6776406e3da226c,Content Relevance & Scope Control,False,False
f659609b8d020821aef4dd7213a97a7a0527e715ab9825ed5be8ff9c8a257f43,Domain Knowledge Accuracy,False,False
73d68a4300a01571eb849f476a702d5c711a6c5cbb9b64efe432b0133937b25d,Error Identification & Correction Precision,False,False
0d54adeabecbc1fc56efb6a32cef06ae5d8c9bb48f93ea533f3c35f9e74eae34,Higher-Order Thinking & Skill Development,False,False
106619b9fe16fc9f0ec90ea0b0502a073ab6d232cbb63196a76254cd8121ec15,Instruction Following & Task Completion,False,False
96266c130b5a49a66ba77ab7333d483a62c599067ba533199fc84e82dc6aea46,"Motivation, Guidance & Positive Feedback",False,False
fbb99ad0355c412de1707db55314a9947af630d7d16b556c64456745a2d41916,"Personalization, Adaptation & Learning Support",False,False
2ddac3d4d33aab1899ab4dd0b7986af68041094abe8da80734c9c731e54b70a3,Reasoning Process Rigor,False,True
faa75f5af88b96154068930f896b5aae2dcd3ccdd75fe16462e67ae54fc17e87,Role & Tone Consistency,False,False
9a77b8ead19358bbfe2a3b5a0122933788e6b839cb603ffa786bc154c7bc2199,Scenario Element Integration,False,False
