variant,scope,fold,nearest_centroid_balanced_accuracy,label1_count,label2_count,label3_count,label4_count,label5_count,label1_nearest_centroid_accuracy,label2_nearest_centroid_accuracy,label3_nearest_centroid_accuracy,label4_nearest_centroid_accuracy,label5_nearest_centroid_accuracy,label2_nearest_centroid_count_1,label2_nearest_centroid_count_2,label2_nearest_centroid_count_3,label2_nearest_centroid_count_4,label2_nearest_centroid_count_5,label2_mean_cosine_to_class1,label2_mean_cosine_to_class2,label2_mean_cosine_to_class3,label2_mean_cosine_to_class4,label2_mean_cosine_to_class5
C0_E4_baseline,fold_0,0,0.6273759350483489,4,12,48,189,290,0.75,0.75,0.4375,0.43386243386243384,0.7655172413793103,0,9,0,0,3,0.5647075772285461,0.8326723575592041,0.7613908648490906,0.7358456254005432,0.7105780243873596
C0_E4_baseline,fold_1,1,0.6957957989906591,5,8,46,169,266,1.0,0.75,0.5434782608695652,0.46745562130177515,0.7180451127819549,0,6,2,0,0,0.7004877328872681,0.8229436874389648,0.7769837379455566,0.773413360118866,0.7359142899513245
C0_E4_baseline,fold_2,2,0.6790423493340999,7,8,49,210,284,1.0,0.625,0.6326530612244898,0.43333333333333335,0.704225352112676,1,5,1,0,1,0.7592305541038513,0.8449726104736328,0.8259569406509399,0.8087872266769409,0.7424924373626709
C0_E4_baseline,fold_3,3,0.6087627968877969,4,16,64,185,297,1.0,0.5,0.359375,0.5783783783783784,0.6060606060606061,4,8,2,0,2,0.7506598234176636,0.8460955023765564,0.8150514364242554,0.7890388369560242,0.7854065895080566
C0_E4_baseline,fold_4,4,0.6169646649112376,4,8,44,193,244,0.75,0.625,0.5,0.43523316062176165,0.7745901639344263,0,5,2,0,1,0.5632603168487549,0.8220459818840027,0.7965683937072754,0.7539302706718445,0.658652126789093
C0_E4_baseline,aggregate,all,0.6433408565828719,24,52,251,946,1381,0.9166666666666666,0.6346153846153846,0.4860557768924303,0.4682875264270613,0.7110789283128168,5,33,7,0,7,0.6725168640796955,0.8355633570597722,0.7956458834501413,0.7719964568431561,0.7344213953384986
C1_balanced_plain_contrastive,fold_0,0,0.6423786717752236,4,12,48,189,290,1.0,0.5833333333333334,0.4375,0.37037037037037035,0.8206896551724138,0,7,0,0,5,0.26595401763916016,0.7563043236732483,0.7132241129875183,0.6877594590187073,0.5907679200172424
C1_balanced_plain_contrastive,fold_1,1,0.7177306850867844,5,8,46,169,266,1.0,0.75,0.6521739130434783,0.40828402366863903,0.7781954887218046,0,6,2,0,0,0.6453347206115723,0.7820116281509399,0.7219851016998291,0.7314584255218506,0.6866905689239502
C1_balanced_plain_contrastive,fold_2,2,0.554372904091214,7,8,49,210,284,0.7142857142857143,0.25,0.5714285714285714,0.43333333333333335,0.8028169014084507,0,2,3,1,2,0.6826968789100647,0.807094931602478,0.7805655598640442,0.7632787823677063,0.7017756700515747
C1_balanced_plain_contrastive,fold_3,3,0.4882020657020657,4,16,64,185,297,0.75,0.25,0.3125,0.3675675675675676,0.7609427609427609,5,4,2,0,5,0.7370209693908691,0.8255617022514343,0.8024573922157288,0.7856141328811646,0.7394949793815613
C1_balanced_plain_contrastive,fold_4,4,0.5984816954047396,4,8,44,193,244,0.75,0.625,0.5,0.32642487046632124,0.7909836065573771,0,5,1,0,2,0.5518668293952942,0.784998893737793,0.756305456161499,0.7190372943878174,0.6032444834709167
C1_balanced_plain_contrastive,aggregate,all,0.5898563254876278,24,52,251,946,1381,0.8333333333333334,0.46153846153846156,0.4820717131474104,0.38160676532769555,0.7907313540912382,5,24,8,1,14,0.5773648298703707,0.7937977451544541,0.7590164725597088,0.7410218394719638,0.670285009420835
C2_TACO,fold_0,0,0.6520438788542238,4,12,48,189,290,1.0,0.5833333333333334,0.4791666666666667,0.35978835978835977,0.8379310344827586,0,7,1,0,4,0.23268823325634003,0.753795325756073,0.7002544403076172,0.6629393696784973,0.550980806350708
