variant,seed,fold,contrastive_anchors,contrastive_far_margin_violation,contrastive_mean_far_similarity,contrastive_mean_near_similarity,contrastive_mean_positive_similarity,contrastive_near_margin_violation,contrastive_triplet_accuracy,epoch,global_step,learning_rate,point_batches,train_contrastive,train_distribution,train_loss,train_ordinal
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,1.9848077530122083e-05,528,0.0,1.6334418100163792,1.6969140602106398,0.1269444959153506
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,34,1.8755582313020912e-05,528,0.0,0.9548162049190565,0.9823225384973215,0.05501266809402627
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,51,1.6720078605555227e-05,528,0.0,0.8289805861246405,0.8500319100126172,0.042102649382837684
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,68,1.396079766039157e-05,528,0.0,0.7181799220781999,0.7331183346863271,0.029876826444458195
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,85,1.077492420671931e-05,528,0.0,0.6304070626695951,0.6412794091668206,0.021744695931953505
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,102,7.505588559420188e-06,528,0.0,0.5663458884792458,0.5745298246937719,0.016367873241919864
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,119,4.504910219291941e-06,528,0.0,0.4952701461116896,0.500317517544538,0.010094742182276963
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8,136,2.0960733048124082e-06,528,0.0,0.4353100532409206,0.4378259702233746,0.00503183221030323
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,153,5.385184312424973e-07,528,0.0,0.4019804953167102,0.40326475953439844,0.0025685284926832233
C0_E4_baseline,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,170,0.0,528,0.0,0.3842030368343165,0.3847407071232076,0.001075341122199307
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,1.9848077530122083e-05,540,0.0,1.5893241289037245,1.6525656979944972,0.1264831431865416
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2,34,1.8755582313020912e-05,540,0.0,0.9203576085468134,0.946289601839251,0.05186398385687628
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3,51,1.6720078605555227e-05,540,0.0,0.7691283204903205,0.786487716132844,0.03471879187057278
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4,68,1.396079766039157e-05,540,0.0,0.6610194900107604,0.673277407594853,0.024515834800668355
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5,85,1.077492420671931e-05,540,0.0,0.5879983331973629,0.5969935403895323,0.017990415253977213
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,6,102,7.505588559420188e-06,540,0.0,0.524651051071231,0.5308757784396961,0.012449457440069872
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7,119,4.504910219291941e-06,540,0.0,0.4604624261907129,0.46406721859756445,0.007209585087683216
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,8,136,2.0960733048124082e-06,540,0.0,0.41103394651199104,0.41270819946140463,0.0033485061270901633
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,9,153,5.385184312424973e-07,540,0.0,0.38978991565656745,0.3907573814271018,0.0019349305369797986
C0_E4_baseline,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10,170,0.0,540,0.0,0.3752841733534027,0.37573367236677935,0.0008989974585767237
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,1.9848077530122083e-05,524,0.0,1.6195257662134317,1.6845874424654108,0.13012336414549072
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2,34,1.8755582313020912e-05,524,0.0,0.9308255792289745,0.9569849041183941,0.05231865097387367
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,3,51,1.6720078605555227e-05,524,0.0,0.7894195430691688,0.8083821745404532,0.03792526167666341
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,4,68,1.396079766039157e-05,524,0.0,0.6674487702548504,0.680290135675828,0.02568272933855347
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,5,85,1.077492420671931e-05,524,0.0,0.5738958871909169,0.5824443737528365,0.017096974312097637
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,6,102,7.505588559420188e-06,524,0.0,0.5062285355267377,0.5117703804991542,0.011083688208600506
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,7,119,4.504910219291941e-06,524,0.0,0.4526157680621641,0.45597669429977544,0.006721852673631439
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,8,136,2.0960733048124082e-06,524,0.0,0.40900118221912735,0.4106670665725326,0.003331771324745982
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,9,153,5.385184312424973e-07,524,0.0,0.3876492833391628,0.3886247498715538,0.0019509326371337553
C0_E4_baseline,42,2,0,0.0,0.0,0.0,0.0,0.0,0.0,10,170,0.0,524,0.0,0.3732432784629943,0.37367189152322655,0.0008572261457306957
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,1.9848077530122083e-05,522,0.0,1.605261728395904,1.6680111657842365,0.125498864276092
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,34,1.8755582313020912e-05,522,0.0,0.9024050599142509,0.9270712506040303,0.04933238185369463
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,3,51,1.6720078605555227e-05,522,0.0,0.8036223236913882,0.8226061936796168,0.037967739365388324
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,4,68,1.396079766039157e-05,522,0.0,0.6879196156858256,0.7016618639459098,0.027484495192877698
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,5,85,1.077492420671931e-05,522,0.0,0.5868503770209363,0.5956633300788101,0.01762590660337605
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,6,102,7.505588559420188e-06,522,0.0,0.525832357976971,0.5321350018511672,0.012605286452491496
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,7,119,4.504910219291941e-06,522,0.0,0.45963896997094555,0.46283261859932223,0.006387296422901788
C0_E4_baseline,42,3,0,0.0,0.0,0.0,0.0,0.0,0.0,8,136,2.0960733048124082e-06,522,0.0,0.4122049685110877,0.4138593549538632,0.0033087739264189564
