fold,epoch,stratum,available,valid_before_equalize,selected
0,1,low,60,60,60
0,1,mid,60,60,60
0,1,high,60,60,60
0,2,low,60,60,60
0,2,mid,60,60,60
0,2,high,60,60,60
0,3,low,60,60,60
0,3,mid,60,60,60
0,3,high,60,60,60
0,4,low,60,60,60
0,4,mid,60,60,60
0,4,high,60,60,60
0,5,low,60,60,60
0,5,mid,60,60,60
0,5,high,60,60,60
0,6,low,60,60,60
0,6,mid,60,60,60
0,6,high,60,60,60
0,7,low,60,60,60
0,7,mid,60,60,60
0,7,high,60,60,60
0,8,low,60,60,60
0,8,mid,60,60,60
0,8,high,60,60,60
0,9,low,60,60,60
0,9,mid,60,60,60
0,9,high,60,60,60
0,10,low,60,60,60
0,10,mid,60,60,60
0,10,high,60,60,60
1,1,low,63,63,63
1,1,mid,63,63,63
1,1,high,63,63,63
1,2,low,63,63,63
1,2,mid,63,63,63
1,2,high,63,63,63
1,3,low,63,63,63
1,3,mid,63,63,63
1,3,high,63,63,63
1,4,low,63,63,63
1,4,mid,63,63,63
1,4,high,63,63,63
1,5,low,63,63,63
1,5,mid,63,63,63
1,5,high,63,63,63
1,6,low,63,63,63
1,6,mid,63,63,63
1,6,high,63,63,63
1,7,low,63,63,63
1,7,mid,63,63,63
1,7,high,63,63,63
1,8,low,63,63,63
1,8,mid,63,63,63
1,8,high,63,63,63
1,9,low,63,63,63
1,9,mid,63,63,63
1,9,high,63,63,63
1,10,low,63,63,63
1,10,mid,63,63,63
1,10,high,63,63,63
2,1,low,61,61,61
2,1,mid,61,61,61
2,1,high,61,61,61
2,2,low,61,61,61
2,2,mid,61,61,61
2,2,high,61,61,61
2,3,low,61,61,61
2,3,mid,61,61,61
2,3,high,61,61,61
2,4,low,61,61,61
2,4,mid,61,61,61
2,4,high,61,61,61
2,5,low,61,61,61
2,5,mid,61,61,61
2,5,high,61,61,61
2,6,low,61,61,61
2,6,mid,61,61,61
2,6,high,61,61,61
2,7,low,61,61,61
2,7,mid,61,61,61
2,7,high,61,61,61
2,8,low,61,61,61
2,8,mid,61,61,61
2,8,high,61,61,61
2,9,low,61,61,61
2,9,mid,61,61,61
2,9,high,61,61,61
2,10,low,61,61,61
2,10,mid,61,61,61
2,10,high,61,61,61
3,1,low,56,56,56
3,1,mid,56,56,56
3,1,high,56,56,56
3,2,low,56,56,56
3,2,mid,56,56,56
3,2,high,56,56,56
3,3,low,56,56,56
3,3,mid,56,56,56
3,3,high,56,56,56
3,4,low,56,56,56
3,4,mid,56,56,56
3,4,high,56,56,56
3,5,low,56,56,56
3,5,mid,56,56,56
3,5,high,56,56,56
3,6,low,56,56,56
3,6,mid,56,56,56
3,6,high,56,56,56
3,7,low,56,56,56
3,7,mid,56,56,56
3,7,high,56,56,56
3,8,low,56,56,56
3,8,mid,56,56,56
3,8,high,56,56,56
3,9,low,56,56,56
3,9,mid,56,56,56
3,9,high,56,56,56
3,10,low,56,56,56
3,10,mid,56,56,56
3,10,high,56,56,56
4,1,low,64,64,64
4,1,mid,64,64,64
4,1,high,64,64,64
4,2,low,64,64,64
4,2,mid,64,64,64
4,2,high,64,64,64
4,3,low,64,64,64
4,3,mid,64,64,64
4,3,high,64,64,64
4,4,low,64,64,64
4,4,mid,64,64,64
4,4,high,64,64,64
4,5,low,64,64,64
4,5,mid,64,64,64
4,5,high,64,64,64
4,6,low,64,64,64
4,6,mid,64,64,64
4,6,high,64,64,64
4,7,low,64,64,64
4,7,mid,64,64,64
4,7,high,64,64,64
4,8,low,64,64,64
4,8,mid,64,64,64
4,8,high,64,64,64
4,9,low,64,64,64
4,9,mid,64,64,64
4,9,high,64,64,64
4,10,low,64,64,64
4,10,mid,64,64,64
4,10,high,64,64,64
