fold,epoch,role,n,mean,p50,p90,min,max
0,1,positive,180,0.0,0.0,0.0,0.0,0.0
0,1,near,180,1.0,1.0,1.0,1.0,1.0
0,1,far,180,3.042592592592593,3.0,4.0,2.0,4.0
0,2,positive,180,0.0,0.0,0.0,0.0,0.0
0,2,near,180,1.0,1.0,1.0,1.0,1.0
0,2,far,180,3.018518518518518,3.0,4.0,2.0,4.0
0,3,positive,180,0.0,0.0,0.0,0.0,0.0
0,3,near,180,1.0,1.0,1.0,1.0,1.0
0,3,far,180,3.0277777777777777,3.0,4.0,2.0,4.0
0,4,positive,180,0.0,0.0,0.0,0.0,0.0
0,4,near,180,1.0,1.0,1.0,1.0,1.0
0,4,far,180,3.0148148148148146,3.0,4.0,2.0,4.0
0,5,positive,180,0.0,0.0,0.0,0.0,0.0
0,5,near,180,1.0,1.0,1.0,1.0,1.0
0,5,far,180,2.9759259259259263,3.0,4.0,2.0,4.0
0,6,positive,180,0.0,0.0,0.0,0.0,0.0
0,6,near,180,1.0,1.0,1.0,1.0,1.0
0,6,far,180,2.9944444444444445,3.0,4.0,2.0,4.0
0,7,positive,180,0.0,0.0,0.0,0.0,0.0
0,7,near,180,1.0,1.0,1.0,1.0,1.0
0,7,far,180,3.0185185185185186,3.0,4.0,2.0,4.0
0,8,positive,180,0.0,0.0,0.0,0.0,0.0
0,8,near,180,1.0,1.0,1.0,1.0,1.0
0,8,far,180,3.009259259259259,3.0,4.0,2.0,4.0
0,9,positive,180,0.0,0.0,0.0,0.0,0.0
0,9,near,180,1.0,1.0,1.0,1.0,1.0
0,9,far,180,2.9796296296296294,3.0,4.0,2.0,4.0
0,10,positive,180,0.0,0.0,0.0,0.0,0.0
0,10,near,180,1.0,1.0,1.0,1.0,1.0
0,10,far,180,3.0259259259259257,3.0,4.0,2.0,4.0
1,1,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,1,near,189,1.0,1.0,1.0,1.0,1.0
1,1,far,189,2.9805996472663137,3.0,4.0,2.0,4.0
1,2,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,2,near,189,1.0,1.0,1.0,1.0,1.0
1,2,far,189,2.991181657848324,3.0,4.0,2.0,4.0
1,3,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,3,near,189,1.0,1.0,1.0,1.0,1.0
1,3,far,189,2.9594356261022923,3.0,4.0,2.0,4.0
1,4,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,4,near,189,1.0,1.0,1.0,1.0,1.0
1,4,far,189,2.9188712522045845,3.0,4.0,2.0,4.0
1,5,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,5,near,189,1.0,1.0,1.0,1.0,1.0
1,5,far,189,2.947089947089947,3.0,4.0,2.0,4.0
1,6,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,6,near,189,1.0,1.0,1.0,1.0,1.0
1,6,far,189,3.0141093474426808,3.0,4.0,2.0,4.0
1,7,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,7,near,189,1.0,1.0,1.0,1.0,1.0
1,7,far,189,2.9047619047619047,3.0,4.0,2.0,4.0
1,8,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,8,near,189,1.0,1.0,1.0,1.0,1.0
1,8,far,189,2.961199294532628,3.0,4.0,2.0,4.0
1,9,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,9,near,189,1.0,1.0,1.0,1.0,1.0
1,9,far,189,2.9788359788359786,3.0,4.0,2.0,4.0
1,10,positive,189,0.001763668430335097,0.0,0.0,0.0,0.3333333333333333
1,10,near,189,1.0,1.0,1.0,1.0,1.0
1,10,far,189,2.9735449735449735,3.0,4.0,2.0,4.0
2,1,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,1,near,183,1.0,1.0,1.0,1.0,1.0
2,1,far,183,2.9271402550091072,3.0,4.0,2.0,4.0
2,2,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,2,near,183,1.0,1.0,1.0,1.0,1.0
2,2,far,183,2.9398907103825143,3.0,4.0,2.0,4.0
2,3,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,3,near,183,1.0,1.0,1.0,1.0,1.0
2,3,far,183,2.9143897996357007,3.0,4.0,2.0,4.0
2,4,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,4,near,183,1.0,1.0,1.0,1.0,1.0
2,4,far,183,2.9581056466302362,3.0,4.0,2.0,4.0
2,5,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,5,near,183,1.0,1.0,1.0,1.0,1.0
2,5,far,183,2.9471766848816023,3.0,4.0,2.0,4.0
2,6,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,6,near,183,1.0,1.0,1.0,1.0,1.0
2,6,far,183,2.956284153005464,3.0,4.0,2.0,4.0
2,7,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,7,near,183,1.0,1.0,1.0,1.0,1.0
2,7,far,183,2.9562841530054644,3.0,4.0,2.0,4.0
2,8,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,8,near,183,1.0,1.0,1.0,1.0,1.0
2,8,far,183,2.9216757741347905,3.0,4.0,2.0,4.0
2,9,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,9,near,183,1.0,1.0,1.0,1.0,1.0
2,9,far,183,2.9617486338797816,3.0,4.0,2.0,4.0
2,10,positive,183,0.0018214936247723133,0.0,0.0,0.0,0.3333333333333333
2,10,near,183,1.0,1.0,1.0,1.0,1.0
2,10,far,183,2.978142076502732,3.0,4.0,2.0,4.0
3,1,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,1,near,168,1.0,1.0,1.0,1.0,1.0
3,1,far,168,3.029761904761904,3.0,4.0,2.0,4.0
3,2,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,2,near,168,1.0,1.0,1.0,1.0,1.0
3,2,far,168,3.0238095238095237,3.0,4.0,2.0,4.0
3,3,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,3,near,168,1.0,1.0,1.0,1.0,1.0
3,3,far,168,3.01984126984127,3.0,4.0,2.0,4.0
3,4,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,4,near,168,1.0,1.0,1.0,1.0,1.0
3,4,far,168,3.0277777777777777,3.0,4.0,2.0,4.0
3,5,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,5,near,168,1.0,1.0,1.0,1.0,1.0
3,5,far,168,3.0337301587301586,3.0,4.0,2.0,4.0
3,6,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,6,near,168,1.0,1.0,1.0,1.0,1.0
3,6,far,168,3.0238095238095237,3.0,4.0,2.0,4.0
3,7,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,7,near,168,1.0,1.0,1.0,1.0,1.0
3,7,far,168,3.0238095238095237,3.0,4.0,2.0,4.0
3,8,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,8,near,168,1.0,1.0,1.0,1.0,1.0
3,8,far,168,3.003968253968254,3.0,4.0,2.0,4.0
3,9,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,9,near,168,1.0,1.0,1.0,1.0,1.0
3,9,far,168,3.0277777777777777,3.0,4.0,2.0,4.0
3,10,positive,168,0.001984126984126984,0.0,0.0,0.0,0.3333333333333333
3,10,near,168,1.0,1.0,1.0,1.0,1.0
3,10,far,168,3.01984126984127,3.0,4.0,2.0,4.0
4,1,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
