variant,scope,fold,row_label,column_label,cosine
C0_E4_baseline,fold_0,0,1,1,1.0
C0_E4_baseline,fold_0,0,1,2,0.6781868934631348
C0_E4_baseline,fold_0,0,1,3,0.7018840909004211
C0_E4_baseline,fold_0,0,1,4,0.684128999710083
C0_E4_baseline,fold_0,0,1,5,0.6532638072967529
C0_E4_baseline,fold_0,0,2,1,0.6781868934631348
C0_E4_baseline,fold_0,0,2,2,1.0
C0_E4_baseline,fold_0,0,2,3,0.9143940806388855
C0_E4_baseline,fold_0,0,2,4,0.8837155699729919
C0_E4_baseline,fold_0,0,2,5,0.8533703088760376
C0_E4_baseline,fold_0,0,3,1,0.7018840909004211
C0_E4_baseline,fold_0,0,3,2,0.9143940806388855
C0_E4_baseline,fold_0,0,3,3,1.0
C0_E4_baseline,fold_0,0,3,4,0.9806812405586243
C0_E4_baseline,fold_0,0,3,5,0.8997800946235657
C0_E4_baseline,fold_0,0,4,1,0.684128999710083
C0_E4_baseline,fold_0,0,4,2,0.8837155699729919
C0_E4_baseline,fold_0,0,4,3,0.9806812405586243
C0_E4_baseline,fold_0,0,4,4,1.0
C0_E4_baseline,fold_0,0,4,5,0.9561519622802734
C0_E4_baseline,fold_0,0,5,1,0.6532638072967529
C0_E4_baseline,fold_0,0,5,2,0.8533703088760376
C0_E4_baseline,fold_0,0,5,3,0.8997800946235657
C0_E4_baseline,fold_0,0,5,4,0.9561519622802734
C0_E4_baseline,fold_0,0,5,5,1.0000001192092896
C0_E4_baseline,fold_1,1,1,1,1.0
C0_E4_baseline,fold_1,1,1,2,0.8511976003646851
C0_E4_baseline,fold_1,1,1,3,0.8359578847885132
C0_E4_baseline,fold_1,1,1,4,0.8620895743370056
C0_E4_baseline,fold_1,1,1,5,0.89420485496521
C0_E4_baseline,fold_1,1,2,1,0.8511976003646851
C0_E4_baseline,fold_1,1,2,2,1.0000001192092896
C0_E4_baseline,fold_1,1,2,3,0.944151759147644
C0_E4_baseline,fold_1,1,2,4,0.9398131966590881
C0_E4_baseline,fold_1,1,2,5,0.8942462801933289
C0_E4_baseline,fold_1,1,3,1,0.8359578847885132
C0_E4_baseline,fold_1,1,3,2,0.944151759147644
C0_E4_baseline,fold_1,1,3,3,0.9999999403953552
C0_E4_baseline,fold_1,1,3,4,0.9748322367668152
C0_E4_baseline,fold_1,1,3,5,0.9060485363006592
C0_E4_baseline,fold_1,1,4,1,0.8620895743370056
C0_E4_baseline,fold_1,1,4,2,0.9398131966590881
C0_E4_baseline,fold_1,1,4,3,0.9748322367668152
C0_E4_baseline,fold_1,1,4,4,1.0000001192092896
C0_E4_baseline,fold_1,1,4,5,0.957671046257019
C0_E4_baseline,fold_1,1,5,1,0.89420485496521
C0_E4_baseline,fold_1,1,5,2,0.8942462801933289
C0_E4_baseline,fold_1,1,5,3,0.9060485363006592
C0_E4_baseline,fold_1,1,5,4,0.957671046257019
C0_E4_baseline,fold_1,1,5,5,1.0
C0_E4_baseline,fold_2,2,1,1,0.9999998807907104
C0_E4_baseline,fold_2,2,1,2,0.8985267281532288
C0_E4_baseline,fold_2,2,1,3,0.9000227451324463
C0_E4_baseline,fold_2,2,1,4,0.9049848914146423
C0_E4_baseline,fold_2,2,1,5,0.8734537363052368
C0_E4_baseline,fold_2,2,2,1,0.8985267281532288
C0_E4_baseline,fold_2,2,2,2,1.0
C0_E4_baseline,fold_2,2,2,3,0.9774954319000244
C0_E4_baseline,fold_2,2,2,4,0.957175612449646
C0_E4_baseline,fold_2,2,2,5,0.8787176609039307
C0_E4_baseline,fold_2,2,3,1,0.9000227451324463
C0_E4_baseline,fold_2,2,3,2,0.9774954319000244
C0_E4_baseline,fold_2,2,3,3,1.0
C0_E4_baseline,fold_2,2,3,4,0.9628047347068787
C0_E4_baseline,fold_2,2,3,5,0.8696070909500122
C0_E4_baseline,fold_2,2,4,1,0.9049848914146423
C0_E4_baseline,fold_2,2,4,2,0.957175612449646
C0_E4_baseline,fold_2,2,4,3,0.9628047347068787
C0_E4_baseline,fold_2,2,4,4,1.0
C0_E4_baseline,fold_2,2,4,5,0.9598795771598816
C0_E4_baseline,fold_2,2,5,1,0.8734537363052368
C0_E4_baseline,fold_2,2,5,2,0.8787176609039307
C0_E4_baseline,fold_2,2,5,3,0.8696070909500122
C0_E4_baseline,fold_2,2,5,4,0.9598795771598816
C0_E4_baseline,fold_2,2,5,5,0.9999998807907104
C0_E4_baseline,fold_3,3,1,1,1.0
C0_E4_baseline,fold_3,3,1,2,0.8872044086456299
C0_E4_baseline,fold_3,3,1,3,0.9184064865112305
C0_E4_baseline,fold_3,3,1,4,0.8658370971679688
C0_E4_baseline,fold_3,3,1,5,0.7790180444717407
C0_E4_baseline,fold_3,3,2,1,0.8872044086456299
C0_E4_baseline,fold_3,3,2,2,0.9999999403953552
C0_E4_baseline,fold_3,3,2,3,0.9633088111877441
C0_E4_baseline,fold_3,3,2,4,0.9325646758079529
C0_E4_baseline,fold_3,3,2,5,0.9282717704772949
C0_E4_baseline,fold_3,3,3,1,0.9184064865112305
C0_E4_baseline,fold_3,3,3,2,0.9633088111877441
C0_E4_baseline,fold_3,3,3,3,0.9999998807907104
C0_E4_baseline,fold_3,3,3,4,0.9778555035591125
C0_E4_baseline,fold_3,3,3,5,0.9237524271011353
C0_E4_baseline,fold_3,3,4,1,0.8658370971679688
C0_E4_baseline,fold_3,3,4,2,0.9325646758079529
C0_E4_baseline,fold_3,3,4,3,0.9778555035591125
C0_E4_baseline,fold_3,3,4,4,0.9999997019767761
C0_E4_baseline,fold_3,3,4,5,0.9587306380271912
C0_E4_baseline,fold_3,3,5,1,0.7790180444717407
C0_E4_baseline,fold_3,3,5,2,0.9282717704772949
C0_E4_baseline,fold_3,3,5,3,0.9237524271011353
C0_E4_baseline,fold_3,3,5,4,0.9587306380271912
C0_E4_baseline,fold_3,3,5,5,1.0
C0_E4_baseline,fold_4,4,1,1,0.9999999403953552
C0_E4_baseline,fold_4,4,1,2,0.6851931810379028
C0_E4_baseline,fold_4,4,1,3,0.7472852468490601
C0_E4_baseline,fold_4,4,1,4,0.7744534015655518
C0_E4_baseline,fold_4,4,1,5,0.7958950996398926
C0_E4_baseline,fold_4,4,2,1,0.6851931810379028
C0_E4_baseline,fold_4,4,2,2,1.0
C0_E4_baseline,fold_4,4,2,3,0.9690070748329163
C0_E4_baseline,fold_4,4,2,4,0.9171386361122131
C0_E4_baseline,fold_4,4,2,5,0.801235020160675
C0_E4_baseline,fold_4,4,3,1,0.7472852468490601
C0_E4_baseline,fold_4,4,3,2,0.9690070748329163
C0_E4_baseline,fold_4,4,3,3,1.0
C0_E4_baseline,fold_4,4,3,4,0.9546857476234436
C0_E4_baseline,fold_4,4,3,5,0.8541934490203857
C0_E4_baseline,fold_4,4,4,1,0.7744534015655518
C0_E4_baseline,fold_4,4,4,2,0.9171386361122131
C0_E4_baseline,fold_4,4,4,3,0.9546857476234436
C0_E4_baseline,fold_4,4,4,4,1.0000001192092896
C0_E4_baseline,fold_4,4,4,5,0.9583070278167725
C0_E4_baseline,fold_4,4,5,1,0.7958950996398926
C0_E4_baseline,fold_4,4,5,2,0.801235020160675
C0_E4_baseline,fold_4,4,5,3,0.8541934490203857
C0_E4_baseline,fold_4,4,5,4,0.9583070278167725
C0_E4_baseline,fold_4,4,5,5,0.9999999403953552
C0_E4_baseline,aggregate,all,1,1,0.9999999642372132
C0_E4_baseline,aggregate,all,1,2,0.8000617623329163
C0_E4_baseline,aggregate,all,1,3,0.8207112908363342
C0_E4_baseline,aggregate,all,1,4,0.8182987928390503
C0_E4_baseline,aggregate,all,1,5,0.7991671085357666
C0_E4_baseline,aggregate,all,2,1,0.8000617623329163
C0_E4_baseline,aggregate,all,2,2,1.000000011920929
C0_E4_baseline,aggregate,all,2,3,0.9536714315414428
C0_E4_baseline,aggregate,all,2,4,0.9260815382003784
C0_E4_baseline,aggregate,all,2,5,0.8711682081222534
C0_E4_baseline,aggregate,all,3,1,0.8207112908363342
