variant,seed,fold,status,valid,fixed_final_epoch,global_step,fingerprint_match,oom_count,nan_count,dev_access_count,test_access_count
C0_E4_baseline,42,0,COMPLETED,True,10,170,True,0,0,0,0
C0_E4_baseline,42,1,COMPLETED,True,10,170,True,0,0,0,0
C0_E4_baseline,42,2,COMPLETED,True,10,170,True,0,0,0,0
C0_E4_baseline,42,3,COMPLETED,True,10,170,True,0,0,0,0
C0_E4_baseline,42,4,COMPLETED,True,10,170,True,0,0,0,0
C1_balanced_plain_contrastive,42,0,COMPLETED,True,10,170,True,0,0,0,0
C1_balanced_plain_contrastive,42,1,COMPLETED,True,10,170,True,0,0,0,0
C1_balanced_plain_contrastive,42,2,COMPLETED,True,10,170,True,0,0,0,0
C1_balanced_plain_contrastive,42,3,COMPLETED,True,10,170,True,0,0,0,0
C1_balanced_plain_contrastive,42,4,COMPLETED,True,10,170,True,0,0,0,0
C2_TACO,42,0,COMPLETED,True,10,170,True,0,0,0,0
C2_TACO,42,1,COMPLETED,True,10,170,True,0,0,0,0
C2_TACO,42,2,COMPLETED,True,10,170,True,0,0,0,0
C2_TACO,42,3,COMPLETED,True,10,170,True,0,0,0,0
C2_TACO,42,4,COMPLETED,True,10,170,True,0,0,0,0
C3_shuffled_margin_control,42,0,COMPLETED,True,10,170,True,0,0,0,0
C3_shuffled_margin_control,42,1,COMPLETED,True,10,170,True,0,0,0,0
C3_shuffled_margin_control,42,2,COMPLETED,True,10,170,True,0,0,0,0
C3_shuffled_margin_control,42,3,COMPLETED,True,10,170,True,0,0,0,0
C3_shuffled_margin_control,42,4,COMPLETED,True,10,170,True,0,0,0,0
