fold,epoch,heldout_endpoint_overlap,question_key_train_heldout_overlap,status
0,1,0,0,PASS
0,2,0,0,PASS
0,3,0,0,PASS
0,4,0,0,PASS
0,5,0,0,PASS
0,6,0,0,PASS
0,7,0,0,PASS
0,8,0,0,PASS
0,9,0,0,PASS
0,10,0,0,PASS
1,1,0,0,PASS
1,2,0,0,PASS
1,3,0,0,PASS
1,4,0,0,PASS
1,5,0,0,PASS
1,6,0,0,PASS
1,7,0,0,PASS
1,8,0,0,PASS
1,9,0,0,PASS
1,10,0,0,PASS
2,1,0,0,PASS
2,2,0,0,PASS
2,3,0,0,PASS
2,4,0,0,PASS
2,5,0,0,PASS
2,6,0,0,PASS
2,7,0,0,PASS
2,8,0,0,PASS
2,9,0,0,PASS
2,10,0,0,PASS
3,1,0,0,PASS
3,2,0,0,PASS
3,3,0,0,PASS
3,4,0,0,PASS
3,5,0,0,PASS
3,6,0,0,PASS
3,7,0,0,PASS
3,8,0,0,PASS
3,9,0,0,PASS
3,10,0,0,PASS
4,1,0,0,PASS
4,2,0,0,PASS
4,3,0,0,PASS
4,4,0,0,PASS
4,5,0,0,PASS
4,6,0,0,PASS
4,7,0,0,PASS
4,8,0,0,PASS
4,9,0,0,PASS
4,10,0,0,PASS
