variant,seed,human_CE,human_Brier,human_RPS,expected_score_MAE
v00_hard_no_rubric,42,1.371429898587864,0.3743050170316932,0.06834147124866814,0.4728456976560494
v00_hard_no_rubric,43,1.6294250042040501,0.3977325565740254,0.07020197148778545,0.4456734595956698
v00_hard_no_rubric,44,1.402009703374405,0.3725257025395126,0.06666011768173416,0.44049786933489277
v01_soft_no_rubric,42,1.100112224026046,0.3181927649360666,0.06005887084952366,0.4931931718736215
v01_soft_no_rubric,43,1.131017564244002,0.31607073330606483,0.058587518436850276,0.4683824344943415
v01_soft_no_rubric,44,1.0874265802723364,0.3082870532671822,0.058204787932715135,0.4749379239975204
v10_hard_raw_rubric,42,1.6846826812591766,0.3969380725003598,0.06899114324873985,0.43350741111006325
v10_hard_raw_rubric,43,1.8102766892657094,0.40768031703871616,0.07104238751353409,0.43684747424680154
v10_hard_raw_rubric,44,1.6496410732242415,0.3971646216000161,0.06939008415839812,0.437087256867936
v11_soft_raw_rubric,42,1.126823284279127,0.3142070295856207,0.058942064238352056,0.4705292490264169
v11_soft_raw_rubric,43,1.1303813790843118,0.31341733885489614,0.05783186569229861,0.46477971811508706
v11_soft_raw_rubric,44,1.107764460338003,0.31360610348823886,0.058654706578563774,0.4713487381396185
