status,rubric_unit_hash,original_criterion_count,kept_criterion_count,truncated_criterion_count,retained_criterion_ratio,original_exact_quote_token_coverage,postfit_student_visible_exact_quote_token_coverage,original_score_level_rule_count,kept_score_level_rule_count,score_level_rule_retention
OK,14d607d7fbccf2b7,5,2,3,0.4,0.6886792452830188,0.3867924528301887,5,2,0.4
OK,4455ec10ae44f4df,12,6,6,0.5,0.7398373983739838,0.3252032520325203,5,2,0.4
OK,336eb8833b0feb20,10,4,6,0.4,0.5967741935483871,0.16129032258064516,5,1,0.2
OK,3af2cb9896c45826,10,4,6,0.4,0.847457627118644,0.4067796610169492,5,2,0.4
OK,b6c2d6c1cc205867,10,4,6,0.4,0.7222222222222222,0.3125,5,2,0.4
OK,2fa729e6d803914f,12,6,6,0.5,0.7398373983739838,0.3252032520325203,5,2,0.4
OK,239e3147e6fc70e2,10,4,6,0.4,0.8852459016393442,0.38524590163934425,5,2,0.4
OK,1d05e9c0c684c217,10,4,6,0.4,0.7222222222222222,0.3125,5,2,0.4
OK,d9d7f7d0b53f986f,9,5,4,0.5555555555555556,0.5609756097560976,0.25203252032520324,5,2,0.4
OK,97fe42239ee83150,10,3,7,0.3,0.7883597883597884,0.25396825396825395,5,1,0.2
OK,039c9f2de9815e73,12,5,7,0.4166666666666667,0.5563380281690141,0.20422535211267606,5,2,0.4
OK,18d5694b30fa97c9,10,4,6,0.4,0.7016129032258065,0.27419354838709675,5,1,0.2
OK,c9013746394aa0c4,5,3,2,0.6,0.8947368421052632,0.6210526315789474,5,3,0.6
OK,5f6385e1dc7e6091,5,2,3,0.4,0.6886792452830188,0.3867924528301887,5,2,0.4
OK,32acdbc64bb53919,12,6,6,0.5,0.5774647887323944,0.2323943661971831,5,1,0.2
OK,20ef2bc09f88300d,12,4,8,0.3333333333333333,0.6612903225806451,0.16129032258064516,5,1,0.2
OK,f1faecb4b95e8782,9,5,4,0.5555555555555556,0.8504672897196262,0.4392523364485981,5,2,0.4
OK,183e8e8c42f1e754,12,5,7,0.4166666666666667,0.8333333333333334,0.37962962962962965,5,2,0.4
OK,7a34c857320bc44a,12,5,7,0.4166666666666667,0.7153846153846154,0.3153846153846154,5,2,0.4
OK,45d999b80bbee3aa,5,2,3,0.4,0.9351851851851852,0.42592592592592593,5,2,0.4
OK,343b90bc18359fdd,8,4,4,0.5,0.8512396694214877,0.4214876033057851,5,2,0.4
OK,1d90563da744f6f1,12,5,7,0.4166666666666667,0.8130841121495327,0.29906542056074764,5,1,0.2
OK,d1089d12a2355494,9,5,4,0.5555555555555556,0.8504672897196262,0.4392523364485981,5,2,0.4
OK,eb3b87680642d079,11,5,6,0.45454545454545453,0.708029197080292,0.29927007299270075,5,2,0.4
OK,0f65f6001e68a252,12,6,6,0.5,0.7076923076923077,0.35384615384615387,5,2,0.4
OK,5e4858207b8aa953,12,7,5,0.5833333333333334,0.4788732394366197,0.20422535211267606,5,1,0.2
OK,881caba19a57e204,10,4,6,0.4,0.5307692307692308,0.2153846153846154,5,2,0.4
OK,0241165fd31dbb0a,11,4,7,0.36363636363636365,0.7482517482517482,0.26573426573426573,5,1,0.2
OK,97ab5b17bcdb637f,8,5,3,0.625,0.8130841121495327,0.4392523364485981,5,2,0.4
OK,4190d834dbf1e666,10,4,6,0.4,0.6129032258064516,0.24193548387096775,5,1,0.2
OK,f29986a6751300e2,9,5,4,0.5555555555555556,0.49230769230769234,0.2692307692307692,5,2,0.4
OK,685b41c319a19ac5,11,5,6,0.45454545454545453,0.8468468468468469,0.4774774774774775,5,2,0.4
OK,4bbfaea00a315d53,9,4,5,0.4444444444444444,0.6875,0.3819444444444444,5,2,0.4
OK,f0e1c6a2f9cb9c62,10,5,5,0.5,0.8706896551724138,0.3706896551724138,5,2,0.4
OK,18c78ab306850c0a,10,3,7,0.3,0.798941798941799,0.24867724867724866,5,1,0.2
OK,94401e1a8fbfda4a,10,4,6,0.4,0.8852459016393442,0.38524590163934425,5,2,0.4
OK,edb70501877bc444,5,2,3,0.4,0.6886792452830188,0.3867924528301887,5,2,0.4
OK,4a9c2faf4ede0fb1,12,6,6,0.5,0.8454545454545455,0.38181818181818183,5,2,0.4
OK,48496d0d2ce70e4a,5,2,3,0.4,0.7169811320754716,0.3867924528301887,5,2,0.4
OK,a207eb3c004f2330,12,6,6,0.5,0.7398373983739838,0.3252032520325203,5,2,0.4
OK,8988eb33285b2a80,8,4,4,0.5,0.8512396694214877,0.4214876033057851,5,2,0.4
OK,7432bab04617dad4,10,4,6,0.4,0.847457627118644,0.4067796610169492,5,2,0.4
OK,36862b6add71475b,11,6,5,0.5454545454545454,0.5769230769230769,0.34615384615384615,5,2,0.4
OK,b22dafc6e9369784,10,4,6,0.4,0.8852459016393442,0.38524590163934425,5,2,0.4
OK,3de7438269a788cc,12,4,8,0.3333333333333333,0.6461538461538462,0.23076923076923078,5,2,0.4
OK,c2a9d953481409ef,10,5,5,0.5,0.8017241379310345,0.3706896551724138,5,2,0.4
OK,f1138b29f7596667,10,4,6,0.4,0.8852459016393442,0.38524590163934425,5,2,0.4
OK,610cd1b8ae75a82a,8,5,3,0.625,0.8130841121495327,0.4392523364485981,5,2,0.4
OK,0b1b574222bca471,11,3,8,0.2727272727272727,0.85,0.24285714285714285,5,1,0.2
OK,bc7748b65da29a4d,11,5,6,0.45454545454545453,0.7482517482517482,0.3006993006993007,5,2,0.4
OK,1fa0c4e8ada78150,11,4,7,0.36363636363636365,0.8468468468468469,0.4144144144144144,5,2,0.4
OK,7daee2f06e0fbc87,5,3,2,0.6,0.8947368421052632,0.6210526315789474,5,3,0.6
OK,427fdac1e30e9712,12,6,6,0.5,0.8545454545454545,0.38181818181818183,5,2,0.4
OK,3b508d217216cc7d,12,4,8,0.3333333333333333,0.7016129032258065,0.20161290322580644,5,1,0.2
OK,f8b72ce80d0178a7,7,4,3,0.5714285714285714,0.7850467289719626,0.4392523364485981,5,2,0.4
OK,cb0be4c166ca73df,10,4,6,0.4,0.7258064516129032,0.20161290322580644,5,1,0.2
OK,789b39e4065c53ed,12,6,6,0.5,0.6126760563380281,0.2323943661971831,5,1,0.2
OK,d15f16864ef4aaeb,12,5,7,0.4166666666666667,0.5806451612903226,0.2661290322580645,5,1,0.2
OK,0b42dad7df56a23b,7,4,3,0.5714285714285714,0.8691588785046729,0.4485981308411215,5,2,0.4
OK,653d07d6a236f4ae,5,3,2,0.6,0.8947368421052632,0.6210526315789474,5,3,0.6
OK,e65b6f223cc9f11e,12,6,6,0.5,0.8545454545454545,0.38181818181818183,5,2,0.4
OK,7dc2b3c284a1150b,10,4,6,0.4,0.8852459016393442,0.38524590163934425,5,2,0.4
OK,76b08f8118e4f28e,12,6,6,0.5,0.5620437956204379,0.25547445255474455,5,1,0.2
OK,d83bc826fa8fd2d6,12,5,7,0.4166666666666667,0.8333333333333334,0.37962962962962965,5,2,0.4
OK,a006db2b92699731,8,4,4,0.5,0.5691056910569106,0.22764227642276422,5,1,0.2
OK,ea6bdfe2983b3e05,5,3,2,0.6,0.8947368421052632,0.6210526315789474,5,3,0.6
OK,c7dd7dedbcea5a63,10,4,6,0.4,0.5461538461538461,0.23076923076923078,5,2,0.4
