variant,seed,stratum_type,stratum_value,n,MAE,expected_score_MAE,Signed_Bias,abs_Signed_Bias,Exact_Match,Kendall_tau,QWK,Bin_Agreement,low_n,low_to_high_count,low_to_high_rate,high_n,high_to_low_count,high_to_low_rate,label1_recall,pred_count_1,label2_recall,pred_count_2,label3_recall,pred_count_3,label4_recall,pred_count_4,label5_recall,pred_count_5,human_CE,human_Brier,human_RPS
v00_hard_no_rubric,42,language,en,1341,0.453392990305742,0.4707542516095219,0.19686800894854586,0.19686800894854586,0.6599552572706935,0.33420379470197736,0.22032666018125036,0.8739746457867263,46,44,0.9565217391304348,1198,3,0.0025041736227045075,0.0,2,0.0,1,0.041237113402061855,33,0.5161290322580645,373,0.8341404358353511,932,1.4224077161508724,0.3611831961728059,0.07011477561404054
v00_hard_no_rubric,42,language,zh,1313,0.4607768469154608,0.47498174422756,0.09672505712109672,0.09672505712109672,0.6047220106626047,0.40300107059762147,0.3449193414269084,0.8476770753998477,30,27,0.9,1129,2,0.001771479185119575,0.0,1,0.0,1,0.17532467532467533,71,0.705574912891986,710,0.6522522522522523,530,1.3193649683883253,0.3877066634686832,0.06653035079629617
v00_hard_no_rubric,42,metric_group,Factual & Reasoning Accuracy,788,0.4987309644670051,0.5278703255697531,0.1916243654822335,0.1916243654822335,0.6459390862944162,0.2994793184240913,0.16347482051194606,0.8654822335025381,33,33,1.0,701,2,0.0028530670470756064,0.0,1,0.0,1,0.05555555555555555,23,0.49489795918367346,219,0.80990099009901,544,1.338693248952667,0.3912469020171959,0.0821165353955771
v00_hard_no_rubric,42,metric_group,Pedagogical Application,714,0.5448179271708683,0.537803167235182,0.18347338935574228,0.18347338935574228,0.5476190476190477,0.308092918721689,0.2695945870128703,0.788515406162465,24,20,0.8333333333333334,574,3,0.005226480836236934,0.0,2,0.0,1,0.1206896551724138,40,0.6993865030674846,411,0.6008064516129032,260,1.5334842010603627,0.4324017266468399,0.07529854115957614
v00_hard_no_rubric,42,metric_group,Scenario Adaptability,1152,0.3741319444444444,0.39494722536828986,0.09461805555555555,0.09461805555555555,0.6762152777777778,0.4442703230934593,0.3956650521472619,0.9027777777777778,19,18,0.9473684210526315,1052,0,0.0,0.0,0,0.0,0,0.1728395061728395,41,0.6415094339622641,453,0.785031847133758,658,1.2933827700697833,0.32670844061347193,0.05460701077631347
v00_hard_no_rubric,42,original_label,1,24,3.5833333333333335,3.3783391815471853,3.5833333333333335,3.5833333333333335,0.0,nan,0.0,0.0,24,22,0.9166666666666666,0,0,nan,0.0,0,nan,0,nan,2,nan,6,nan,16,5.401096257239577,1.5266062440106136,0.7549697257446194
v00_hard_no_rubric,42,original_label,2,52,2.5,2.366044827977506,2.5,2.5,0.0,nan,0.0,0.0,52,49,0.9423076923076923,0,0,nan,nan,0,0.0,0,nan,3,nan,20,nan,29,6.228796939037821,1.4629248979471043,0.5164069975221817
v00_hard_no_rubric,42,original_label,3,251,1.1673306772908367,1.082179676345111,1.1673306772908367,1.1673306772908367,0.12350597609561753,nan,0.0,0.12350597609561753,0,0,nan,0,0,nan,nan,0,nan,0,0.12350597609561753,31,nan,147,nan,73,2.8456236998368523,0.8976088528657059,0.17225631227713215
v00_hard_no_rubric,42,original_label,4,946,0.3752642706131078,0.33296123277967504,0.2441860465116279,0.2441860465116279,0.63107822410148,nan,0.0,0.9408033826638478,0,0,nan,946,4,0.004228329809725159,nan,2,nan,2,nan,52,0.63107822410148,597,nan,293,1.2887424223947361,0.34426956142551096,0.046929633182774946
v00_hard_no_rubric,42,original_label,5,1381,0.25271542360608257,0.3361401775488755,-0.25271542360608257,0.25271542360608257,0.7610427226647357,nan,0.0,0.9876900796524257,0,0,nan,1381,1,0.000724112961622013,nan,1,nan,0,nan,16,nan,313,0.7610427226647357,1051,0.9072044312845793,0.23875166073481827,0.035317929060445806
v00_hard_no_rubric,42,human_entropy_band,zero,1169,0.4354148845166809,0.4537157734989705,0.16338751069289992,0.16338751069289992,0.6954662104362703,0.42043793583729416,0.2550798710254767,0.8665526090675791,53,51,0.9622641509433962,1031,3,0.002909796314258002,0.0,2,0.0,1,0.08235294117647059,31,0.6767676767676768,382,0.8242506811989101,753,0.9881084370571147,0.4346519661636924,0.08391343231843743
v00_hard_no_rubric,42,human_entropy_band,low,1485,0.4740740740740741,0.4879048770093325,0.13468013468013468,0.13468013468013468,0.5831649831649832,0.35667307457869035,0.3366439865531037,0.8565656565656565,23,20,0.8695652173913043,1296,2,0.0015432098765432098,0.0,1,0.0,1,0.14457831325301204,73,0.6101694915254238,701,0.6893353941267388,709,1.6731826181363119,0.326799573573574,0.056083139605193184
v00_hard_no_rubric,42,subject,Applied Economics,55,0.3090909090909091,0.34671626198057276,0.12727272727272726,0.12727272727272726,0.7090909090909091,0.4318932504995409,0.4402785216925549,0.9818181818181818,0,0,nan,53,0,0.0,nan,0,nan,0,0.5,1,0.6296296296296297,22,0.8076923076923077,32,1.0925268242091035,0.24994391001369026,0.039936390516576804
v00_hard_no_rubric,42,subject,Aquaculture,143,0.34965034965034963,0.3905559772180884,-0.1258741258741259,0.1258741258741259,0.6503496503496503,0.5825722315926976,0.5861789558976733,0.8741258741258742,0,0,nan,129,0,0.0,nan,0,nan,0,0.2857142857142857,12,0.7254901960784313,73,0.6666666666666666,58,1.2078364080163455,0.3389196866221911,0.04628797466255056
v00_hard_no_rubric,42,subject,Automation,47,0.2765957446808511,0.3175553560256934,0.14893617021276595,0.14893617021276595,0.8085106382978723,0.45711722973955626,0.25499655410062017,0.9148936170212766,1,1,1.0,44,0,0.0,nan,0,0.0,0,0.0,1,0.5555555555555556,7,0.9428571428571428,39,1.4756731599072843,0.26514215482608566,0.051012846558339466
v00_hard_no_rubric,42,subject,Basic Medicine,159,0.6415094339622641,0.6460388165152934,0.4276729559748428,0.4276729559748428,0.5974842767295597,0.31881692276740853,0.1588504432370602,0.7924528301886793,13,13,1.0,124,0,0.0,0.0,0,0.0,0,0.13636363636363635,4,0.7090909090909091,71,0.7681159420289855,84,1.8938472251689962,0.49447544328246423,0.11758978431802175
v00_hard_no_rubric,42,subject,Biology,130,0.4153846153846154,0.44110601005903555,0.1076923076923077,0.1076923076923077,0.6307692307692307,0.3854433118348919,0.33019284557632855,0.9076923076923077,3,3,1.0,119,0,0.0,nan,0,0.0,0,0.125,3,0.6428571428571429,61,0.7142857142857143,66,1.2815195818176917,0.3087440128367899,0.04958018472582346
v00_hard_no_rubric,42,subject,Business Administration,123,0.8130081300813008,0.8248680325645865,0.5365853658536586,0.5365853658536586,0.5040650406504065,0.22053141256288616,0.1257565095003519,0.6910569105691057,19,18,0.9473684210526315,87,0,0.0,0.0,0,0.0,0,0.0,3,0.6774193548387096,52,0.7321428571428571,68,2.266225857454449,0.6146363782825327,0.14863799408208372
v00_hard_no_rubric,42,subject,Chemistry,140,0.38571428571428573,0.4218686740636267,-0.05714285714285714,0.05714285714285714,0.65,0.48082901660975774,0.46894262683736365,0.85,1,0,0.0,124,0,0.0,nan,0,0.0,0,0.13333333333333333,10,0.7924528301886793,74,0.6619718309859155,56,1.1572582755459666,0.308301542578508,0.04966053701963996
v00_hard_no_rubric,42,subject,Chinese,84,0.5119047619047619,0.4799205800846254,0.27380952380952384,0.27380952380952384,0.5833333333333334,0.36441875781429506,0.3296703296703297,0.8333333333333334,2,2,1.0,71,0,0.0,nan,0,0.0,0,0.2727272727272727,7,0.45714285714285713,26,0.8333333333333334,51,1.1929722391964301,0.3404175479374424,0.06774110212688854
v00_hard_no_rubric,42,subject,Clinical Medicine,64,0.265625,0.2976511177438246,0.015625,0.015625,0.734375,0.615466018080843,0.5952380952380952,0.921875,0,0,nan,59,0,0.0,nan,0,nan,0,0.0,0,0.8260869565217391,32,0.7777777777777778,32,0.984284733133471,0.2874650453976916,0.03763625111931701
v00_hard_no_rubric,42,subject,Computer Science,95,0.45263157894736844,0.4707797188023802,0.031578947368421054,0.031578947368421054,0.6736842105263158,0.35708555368057143,0.2151963284038756,0.8842105263157894,2,2,1.0,88,1,0.011363636363636364,0.0,1,nan,0,0.2,5,0.5555555555555556,28,0.7868852459016393,61,1.0623099344401141,0.31782775729950263,0.06570273913614492
v00_hard_no_rubric,42,subject,Crop Science,98,0.5612244897959183,0.5659394405600796,0.15306122448979592,0.15306122448979592,0.5612244897959183,0.40784634825377775,0.353601213040182,0.7551020408163265,4,3,0.75,80,0,0.0,0.0,0,0.0,0,0.21428571428571427,13,0.45161290322580644,32,0.7755102040816326,53,1.6953643180191322,0.44442543184361977,0.08464882831361813
v00_hard_no_rubric,42,subject,English,95,0.37894736842105264,0.3558077780495104,0.12631578947368421,0.12631578947368421,0.6631578947368421,0.442531832366839,0.4517313746065058,0.9052631578947369,1,0,0.0,86,1,0.011627906976744186,nan,0,0.0,1,0.125,2,0.5882352941176471,34,0.8076923076923077,58,0.9041043164461413,0.29987938479486764,0.04514381378306847
