comparison,left_variant,right_variant,seed,metric,observed_delta,ci_lower,ci_upper,bootstrap_mean,resamples,unit
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,MAE,-0.012434061793519191,-0.032471375569435974,0.008476307703931265,-0.012279798867117515,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,QWK,0.031550904569424,-0.003654438115738967,0.06608334791295041,0.03123650278478453,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,Exact_Match,0.007535795026375247,-0.009892752435721405,0.024540158308735724,0.007405859396998168,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,Kendall_tau,0.01999797540211362,-0.012219207968359085,0.05091544431508041,0.019868991415372517,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,Signed_Bias,-0.0018839487565938118,-0.030042306393628215,0.026276501182280067,-0.0012796195019349255,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,abs_Signed_Bias,-0.0018839487565938118,-0.030042306393628215,0.026276501182280067,-0.0012796195019349255,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,expected_score_MAE,-0.022663922847204587,-0.035100746860683124,-0.01004467109021104,-0.022619372204983428,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,human_CE,0.02671106025308112,-0.012628317203337668,0.06956045439226516,0.026448945138303134,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,human_Brier,-0.003985735350445885,-0.018214281711848662,0.010312083168539876,-0.003971853123431281,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,human_RPS,-0.0011168066111716043,-0.003490685515875234,0.001299863400128344,-0.0011068356877378227,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,Bin_Agreement,-0.0033911077618689056,-0.01208200458634813,0.006053898806452758,-0.0032981194044246686,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,low_to_high_rate,-0.10526315789473684,-0.17821782178217815,-0.017849310776942337,-0.10314377221070513,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,high_to_low_rate,-0.002578427159432746,-0.006956587382699991,0.0008772218755056281,-0.0025529324271042924,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,label1_recall,0.0,0.0,0.0,0.0,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,label2_recall,0.0,0.0,0.0,0.0,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,label3_recall,0.019920318725099598,-0.03292423713021196,0.0711115760111576,0.018996889736860402,2000,question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,label4_recall,-0.00634249471458781,-0.046689650899306066,0.03412969283276446,-0.006500674842885271,2000,question_key
