variant,seed,label1_recall,label2_recall,label3_recall,label4_recall,label5_recall,low_to_high_count,low_to_high_rate,high_to_low_count,high_to_low_rate,pred_count_1,pred_count_2,pred_count_3,pred_count_4,pred_count_5
v00_hard_no_rubric,42,0.0,0.0,0.12350597609561753,0.63107822410148,0.7610427226647357,71,0.9342105263157895,5,0.0021486892995272885,3,2,104,1083,1462
v00_hard_no_rubric,43,0.08333333333333333,0.019230769230769232,0.10358565737051793,0.635306553911205,0.7900072411296162,69,0.9078947368421053,4,0.0017189514396218307,4,4,98,1065,1483
v00_hard_no_rubric,44,0.0,0.0,0.12350597609561753,0.63107822410148,0.8088341781317886,66,0.868421052631579,2,0.0008594757198109154,0,3,87,1028,1536
v01_soft_no_rubric,42,0.0,0.0,0.10756972111553785,0.6807610993657506,0.7465604634322954,72,0.9473684210526315,9,0.003867640739149119,3,7,66,1190,1388
v01_soft_no_rubric,43,0.125,0.0,0.14342629482071714,0.6923890063424947,0.7646632874728457,67,0.881578947368421,1,0.0004297378599054577,5,4,94,1164,1387
v01_soft_no_rubric,44,0.0,0.0,0.14342629482071714,0.6902748414376322,0.7494569152787834,71,0.9342105263157895,3,0.001289213579716373,0,3,80,1192,1379
v10_hard_raw_rubric,42,0.0,0.0,0.18326693227091634,0.6374207188160677,0.782766111513396,61,0.8026315789473685,2,0.0008594757198109154,0,3,139,1058,1454
v10_hard_raw_rubric,43,0.20833333333333334,0.0,0.12749003984063745,0.6374207188160677,0.7892831281679942,64,0.8421052631578947,7,0.0030081650193382035,10,4,101,1049,1490
v10_hard_raw_rubric,44,0.041666666666666664,0.0,0.14741035856573706,0.6501057082452432,0.7900072411296162,68,0.8947368421052632,6,0.002578427159432746,3,5,106,1067,1473
v11_soft_raw_rubric,42,0.0,0.0,0.12749003984063745,0.6744186046511628,0.7617668356263577,64,0.8421052631578947,3,0.001289213579716373,2,2,99,1148,1403
v11_soft_raw_rubric,43,0.16666666666666666,0.0,0.16334661354581673,0.6818181818181818,0.7480086893555394,64,0.8421052631578947,2,0.0008594757198109154,6,1,100,1173,1374
v11_soft_raw_rubric,44,0.0,0.0,0.17928286852589642,0.6733615221987315,0.7523533671252716,68,0.8947368421052632,3,0.001289213579716373,2,2,115,1145,1390
