fold,label,effective_mass,soft_prior,hard_count
0,1,20.666666666666664,0.009789988946786671,20
0,2,43.66666666666667,0.02068529922627507,40
0,3,216.6666666666668,0.10263698089373131,203
0,4,794.6666666666638,0.3764408653086991,757
0,5,1035.333333333332,0.49044686562450585,1091
1,1,19.333333333333332,0.008950617283950617,19
1,2,48.000000000000036,0.022222222222222237,44
1,3,221.6666666666668,0.10262345679012352,205
1,4,810.6666666666638,0.37530864197530733,777
1,5,1060.3333333333326,0.4908950617283947,1115
2,1,17.999999999999996,0.008587786259541983,17
2,2,47.6666666666667,0.022741730279898235,44
2,3,215.00000000000003,0.1025763358778626,202
2,4,771.9999999999992,0.36832061068702254,736
2,5,1043.3333333333337,0.4977735368956745,1097
3,1,20.999999999999996,0.010057471264367814,20
3,2,38.666666666666664,0.018518518518518517,36
3,3,202.00000000000009,0.09674329501915713,187
3,4,793.9999999999984,0.3802681992337157,761
3,5,1032.3333333333326,0.49441251596423974,1084
4,1,20.999999999999996,0.009717723276260989,20
4,2,47.333333333333364,0.02190343976554066,44
4,3,220.6666666666668,0.1021132191886473,207
4,4,793.9999999999976,0.36742248958815255,753
4,5,1077.9999999999982,0.49884312818139664,1137
