fold,row_label,column_label,cosine
0,1,1,1.0
0,1,2,0.625431911444507
0,1,3,0.5368563459445637
0,1,4,0.40148810653912875
0,1,5,0.3276674573282232
0,2,1,0.625431911444507
0,2,2,1.0
0,2,3,0.8003807169171717
0,2,4,0.49007694091351095
0,2,5,0.28560130076007884
0,3,1,0.5368563459445637
0,3,2,0.8003807169171717
0,3,3,0.9999999999999998
0,3,4,0.851091836858942
0,3,5,0.6384561802550515
0,4,1,0.40148810653912875
0,4,2,0.49007694091351095
0,4,3,0.851091836858942
0,4,4,1.0
0,4,5,0.9312366373882052
0,5,1,0.3276674573282232
0,5,2,0.28560130076007884
0,5,3,0.6384561802550515
0,5,4,0.9312366373882052
0,5,5,0.9999999999999998
1,1,1,0.9999999999999997
1,1,2,0.6587589711437696
1,1,3,0.7009603946381561
1,1,4,0.5481649870129205
1,1,5,0.4183918793164825
1,2,1,0.6587589711437696
1,2,2,1.0
1,2,3,0.7451108673613549
1,2,4,0.45599810592927636
1,2,5,0.2761170674053248
1,3,1,0.7009603946381561
1,3,2,0.7451108673613549
1,3,3,1.0
1,3,4,0.8679886361285627
1,3,5,0.6814889191449713
1,4,1,0.5481649870129205
1,4,2,0.45599810592927636
1,4,3,0.8679886361285627
1,4,4,0.9999999999999998
1,4,5,0.9422970227606982
1,5,1,0.4183918793164825
1,5,2,0.2761170674053248
1,5,3,0.6814889191449713
1,5,4,0.9422970227606982
1,5,5,1.0000000000000002
2,1,1,1.0
2,1,2,0.716831973702748
2,1,3,0.49741687502145654
2,1,4,0.4107731587225347
2,1,5,0.361616832460658
2,2,1,0.716831973702748
2,2,2,1.0
2,2,3,0.7609652281761434
2,2,4,0.5041210545798878
2,2,5,0.3385692334224383
2,3,1,0.49741687502145654
2,3,2,0.7609652281761434
2,3,3,1.0
2,3,4,0.8705127394893364
2,3,5,0.6840646651947276
2,4,1,0.4107731587225347
2,4,2,0.5041210545798878
2,4,3,0.8705127394893364
2,4,4,0.9999999999999999
2,4,5,0.9395235718928727
2,5,1,0.361616832460658
2,5,2,0.3385692334224383
2,5,3,0.6840646651947276
2,5,4,0.9395235718928727
2,5,5,0.9999999999999998
3,1,1,1.0
3,1,2,0.711207437330692
3,1,3,0.6422263966472231
3,1,4,0.5544195196318122
3,1,5,0.5157820931683169
3,2,1,0.711207437330692
3,2,2,0.9999999999999999
3,2,3,0.8284031520294535
3,2,4,0.5965654863420452
3,2,5,0.4509183391275145
3,3,1,0.6422263966472231
3,3,2,0.8284031520294535
3,3,3,0.9999999999999999
3,3,4,0.8886687826432436
3,3,5,0.7328725603177872
3,4,1,0.5544195196318122
3,4,2,0.5965654863420452
3,4,3,0.8886687826432436
3,4,4,0.9999999999999998
3,4,5,0.9491816068606533
3,5,1,0.5157820931683169
3,5,2,0.4509183391275145
3,5,3,0.7328725603177872
3,5,4,0.9491816068606533
3,5,5,1.0000000000000002
4,1,1,1.0
4,1,2,0.5452745605597831
4,1,3,0.34413216551861964
4,1,4,0.3351942491734984
4,1,5,0.31723921685985207
4,2,1,0.5452745605597831
4,2,2,0.9999999999999998
4,2,3,0.6888474809842
4,2,4,0.35698490489004225
4,2,5,0.174709865514269
4,3,1,0.34413216551861964
4,3,2,0.6888474809842
4,3,3,1.0
4,3,4,0.8109483939943178
4,3,5,0.5664801697694719
4,4,1,0.3351942491734984
4,4,2,0.35698490489004225
4,4,3,0.8109483939943178
4,4,4,0.9999999999999998
4,4,5,0.9269283533364475
4,5,1,0.31723921685985207
4,5,2,0.174709865514269
4,5,3,0.5664801697694719
4,5,4,0.9269283533364475
4,5,5,1.0
