split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
dev,1,19,0.6842105263157895,0.6140350877192983,0.6140350877192983,1.631578947368421,1.7275961074031472,0.3157894736842105,0.0
dev,2,38,0.02631578947368421,1.8947368421052635,1.8947368421052635,3.973684210526316,3.942568125515735,0.9736842105263158,0.0
dev,3,105,0.22857142857142856,0.9873015873015873,0.8730158730158728,4.0,3.9533054534653536,0.7619047619047619,0.009523809523809525
dev,4,389,0.699228791773779,0.4044558697514995,0.09083119108826068,4.197943444730077,4.179298901960528,0.2493573264781491,0.05141388174807198
dev,5,556,0.8057553956834532,0.2883693045563549,-0.028177458033573296,4.798561151079137,4.715544617120947,0.0,0.19424460431654678
test,1,9,0.8888888888888888,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3586952951866098,0.1111111111111111,0.0
test,2,22,0.0,1.8181818181818186,1.8181818181818186,3.9545454545454546,3.9012488249149597,1.0,0.0
test,3,105,0.20952380952380953,0.8444444444444443,0.7619047619047618,3.895238095238095,3.8652888658278415,0.780952380952381,0.009523809523809525
test,4,351,0.717948717948718,0.4169040835707502,0.05792972459639143,4.165242165242165,4.132267217098878,0.22507122507122507,0.05698005698005698
test,5,616,0.6607142857142857,0.3668831168831168,-0.20346320346320362,4.6477272727272725,4.583339760225121,0.0,0.3392857142857143
