sample_id,match_status,language,metric_group
0029a0a8d467908b7c7bfc7302845f54df20a94e,exact_language_metric,zh,Scenario Adaptability
0079b701dcca5c05742158464604e17b2351f5a0,exact_language_metric,zh,Scenario Adaptability
0112721b014104978a66accce072f2b6212d64c8,exact_language_metric,zh,Scenario Adaptability
01294d6a09e14ab33102375daee613d5e0226caa,exact_language_metric,en,Scenario Adaptability
015bfb2a9b53b0462dccb6f57316e76a5fa64219,exact_language_metric,en,Scenario Adaptability
016540423ea53b5e0973f79a57e2d4cb12777b0c,exact_language_metric,en,Factual & Reasoning Accuracy
01ddaa26cc7d7902157c6a5b75e5da32a67d0449,exact_language_metric,en,Scenario Adaptability
01ffcbf103c1dce7417ed4518a50fc19a77d1ee9,exact_language_metric,en,Pedagogical Application
0204872bcf4cd4b4d4937c12c2cd77f0171376ab,exact_language_metric,en,Scenario Adaptability
02072d13e99d6ee933d8a792fccced69a4c70245,exact_language_metric,zh,Pedagogical Application
02380f0904645d06dfc70db20113d304113b0ac4,exact_language_metric,en,Scenario Adaptability
02789727b2e117e08a4e240edba2522b63e4488e,exact_language_metric,zh,Factual & Reasoning Accuracy
0284805df66b2a4fdfe8be98139ba1385f7021bc,exact_language_metric,zh,Factual & Reasoning Accuracy
02890e57b4a5f86c993ca6597fa655df630aa99b,exact_language_metric,en,Factual & Reasoning Accuracy
0323ddc9b4a1094a44e0b027e36cd8e15d76f93c,exact_language_metric,en,Scenario Adaptability
0347526cae737a75caf2cfaa5723714c406643db,exact_language_metric,zh,Pedagogical Application
03755d25914c85c6eaabd46795cf656ef79566af,exact_language_metric,zh,Factual & Reasoning Accuracy
03a0da37856d7f5174ddbd5db28290e222c32335,exact_language_metric,en,Scenario Adaptability
03c02b32f53105706e139a71aaa785183488cd6e,exact_language_metric,en,Factual & Reasoning Accuracy
03f5d9758c7a62f42ea24d2e10cba7cafbd492f4,exact_language_metric,en,Scenario Adaptability
042b1de277caa909648c04be2131a99e62c6b1fb,exact_language_metric,en,Pedagogical Application
0437d0cfa0dce66ccca098964dc8a1bba6a151b5,exact_language_metric,en,Pedagogical Application
047965c749c8c38484875cacd07e0a1b6027203e,exact_language_metric,en,Scenario Adaptability
048058816bba705040007e7b0c822282f1c5defa,exact_language_metric,zh,Scenario Adaptability
048d50a5efeaa89f8bf1dd1be22f517474db770c,exact_language_metric,en,Scenario Adaptability
0525eeb3debdf218d99f9fb489738873d8788cea,exact_language_metric,en,Scenario Adaptability
0608f6457af621886d83afc93ddeb63b942c8c54,exact_language_metric,en,Factual & Reasoning Accuracy
0676331be88dbae14fe2c13e851ee2124e60a350,exact_language_metric,en,Factual & Reasoning Accuracy
0682441d07ec106039d228686835e42ee64d1675,exact_language_metric,en,Factual & Reasoning Accuracy
073dfe0638223eeadd32be6289ad5f1f752d8898,exact_language_metric,en,Pedagogical Application
0747575357db0dee2bc1b170eca12dbb572f2be3,exact_language_metric,en,Pedagogical Application
076b39fc9e272d2ac8f020e8a681868c3049773b,exact_language_metric,en,Factual & Reasoning Accuracy
0786532c4978fd30afcfa51102d5f96fd2d16425,exact_language_metric,en,Factual & Reasoning Accuracy
07a9883089c759edc2978f3ee1f4bf2c3cad79f3,exact_language_metric,zh,Pedagogical Application
08112d7136d398859c6e989df0ead53ddc3c0e90,exact_language_metric,zh,Factual & Reasoning Accuracy
087082db59a7b616086f9aa2aff87f0be358db44,exact_language_metric,zh,Factual & Reasoning Accuracy
08a4afc870917eecd54e25f14b5fd3ec46f521a7,exact_language_metric,zh,Factual & Reasoning Accuracy
092a20e0897700f36d48ca78eb7a27f34e4058a3,exact_language_metric,en,Factual & Reasoning Accuracy
092e45579d1eb967e6b69d085b1d122398a4e99d,exact_language_metric,zh,Pedagogical Application
09691f5315938a4adbf7895ed89748b85f462522,exact_language_metric,en,Factual & Reasoning Accuracy
09f0a5e6798734f1859446596f6223faaa5d8495,exact_language_metric,zh,Factual & Reasoning Accuracy
0a12a95fbc5fd52ee81bec06be2ae22570f04ad6,exact_language_metric,en,Factual & Reasoning Accuracy
0aa4cec270f51d60692565e810251ed1f96b9bf4,exact_language_metric,en,Factual & Reasoning Accuracy
0b0b1d9ef4015668d3e17fe40a86c301dd6b40f3,exact_language_metric,zh,Factual & Reasoning Accuracy
0b24303ee333541742acab0e6ac342abe677c221,exact_language_metric,zh,Pedagogical Application
0b4fef6d1de8acdc6f9cf358588a587cf8e78faf,exact_language_metric,zh,Factual & Reasoning Accuracy
0b843b5ced2e1de84c4cea9290cc5223ceca8019,exact_language_metric,zh,Factual & Reasoning Accuracy
0bb74dfb863e3e3d4689c23feff099a6b7fd0ec2,exact_language_metric,zh,Pedagogical Application
0c474f400c448567de8227ed48f24250fd39fc03,exact_language_metric,zh,Factual & Reasoning Accuracy
0cf7a1252c83124c508d252ebb4eba096147c3c8,exact_language_metric,zh,Factual & Reasoning Accuracy
0da49503b4ba6aa58b8c6a8ec6399c60b516ad11,exact_language_metric,en,Pedagogical Application
0dbe176b0f01e3d10e38c6b7bc013d53579a4416,exact_language_metric,en,Pedagogical Application
0ee29e83c6f2ac7784c585acebb931f7dc1b7dba,exact_language_metric,zh,Factual & Reasoning Accuracy
0fe6ae77a7e8f47d06440faca77f76268089148f,exact_language_metric,zh,Factual & Reasoning Accuracy
103e013057186f2db4db80cc42f2870441fa9328,exact_language_metric,en,Pedagogical Application
114541b0c512998ca9be44a28a44677a69e694d3,exact_language_metric,en,Pedagogical Application
12e7fc799400eba02f528f565af32a0a0297d624,exact_language_metric,en,Pedagogical Application
12fdae1104918f9500de221ae3261d5371995582,exact_language_metric,en,Pedagogical Application
1623887f0eb40734d42f245583fc35bc36352750,exact_language_metric,en,Pedagogical Application
17e492c615479bbfa03f2a9550e443b0015cb28f,exact_language_metric,en,Pedagogical Application
