sample_id,split,candidate_type,question_key,metric,language,subject,gold_label,score_model_pred,risk_model_pred,score_risk_gap,question_preview,answer_preview,rubric_preview,manual_should_flag,manual_final_action,manual_failure_type,manual_score_cap,manual_label_conflict,manual_notes
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,train,train_high_risk_low_candidates,6ae2184d2c28a7dffc1319a61a68cf2584970be2,Content Relevance & Scope Control,en,General Pedagogy,2,5,5,0,"Knowledge Point: Constructivist Learning Theory Based on this knowledge point, provide ""Teaching Materials"": Teaching materials should include teaching objectives, key points and difficulties, classroom activity design, etc., in JSON format.","Here is an example of how you might structure teaching materials based on the constructivist learning theory in JSON format. This example focuses on a high school biology class about plant cell structure. ```json { ""Course"": ""Biology"", ""Topic"": ""Plant Cell...","[""5: Content is highly relevant to the specified topic/theme/question; strictly within required difficulty/scope/discipline without redundant or irrelevant information."", ""4: Overall relevance is high; scope control is good with possibly a small amount of s...",,,,,,
214b3a2d32c5f868ccd66c3cca5df3d4eac8cf62,train,train_high_false_positive_candidates,f6cf3e1b280ca78c17a557b97001a3fea411a738,Basic Factual Accuracy,en,Aquaculture,5,5,1,4,"Subject:Aquaculture Education Level:Undergraduate Knowledge Point:Aquaculture involves the farming of aquatic organisms, including fish, mollusks, crustaceans, and aquatic plants. It encompasses breeding, rearing, and harvesting in controlled environments....","```json { ""Question"": ""Which of the following is NOT typically farmed in aquaculture?"", ""Options"": [ {""option"": ""Fish"", ""correct"": true}, {""option"": ""Mollusks"", ""correct"": true}, {""option"": ""Crustaceans"", ""correct"": true}, {""option"": ""Reptiles"", ""correct"":...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
203579577637a52d986e85779c3dc0cf760510cd,train,train_high_false_positive_candidates,7d31b9d0eef59066afff9ba848a799e2668bbed2,Basic Factual Accuracy,en,Basic Medicine,5,5,1,4,Subject:Basic Medicine Education Level:Master Knowledge Point:The renin-angiotensin-aldosterone system (RAAS) plays a crucial role in regulating blood pressure and fluid balance in the body. Question Type:Single Choice .Generate a corresponding question bas...,"```json { ""Question"": ""In the renin-angiotensin-aldosterone system (RAAS), which hormone directly stimulates the adrenal cortex to release aldosterone?"", ""Provided Reasoning"": ""The RAAS is a complex hormonal system that regulates blood pressure and fluid ba...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
66209a55db00b09fa0ef52d53583c2ef8470be64,train,train_high_false_positive_candidates,dd136878ae93aa36b80dca8d0b02cf25011b6f5e,Basic Factual Accuracy,en,Biology,5,5,3,2,"Question: Explain the role of microRNAs in the regulation of gene expression in eukaryotic cells. Student's Answer: MicroRNAs (miRNAs) are small, non-coding RNA molecules that play a crucial role in regulating gene expression in eukaryotic cells. They prima...","```json { ""Score"": 8, ""Scoring Details"": { ""Correct Information"": 4, ""Mechanisms of Action"": 2, ""Cellular Processes"": 1, ""Disease Linkage"": 1 }, ""Personalized Feedback"": [ ""Your answer provides a good overview of the role of microRNAs in gene expression reg...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
9f713f8e8f487e1ae37c730642a2cdf2a3232bd4,train,train_high_false_positive_candidates,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Basic Factual Accuracy,en,Business Administration,5,5,1,4,"Question: Explain how Porter's Five Forces framework can be used to analyze the competitive environment of an industry. Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","{ ""reasoning"": ""Porter's Five Forces framework is a strategic planning tool used to analyze the competitive forces at work in an industry. It helps companies understand the competitive intensity and profitability of their industry by examining five key fact...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
51af9ce5cf413bba0b0713e933a533dc5f6e2a82,train,train_high_false_positive_candidates,7f281c5d001646c5cd068f561302e9f2c1b03a4e,Basic Factual Accuracy,en,Chinese,5,5,3,2,"Question: Which Chinese dynasty is known for the construction of the majority of the Great Wall of China as it stands today? Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","{ ""reasoning_provided"": ""The Great Wall of China has a long and complex history, with various dynasties contributing to its construction over thousands of years. However, one particular dynasty is noted for significantly expanding and reinforcing large sect...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
bcea8d101f51d6cf61084b410dcec8fac4f25e73,train,train_high_false_positive_candidates,f1f947604e25a14868aeebe46ba3a2c375d74f99,Basic Factual Accuracy,en,English,5,5,1,4,"Question: Which of the following is an adjective? A) Run B) Quickly C) Happy D) Jump Student's Answer: B) Quickly Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","```json { ""Score"": 0, ""ScoringDetails"": { ""TotalPoints"": 1, ""PointsAwarded"": 0, ""CorrectAnswer"": ""C) Happy"" }, ""PersonalizedFeedback"": ""It looks like there was a bit of confusion. The word 'Quickly' is actually an adverb, not an adjective. Adjectives descri...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
01cc5ff057b6de65aa7fc51623308f2c778c9ee7,train,train_high_false_positive_candidates,fe8355c92fdedf86b46847c533ca17f018bc7679,Basic Factual Accuracy,en,Geography,5,5,1,4,"Question: True or False: The Andes Mountains are located in North America. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","{ ""Score"": 0, ""Scoring Details"": { ""Correct Answer"": ""False"", ""Student's Answer"": ""True"", ""Explanation"": ""The Andes Mountains are located in South America, not North America. They extend through seven South American countries: Venezuela, Colombia, Ecuador,...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
19a41dc67b3bc1e15bb976943b4b99200b903b9b,train,train_high_false_positive_candidates,182ead73c7c9bef64c812e1c3366635156817f15,Basic Factual Accuracy,en,Mathematics,5,5,1,4,"Question: What is the value of 5 + 3? Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","{ ""reasoning_provided"": ""The question asks for the sum of two numbers, specifically 5 and 3. To find the sum, one would typically start with the first number, in this case 5, and then add the second number to it, which is 3. This process involves combining...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
ad1c70e82c375afca1a798aaab0411158928f2b4,train,train_high_false_positive_candidates,3355c2772a62c5b8736da4f74d3aa9f79fde0f3d,Basic Factual Accuracy,en,Military Science,5,5,3,2,"Question: Explain the strategic significance of high ground in military operations. Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","```json { ""Reasoning Provided"": { ""Key Considerations"": [ { ""Aspect"": ""Visibility and Surveillance"", ""Details"": ""High ground offers a vantage point for observing enemy movements, terrain features, and strategic assets, enabling early detection and intellige...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there ar...",,,,,,
