prompt_config,split,metric,n,MAE,QWK,low_to_high_count,low_to_high_rate,label2_recall,mean_pred_low
R0B_0_direct_reproduction,dev,Basic Factual Accuracy,130,1.7615384615384615,0.054962866197353466,0,0.0,1.0,2.0
R0B_0_direct_reproduction,dev,"Clarity, Simplicity & Inspiration",90,1.9777777777777779,0.010367577756833168,0,0.0,1.0,2.0
R0B_0_direct_reproduction,dev,Content Relevance & Scope Control,125,1.432,0.012146588958675153,1,0.5,0.5,3.5
R0B_0_direct_reproduction,dev,Domain Knowledge Accuracy,65,1.0769230769230769,0.06378600823045277,0,nan,nan,nan
R0B_0_direct_reproduction,dev,Error Identification & Correction Precision,35,1.9142857142857144,-0.11473788328387724,4,0.8,0.0,3.6
R0B_0_direct_reproduction,dev,Higher-Order Thinking & Skill Development,83,1.4939759036144578,0.04388370817334075,0,0.0,1.0,2.0
R0B_0_direct_reproduction,dev,Instruction Following & Task Completion,200,2.345,-0.029192237518659958,1,0.14285714285714285,0.8571428571428571,2.4285714285714284
R0B_0_direct_reproduction,dev,"Motivation, Guidance & Positive Feedback",60,1.65,-0.020967741935483675,2,0.2222222222222222,0.75,2.4444444444444446
R0B_0_direct_reproduction,dev,"Personalization, Adaptation & Learning Support",70,1.2714285714285714,-0.013986013986013957,0,0.0,1.0,2.0
R0B_0_direct_reproduction,dev,Reasoning Process Rigor,84,1.630952380952381,-0.06871035940803383,8,0.5,1.0,3.0625
R0B_0_direct_reproduction,dev,Role & Tone Consistency,50,1.88,0.016782505509408407,0,nan,nan,nan
R0B_0_direct_reproduction,dev,Scenario Element Integration,115,1.991304347826087,0.03134182174338884,0,0.0,1.0,2.0
R0B_1_failure_first,dev,Basic Factual Accuracy,130,2.376923076923077,-0.00039325742273388364,0,0.0,1.0,2.0
R0B_1_failure_first,dev,"Clarity, Simplicity & Inspiration",90,1.7444444444444445,0.04493053502808164,0,0.0,1.0,2.0
R0B_1_failure_first,dev,Content Relevance & Scope Control,125,1.576,0.020638257213835387,0,0.0,1.0,2.0
R0B_1_failure_first,dev,Domain Knowledge Accuracy,65,1.1846153846153846,0.08286150804349768,0,nan,nan,nan
R0B_1_failure_first,dev,Error Identification & Correction Precision,35,2.3714285714285714,0.018768328445747717,0,0.0,1.0,2.0
