synthetic_id,synthetic_plan_id,source_record_id,source_question_key_in_dev,source_question_key_in_test,source_triple_key_in_dev,source_triple_key_in_test,synthetic_question_key_in_dev,synthetic_question_key_in_test,synthetic_qa_key_in_dev,synthetic_qa_key_in_test,duplicate_synthetic_answer,duplicate_with_human_test_answer,source_split_not_train,leakage_status,notes
syn_cdaf79084c7a0f1a,b96_001,0786532c4978fd30afcfa51102d5f96fd2d16425,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_073f080987ab64fe,b96_002,0ee29e83c6f2ac7784c585acebb931f7dc1b7dba,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_d792ed5f8efb6ea8,b96_003,159b7386821c4d4e9f8f4255c2956a44b2f8ab69,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_a776b8f509e6c239,b96_004,0fe6ae77a7e8f47d06440faca77f76268089148f,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_5dc6c8dd418ddfa8,b96_005,161406cffa642b6f672809ce754afce3c854ec11,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_fbea43f99af20f1c,b96_006,1fb128d7bfb693996201af0b7be4d393cd29e8d3,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_a9fabe58b42413ca,b96_007,1823b34eb58e1bac98a413e1a699220e913ed66c,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_8e2bd5a30ecbe08f,b96_008,326e4004d0a6fbaa701342469194f297df4da087,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_0e265ba78949a6f9,b96_009,0204872bcf4cd4b4d4937c12c2cd77f0171376ab,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_f4e2aafef9cbd5eb,b96_010,048058816bba705040007e7b0c822282f1c5defa,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
syn_57f198a97c0291e2,b96_011,047965c749c8c38484875cacd07e0a1b6027203e,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-6 batch96 leakage and dedup check
