source_record_id,source_question_key,source_triple_key,metric_canonical,language,scenario_canonical,subject_canonical,education_level_canonical,current_label_5,rubric_text,selected_for_generation,planned_error_types,planned_target_labels,notes
016540423ea53b5e0973f79a57e2d4cb12777b0c,2c3431500658778ea0788f7745c59f0b024746a9,b9fe62ec180cd542bec778a8a5d13cf1df0ba65e,Basic Factual Accuracy,en,Idea Provision,Crop Science,Undergraduate,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",True,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
02890e57b4a5f86c993ca6597fa655df630aa99b,a05fd196db01a4397d849484b969f6bf2f5c0712,03047c047e7e1c709cb353a8873b52ae73969e38,Basic Factual Accuracy,en,Teaching Material Generation,Chemistry,Master,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",True,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
0608f6457af621886d83afc93ddeb63b942c8c54,64fd4f38da6640198ce3c95dd0add573d9d8674c,32850af265a421f6d0c4203bf0fec13ad75007e8,Basic Factual Accuracy,en,Idea Provision,History,Middle School,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",True,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
0676331be88dbae14fe2c13e851ee2124e60a350,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7584e8d4bf751b98c0393e80aaacf6d155747205,Basic Factual Accuracy,en,Question Answering,Applied Economics,Undergraduate,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
0682441d07ec106039d228686835e42ee64d1675,f1f947604e25a14868aeebe46ba3a2c375d74f99,d726ed720b8d69221d4013531d867011659309c7,Basic Factual Accuracy,en,Automatic Grading,English,Elementary School,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
076b39fc9e272d2ac8f020e8a681868c3049773b,7f281c5d001646c5cd068f561302e9f2c1b03a4e,a399e9c35e51c55e4023a5cbb6082d9c5698f533,Basic Factual Accuracy,en,Idea Provision,Chinese,High School,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
092a20e0897700f36d48ca78eb7a27f34e4058a3,2c3431500658778ea0788f7745c59f0b024746a9,41ccaf51558c01193cc6501f7d4b44876c7b1684,Basic Factual Accuracy,en,Idea Provision,Crop Science,Undergraduate,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
09691f5315938a4adbf7895ed89748b85f462522,db2ee72b5e9852d8371685f637458d2b6f933ae8,0e03d4d3d5aea62db0917d41d2a29e8d2a5b22be,Basic Factual Accuracy,en,Error Correction,Chemistry,Undergraduate,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
0aa4cec270f51d60692565e810251ed1f96b9bf4,4acd2f421d6a5a424b3461cdf88a6e42db9e26d0,953d57a698374f6eaa79ca6c78546f107254a96c,Basic Factual Accuracy,en,Idea Provision,Public Administration,Undergraduate,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
0b2c86c42fde681a69044495da150d96bb40a326,6dfa5410ccd6bff4e82457549f460215c4105f79,5760f767fe3d936bf3a8fec3235bda65317109c8,Basic Factual Accuracy,en,Question Generation,Military Science,Undergraduate,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
0d2fe6ac67db1ee797e998c4809205bfc185a7f9,e2b4ff890c3f248c79d4a3ec0079511a5a269c6d,02bfe85f4b93a420205bbbbff6c332cbd6ace726,Basic Factual Accuracy,en,Teaching Material Generation,Aquaculture,Master,5,"[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",False,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]","[1, 2, 3]",train-only source; metric/language train low-count=2; budget=3
