synthetic_id,synthetic_plan_id,source_record_id,language,metric_canonical,target_label_5,error_type,question_preview,question,answer_synthetic,rubric_text,rationale_for_label,expected_failure_against_rubric,label_plausibility_status,error_type_alignment_status,rubric_failure_visibility,too_good_for_target_label,manual_review_required,manual_quality_ok,manual_label_plausible,manual_notes,review_natural_plausible,review_label_plausible,review_error_type_aligned,review_no_artifact_phrase,review_no_copy_or_leakage_concern,review_keep_for_topup1,reviewer_notes,review_mode
syn_ad3af640f4fef515,topup1_003,34ae1095cbe70ede9cdefcccbf7c5f3eb8d2bfd5,en,"Personalization, Adaptation & Learning Support",1,scenario_mismatch,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Year': 'Sophomore', 'Major': 'Chemical Engineering', 'Strengths': ['Strong analytical skills', 'Good grasp of chemical equations'], 'Weaknesses': ['Struggles with organic chemistry concepts', 'Needs improvement in laboratory techniques'], 'Interests': ['Renewable energy', 'Environmental chemistry'], 'Learning Style': 'Visual and Kinesthetic', 'Preferred Study Time': 'Evenings'}\nBased on the student profile, generate 'personalized learning content or tasks' for each student, returning the result in JSON format.","Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Year': 'Sophomore', 'Major': 'Chemical Engineering', 'Strengths': ['Strong analytical skills', 'Good grasp of chemical equations'], 'Weaknesses': ['Struggles with organic chemistry concepts', 'Needs improvement in laboratory techniques'], 'Interests': ['Renewable energy', 'Environmental chemistry'], 'Learning Style': 'Visual and Kinesthetic', 'Preferred Study Time': 'Evenings'}\nBased on the student profile, generate 'personalized learning content or tasks' for each student, returning the result in JSON format.","{
  ""Student"": ""Alex Johnson"",
  ""Year"": ""Sophomore"",
  ""Major"": ""Chemical Engineering"",
  ""Personalized Learning Content and Tasks"": [
    {
      ""Category"": ""All Subjects"",
      ""Content"": ""Read the assigned textbook chapters and complete end-of-chapter problems."",
      ""Description"": ""Students should focus on reading and practicing problems from the standard curriculum."",
      ""Tasks"": [
        ""Read Chapter 1-5"",
        ""Solve all odd-numbered problems""
      ]
    }
  ]
}","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant learning advice or resources with good utility."", ""3: Attempts personalization but with limited effectiveness; recommendations are generic and of limited value."", ""2: Little to no personalization; output is the same for everyone; learning support is insufficient or unrelated."", ""1: No personalization; output may conflict with student needs; offers no or incorrect learning support.""]","The answer provides completely generic study advice that is identical for any student, with no reference to the student's specific weaknesses, interests, or learning style. It essentially offers no meaningful learning support, which matches the rubric for level 1.","No personalization: the output is the same for everyone; it conflicts with the student's visual and kinesthetic learning style by recommending only reading; it ignores weaknesses in organic chemistry and lab techniques, providing no targeted support.",pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_0c2734d057684a54,topup1_002,302305f5444e1ac0dc68d37d52566734942ef44b,zh,Scenario Element Integration,2,scenario_mismatch,"学生画像：学生的画像：{'姓名': '陈伟', '年龄': 25, '性别': '男', '学习背景': '本科毕业于军事战略学专业', '兴趣': ['战术分析', '无人机技术', '国际军事合作'], '目标': '成为一名优秀的军事顾问', '学习方式': '喜欢自主学习和小组讨论，适应能力强', '优势': ['逻辑思维能力强', '能够快速理解复杂概念'], '弱点': ['对历史背景了解不足', '实践经验缺乏']}\n请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回","学生画像：学生的画像：{'姓名': '陈伟', '年龄': 25, '性别': '男', '学习背景': '本科毕业于军事战略学专业', '兴趣': ['战术分析', '无人机技术', '国际军事合作'], '目标': '成为一名优秀的军事顾问', '学习方式': '喜欢自主学习和小组讨论，适应能力强', '优势': ['逻辑思维能力强', '能够快速理解复杂概念'], '弱点': ['对历史背景了解不足', '实践经验缺乏']}\n请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回","{""个性化学习内容与任务"": {""历史学习"": {""目标"": ""增加军事历史知识"", ""任务"": [{""名称"": ""阅读军事历史经典"", ""内容"": ""阅读《第二次世界大战史》并总结""}]}, ""技术应用"": {""目标"": ""了解现代军事技术"", ""任务"": [{""名称"": ""学习无人机基础"", ""内容"": ""阅读无人机技术入门书籍""}]}, ""实践参与"": {""目标"": ""积累实践经验"", ""任务"": [{""名称"": ""参加模拟军事演习"", ""内容"": ""参与线上模拟演习并撰写报告""}]}}}","[""5分： 充分融合所有关键场景要素（如学生历史、学习偏好等），输出高度个性化，并与教学情境高度匹配。"", ""4分： 有效使用主要场景要素，回答具有针对性；可能遗漏少量细节，但不影响整体效果。"", ""3分： 使用了部分场景信息，但融合较浅；个性化程度或情境契合度一般。"", ""2分： 仅表层提及场景信息，未有效融合核心要素；与上下文连接较弱。"", ""1分： 完全忽视场景特定信息；输出通用、模板化，且与场景不相关。""]",回答仅用学生的军事背景和兴趣作为关键词（如'军事历史'、'无人机'），但未能根据学生画像进行个性化设计。没有针对学生历史知识不足、实践经验缺乏等弱点提供具体任务，也没有利用学生自主学习和小组讨论的偏好。内容十分笼统，与场景的连接只停留在表面，属于2分特征。,该回答仅表层提及场景信息（如军事、无人机），未有效融合学生的核心需求（如补足历史短板、增强实践能力）和学习方式，导致个性化程度极低，与教学情境契合度差，符合2分标准。,pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_482d263f0184a548,topup1_001,5572a79822dc1f11167f3d9b6dc19fb1eac3be4a,en,Reasoning Process Rigor,3,reasoning_gap,"Question: Which of the following principles is most closely associated with the doctrine of 'stare decisis' in common law systems?\n\nPlease provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","Question: Which of the following principles is most closely associated with the doctrine of 'stare decisis' in common law systems?\n\nPlease provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","Stare decisis is a Latin term meaning 'to stand by things decided'. In common law systems, judges often look at previous cases to decide current ones. This helps maintain some stability. So the principle that matches is probably the one about following precedents or something like that.","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]","The reasoning is visible but lacks clarity and depth. It mentions the basic concept but omits critical details such as the binding nature of precedent, the role of court hierarchy, or the specific principle of consistency. The conclusion is hedged and unsupported, leaving a reasoning gap.","The reasoning contains insufficient argumentation and missing steps; it does not rigorously connect stare decisis to the underlying principle, making the outcome weakly justified.",pass,pass,boundary_or_visible,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_fe2cd35d32432697,topup1_005,000b1f47c21ee93516a424f0cba80a7188cf3e6f,en,Error Identification & Correction Precision,2,factual_error,"Question: Explain the concept of Nash Equilibrium in game theory and provide an example.\nStudent's Answer: Nash Equilibrium is a situation in a game where each player's strategy is optimal given the strategies of all other players. No player can benefit by changing their strategy while the other players keep theirs unchanged. An example would be the Prisoner's Dilemma, where both prisoners choose to betray each other although they would receive a better outcome if they both stayed silent.\nPlease provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","Question: Explain the concept of Nash Equilibrium in game theory and provide an example.\nStudent's Answer: Nash Equilibrium is a situation in a game where each player's strategy is optimal given the strategies of all other players. No player can benefit by changing their strategy while the other players keep theirs unchanged. An example would be the Prisoner's Dilemma, where both prisoners choose to betray each other although they would receive a better outcome if they both stayed silent.\nPlease provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","{""Score"": 4, ""Scoring Details"": {""Explanation"": 2, ""Example"": 2}, ""Personalized Feedback"": ""Your definition of Nash Equilibrium is somewhat accurate, but the example you provided is incorrect. In the Prisoner's Dilemma, the Nash Equilibrium actually occurs when both prisoners stay silent because that leads to the best collective payoff. When both betray, they end up with a worse outcome. So your understanding of the example is flawed. I suggest you review how payoffs in the Prisoner's Dilemma determine the equilibrium. Otherwise, good effort.""}","[""5: Precisely identified all errors (no omission or false positives); provided completely correct, clear, and optimal correction suggestions."", ""4: Correctly located most major errors; suggestions are generally accurate and effective with only minor omissions or less-than-perfect advice."", ""3: Identified some errors but with clear omissions or false positives; suggestions are partially correct but may lack clarity, completeness or optimality."", ""2: Inaccurate error detection with critical omissions or many false positives; suggestions contain errors or are hard to comprehend."", ""1: Completely failed to detect errors; provided entirely incorrect or misleading correction advice.""]","The evaluator's feedback contains a major factual error: it incorrectly identifies the student's correct example as wrong and asserts that the Nash equilibrium in the Prisoner's Dilemma is mutual silence, which is false. This leads to unreliable error detection and an erroneous correction suggestion, aligning with the label 2 description of 'inaccurate error detection with critical omissions or many false positives; suggestions contain errors or are hard to comprehend.'",Inaccurate error detection: the evaluator falsely flags the student's correct example as an error and provides a factually incorrect correction (claiming mutual silence is the equilibrium). This makes the feedback misleading and unreliable.,pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_31cb288b52fe2ab9,topup1_006,017b36d1dcb5ac4eb79d1b467f6bf1403d6b7fef,zh,Instruction Following & Task Completion,1,instruction_violation,"学科:临床医学\n学制级别:硕士\n问题：以下哪种药物最常用于治疗急性心肌梗死？\nA) 阿司匹林\nB) 布洛芬\nC) 对乙酰氨基酚\nD) 洛伐他汀\n.请根据问题生成对应的答案。""答案"":,以json格式返回","学科:临床医学\n学制级别:硕士\n问题：以下哪种药物最常用于治疗急性心肌梗死？\nA) 阿司匹林\nB) 布洛芬\nC) 对乙酰氨基酚\nD) 洛伐他汀\n.请根据问题生成对应的答案。""答案"":,以json格式返回",答案: 对于急性心肌梗死，最常用的药物是布洛芬，因为它可以缓解胸痛和炎症。虽然阿司匹林也有抗血小板作用，但布洛芬的镇痛效果更强，因此临床首选布洛芬。另外两种药物（对乙酰氨基酚和洛伐他汀）不是主要治疗药物。所以答案是B) 布洛芬。,"[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。""]",回答选择了错误的药物（布洛芬而非阿司匹林），且解释中自相矛盾（提及阿司匹林是抗血小板首选但最终推荐布洛芬），完全误解任务要求，未能提供正确答案。任务完成度为零，属于严重错误，符合1分标准。,根据1分描述：完全误解或无视指令，任务未完成或完全错误。该回答无视了问题要求从选项中选出最常用药物的指令，给出了错误的药物选择，并且解释混乱，导致任务完全失败。,pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_c6d487777bf263fc,topup1_013,602ea8d46e1e4f17289f336d602ae07c5c72b34c,en,Reasoning Process Rigor,1,overconfident_wrong,"Question: Which part of the plant is responsible for photosynthesis? \nA) Roots \nB) Stems \nC) Leaves \nD) Flowers\n\nPlease provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","Question: Which part of the plant is responsible for photosynthesis? \nA) Roots \nB) Stems \nC) Leaves \nD) Flowers\n\nPlease provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","Photosynthesis needs carbon dioxide and water. Roots absorb water and minerals, but carbon dioxide is in the soil air pockets, so roots are the only part that gets both. Leaves are above ground and only get CO2 from the air, but they can't absorb water, so they can't photosynthesize effectively. Thus, roots are unquestionably the part responsible.","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]","The reasoning is fundamentally flawed, based on a misconception that roots absorb carbon dioxide from soil air pockets and that leaves cannot absorb water. It entirely omits the role of chlorophyll and light. The logic is chaotic and incorrect, yet presented with high confidence ('unquestionably'). This fits label 1: virtually no valid reasoning.","The reasoning contains severe factual errors (roots as primary photosynthetic organ) and exhibits illogical steps (CO2 from soil, leaves can't get water). There is no correct understanding of photosynthesis requirements. It matches the rubric for label 1: logic is chaotic, steps are incorrect.",pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_d6b38e07f14d2de3,topup1_015,381c1561829c0ca1e85c97e4f4ddaf9b8b9a9af3,en,"Personalization, Adaptation & Learning Support",1,rubric_violation,"{'Name': 'Alex Johnson', 'Age': 20, 'Current Skill Level': 'Intermediate', 'Learning Goals': ['Understand cellular biology', 'Master genetics concepts', 'Prepare for advanced ecology coursework'], 'Study Habits': ['Visual learner', 'Prefers hands-on activities', 'Studies best in short bursts'], 'Weak Points': ['Struggles with understanding complex genetic processes', 'Needs improvement in data analysis and interpretation']}\nBased on the student profile, provide ""Learning Path Planning"" and ""Personalized Recommendations"", returned in JSON format.","{'Name': 'Alex Johnson', 'Age': 20, 'Current Skill Level': 'Intermediate', 'Learning Goals': ['Understand cellular biology', 'Master genetics concepts', 'Prepare for advanced ecology coursework'], 'Study Habits': ['Visual learner', 'Prefers hands-on activities', 'Studies best in short bursts'], 'Weak Points': ['Struggles with understanding complex genetic processes', 'Needs improvement in data analysis and interpretation']}\nBased on the student profile, provide ""Learning Path Planning"" and ""Personalized Recommendations"", returned in JSON format.","{
  ""Learning Path Planning"": {
    ""Phase 1: Core Concepts"": ""Read the standard textbook on cell biology, genetics, and ecology in order. Focus on memorizing definitions and key facts."",
    ""Phase 2: Advanced Study"": ""Complete all end-of-chapter problems and review your notes for 2 hours daily. Avoid using diagrams or hands-on models as they can be distracting."",
    ""Phase 3: Exam Preparation"": ""Take practice tests under timed conditions. Do not waste time on visual summaries; rely on textual learning.""
  },
  ""Personalized Recommendations"": {
    ""Study Techniques"": [
      ""Study in long, uninterrupted blocks of 2-3 hours to fully immerse in complex topics."",
      ""Limit the use of visual aids; instead, read aloud and record your voice to listen later."",
      ""For understanding genetic processes, simply memorize the steps of meiosis and mitosis without bothering with the underlying mechanisms.""
    ],
    ""Data Analysis Tips"": ""For data analysis, copy examples from textbooks and avoid interpreting raw datasets yourself."",
    ""General Advice"": ""Since you are an intermediate student, you should be comfortable with all topics by now; just review and test yourself frequently.""
  }
}","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant learning advice or resources with good utility."", ""3: Attempts personalization but with limited effectiveness; recommendations are generic and of limited value."", ""2: Little to no personalization; output is the same for everyone; learning support is insufficient or unrelated."", ""1: No personalization; output may conflict with student needs; offers no or incorrect learning support.""]","The answer fails to incorporate any personalization based on the student's profile: it ignores the visual learning style and hands-on preference, recommends long study blocks contrary to 'short bursts,' and suggests memorization without understanding for genetics. The data analysis tip tells the student to avoid interpreting data, which conflicts with the stated need for improvement. This is a severe lack of adaptation and incorrect support.",No personalization; offers incorrect and conflicting learning support that does not address the student's needs or traits.,pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_ee4f2fcaedc8d9b5,topup1_011,be5c761a83d8b78bed82641067f5c9456c069602,en,"Clarity, Simplicity & Inspiration",3,superficial_fluency,"Subject:Sociology\nEducation Level:PhD\nKnowledge Point:The concept of 'social capital' has been extensively discussed in the field of sociology, particularly in relation to community development, socio-economic mobility, and collective action. Social capital refers to the networks of relationships among people who work in a particular society, enabling that society to function effectively.\nQuestion Type:Multiple Choice\n.Generate a corresponding question based on subject, education level, knowledge point, and question type. Return ""Question"" and ""Provided Reasoning"" in JSON format.","Subject:Sociology\nEducation Level:PhD\nKnowledge Point:The concept of 'social capital' has been extensively discussed in the field of sociology, particularly in relation to community development, socio-economic mobility, and collective action. Social capital refers to the networks of relationships among people who work in a particular society, enabling that society to function effectively.\nQuestion Type:Multiple Choice\n.Generate a corresponding question based on subject, education level, knowledge point, and question type. Return ""Question"" and ""Provided Reasoning"" in JSON format.","{""Question"": ""Within the sociological discourse, the term 'social capital' has been invoked to encapsulate a multifaceted phenomenon. Which of the following propositions most accurately captures the essence of this concept as it is commonly understood in the academic literature?"", ""Options"": [""A. The tangible economic assets and monetary reserves that individuals or collectivities possess, which can be leveraged for material gain."", ""B. The aggregate of actual or potential resources linked to possession of a durable network of more or less institutionalized relationships of mutual acquaintance and recognition."", ""C. The spatial and architectural configurations of public spaces that facilitate social gatherings and communal activities."", ""D. The cumulative educational achievements and cognitive competencies within a given population, which contribute to societal advancement.""], ""Correct Answer"": ""B"", ""Provided Reasoning"": ""In the vast and variegated landscape of sociological inquiry, the concept of social capital has been subject to extensive theoretical elaboration and empirical scrutiny. Scholars from diverse intellectual traditions, ranging from the foundational work of Pierre Bourdieu, who defined social capital as 'the aggregate of the actual or potential resources which are linked to possession of a durable network of more or less institutionalized relationships of mutual acquaintance and recognition', to the influential contributions of James Coleman and Robert Putnam, have underscored the significance of social networks, norms, and trust in facilitating cooperative action and socio-economic attainment. Option A, which refers to 'tangible economic assets and monetary reserves', is more appropriately characterized as economic capital, a concept that, while related, is ontologically distinct from the relational resources encapsulated by social capital. Option C, concerning 'spatial and architectural configurations', pertains to the domain of urban design and public infrastructure, which may serve as facilitators but do not constitute the network connections and associated norms per se. Option D, emphasizing 'cumulative educational achievements and cognitive competencies', aligns with the notion of human capital, another form of capital that is often intertwined with social capital in processes of stratification but maintains its own conceptual autonomy. Thus, upon careful consideration of the theoretical discourse, Option B emerges as the most precise and comprehensive representation of the concept.""}","[""5: Extremely clear and concise explanations; fully accessible for target learners; vibrant and engaging delivery that inspires deep thought and interest."", ""4: Clear and easy to understand; appropriate for learner level; somewhat thought-provoking and can trigger reflection."", ""3: Generally understandable but may be wordy, complex, or dull; limited inspirational impact."", ""2: Lacks clarity; uses excessive jargon or complex structures; difficult to comprehend; uninspiring."", ""1: Confusing and hard to follow; disregards learner needs; offers no inspiration and may cause confusion.""]","The answer is generally understandable but uses overly complex and verbose language, making it dull and lacking inspirational impact. The reasoning is correct but unnecessarily long-winded, which reduces clarity and engagement, fitting the rubric descriptor for label 3.","Wordiness and excessive complexity lead to limited inspirational impact, as per rubric descriptor for label 3.",pass,pass,boundary_or_visible,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_ddd1f1db87125251,topup1_007,0324a98cd6c00ebf2855741ebecf0ef4df31541f,en,Basic Factual Accuracy,2,factual_error,"Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\nD) Zinc\n. Please generate the corresponding answer based on the question. ""Answer"":, in JSON format.","Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\nD) Zinc\n. Please generate the corresponding answer based on the question. ""Answer"":, in JSON format.","The primary macronutrient essential for plant growth among the options is Magnesium (B). Magnesium is a core component of chlorophyll and is required in relatively large amounts, classifying it as a primary macronutrient.","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]","The answer incorrectly identifies magnesium as a primary macronutrient; magnesium is a secondary macronutrient, not a primary one. This is a major factual inaccuracy that makes the information untrustworthy, consistent with label 2.","Contains a key factual inaccuracy (misclassification of a nutrient), rendering the answer unreliable.",pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
syn_dc335a11f706f79d,topup1_010,32755a88f95099cbe22dbb740f36df80db79d035,zh,Content Relevance & Scope Control,1,scenario_mismatch,"学科:法学\n学制级别:博士\n问题：在国际法中，以下哪一个原则主要用于解决国家之间的领土争端？\nA. 不干涉内政原则\nB. 自决原则\nC. 先占原则\nD. 互惠原则\n.请根据问题生成对应的答案。""答案"":,以json格式返回","学科:法学\n学制级别:博士\n问题：在国际法中，以下哪一个原则主要用于解决国家之间的领土争端？\nA. 不干涉内政原则\nB. 自决原则\nC. 先占原则\nD. 互惠原则\n.请根据问题生成对应的答案。""答案"":,以json格式返回",D. 互惠原则。在国际法中，互惠原则是指国家之间相互给予对方同等的待遇和利益。在领土争端中，互惠原则经常被用来通过交换领土或共同开发的方式解决争端，因此它是主要的解决原则。,"[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]",回答选择了完全错误的选项，并给出了与国际法领土争端解决原则无关的解释，内容严重偏离指定主题。,内容基本不相关，完全脱离指定范围，未能提供与领土争端主要原则相关的正确信息。,pass,pass,clear,not_detected,no,,,,,,,,,,,auto_pass_plus_stratified_spotcheck_required
