comparison,metric,qdb1_value,qdpr2_value,delta,direction,improved
QD-PR2_minus_QD-B1,low_to_high_rate,0.45161290322580644,0.3870967741935484,-0.06451612903225806,lower_better,true
QD-PR2_minus_QD-B1,MAE_label,0.42792384406165007,0.41915986702931396,-0.008763977032336112,lower_better,true
QD-PR2_minus_QD-B1,MAE_expected,0.3980361290190023,0.39063015492795533,-0.007405974091046985,lower_better,true
QD-PR2_minus_QD-B1,Quadratic Weighted Kappa,0.6012356007375432,0.6083786422677057,0.007143041530162431,higher_better,true
QD-PR2_minus_QD-B1,Kendall tau,0.5265979428764057,0.5327953742599383,0.00619743138353257,higher_better,true
QD-PR2_minus_QD-B1,Spearman rho,0.5931744288310964,0.5998287719361711,0.006654343105074734,higher_better,true
QD-PR2_minus_QD-B1,Accuracy,0.670897552130553,0.6772438803263826,0.006346328195829587,higher_better,true
QD-PR2_minus_QD-B1,Acc@5,0.7418831168831169,0.7548701298701299,0.012987012987012991,higher_better,true
QD-PR2_minus_QD-B1,high_to_mid_or_low_rate,0.01461038961038961,0.016233766233766232,0.0016233766233766222,lower_better,false
QD-PR2_minus_QD-B1,Signed Bias label,0.018132366273798706,0.03354487760652764,0.015412511332728935,closer_to_zero,false
QD-PR2_minus_QD-B1,monotonic_violation_rate,0.3118766999093382,0.3526745240253853,0.0407978241160471,lower_better,false
