method,split,group_field,group_value,pair_count,mean_score_gap,median_score_gap,mean_pair_margin,min_score_gap,max_score_gap,pair_accuracy,margin_satisfied_rate,delta_mean_score_gap_vs_pr1,delta_pair_accuracy_vs_pr1,delta_margin_satisfied_vs_pr1
from-scratch pairwise ordinal training,dev,overall,overall,5000,0.7829076576753002,0.5743642349927995,0.57475,-1.9980746216683656,3.9999570644522464,0.7964,0.4946,,,
from-scratch pairwise ordinal training,dev,pair_type,adjacent,1500,0.49482769206077903,0.5270318395735103,0.25,-1.9845846301905112,3.9998992055296867,0.8306666666666667,0.5546666666666666,,,
from-scratch pairwise ordinal training,dev,pair_type,low_high,2000,1.054816097713961,0.4490712285041809,0.967125,-1.8480394353850897,3.9999570644522464,0.792,0.404,,,
from-scratch pairwise ordinal training,dev,pair_type,low_mid,1000,0.6818138199991274,0.4511685371398926,0.3145,-1.9980746216683656,3.999884401345298,0.721,0.525,,,
from-scratch pairwise ordinal training,dev,pair_type,random_ordinal,500,0.7617014697165659,0.9906600389573548,0.5,-1.0002368964233028,2.3267816120208806,0.862,0.616,,,
from-scratch pairwise ordinal training,dev,priority,any_valid,150,0.8672264684034049,0.9510752404084286,0.35333333333333333,-1.9980746216683656,3.999884401345298,0.6266666666666667,0.5666666666666667,,,
from-scratch pairwise ordinal training,dev,priority,same_metric,247,0.6058974230915796,0.24037784337997437,0.3076923076923077,-1.156104008480952,3.9372352836448954,0.680161943319838,0.4939271255060729,,,
from-scratch pairwise ordinal training,dev,priority,same_metric_language,1755,0.743112201864513,0.20257997512817383,0.8283475783475783,-1.8480394353850897,3.9999570644522464,0.7606837606837606,0.33618233618233617,,,
from-scratch pairwise ordinal training,dev,priority,same_question,2848,0.8183412009621313,0.8655718108202564,0.4533005617977528,-1.9845846301905112,3.9998992055296867,0.8374297752808989,0.5884831460674157,,,
anchored pairwise boundary fine-tuning,dev,overall,overall,3000,0.9204966189334579,0.5794800029252656,0.5803333333333334,-1.979517083535029,3.998357496326207,0.804,0.5556666666666666,0.13758896125815767,0.007600000000000051,0.06106666666666666
anchored pairwise boundary fine-tuning,dev,pair_type,adjacent,900,0.5362669348751378,0.47461873292922974,0.25,-1.8457949738949537,3.9961420512845507,0.81,0.6233333333333333,0.041439242814358734,-0.02066666666666661,0.06866666666666665
anchored pairwise boundary fine-tuning,dev,pair_type,low_high,1200,1.3527472741732467,0.8879294112557545,0.984375,-1.979517083535029,3.998357496326207,0.7933333333333333,0.48833333333333334,0.2979311764592858,0.0013333333333332975,0.08433333333333332
anchored pairwise boundary fine-tuning,dev,pair_type,low_mid,600,0.627414798739325,0.384320733952336,0.30791666666666667,-1.3753851056098938,3.9697820622495783,0.7716666666666666,0.5383333333333333,-0.05439902125980234,0.05066666666666664,0.013333333333333308
anchored pairwise boundary fine-tuning,dev,pair_type,random_ordinal,300,0.9303466905375293,0.9788572238758206,0.5,-0.8730500494129956,2.0688509992323816,0.8933333333333333,0.6566666666666666,0.16864522082096334,0.031333333333333324,0.04066666666666663
anchored pairwise boundary fine-tuning,dev,priority,same_metric_language,952,0.7614986153351715,0.3397939205169678,0.7352941176470589,-1.979517083535029,3.998357496326207,0.7468487394957983,0.36869747899159666,0.018386413470658503,-0.013835021187962315,0.03251514280926049
anchored pairwise boundary fine-tuning,dev,priority,same_question,2048,0.9944058471685988,0.7623525075614452,0.50830078125,-1.8457949738949537,3.9978523928693903,0.83056640625,0.642578125,0.17606464620646756,-0.006863369030898903,0.0540949789325843
