synthetic_id,synthetic_plan_id,passed_filter,filter_reasons,filter_stage,filter_status,failure_reasons,label_plausibility_status,error_type_alignment_status,rubric_failure_visibility,too_good_for_target_label,artifact_phrase_status,manual_review_required,hardened_filter_reasons,notes
syn_482d263f0184a548,topup1_001,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_0c2734d057684a54,topup1_002,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_ad3af640f4fef515,topup1_003,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_c3f2ec628ebb1cdc,topup1_004,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_fe2cd35d32432697,topup1_005,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_31cb288b52fe2ab9,topup1_006,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_ddd1f1db87125251,topup1_007,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_1e9e21c275479f5e,topup1_008,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_22079d437c51e6f8,topup1_009,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_dc335a11f706f79d,topup1_010,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_ee4f2fcaedc8d9b5,topup1_011,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_08bd1b326a3d000f,topup1_012,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_c6d487777bf263fc,topup1_013,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_ec337cba3079a095,topup1_014,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_d6b38e07f14d2de3,topup1_015,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_c67e6e115163dac5,topup1_016,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_4ba860a4e3bbf333,topup1_017,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_7c85c53ccc7559c8,topup1_018,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_363c7aab75950916,topup1_019,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_5dd75cedb097d607,topup1_020,False,artifact_phrase,topup1_required_plus_hardened_filters,fail,artifact_phrase,pass,pass,boundary_or_visible,not_detected,fail,yes,artifact_phrase,Exp6-9 topup1 hardened filter
syn_65ff9916a88d6d3e,topup1_021,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_4a089cfae8ece015,topup1_022,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
syn_ead88bb9f97946a8,topup1_023,False,artifact_phrase,topup1_required_plus_hardened_filters,fail,artifact_phrase,pass,pass,clear,not_detected,fail,yes,artifact_phrase,Exp6-9 topup1 hardened filter
syn_ac2ad1519840c78a,topup1_024,True,,topup1_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-9 topup1 hardened filter
