run_name,gold_label,rejected_score,n,dpo_pref_acc,raw_pref_acc,weighted_dpo_pref_acc,mean_dpo_delta,p10_dpo_delta,p50_dpo_delta,p90_dpo_delta,mean_model_margin
exp25_src_mixed_r2c,1,3,20,0.2,0.9,0.09230769230769229,0.034375,-0.390625,-0.03125,0.4375,0.3484375
exp25_src_mixed_r2c,1,4,51,0.23529411764705882,0.8823529411764706,0.16596638655462187,-0.0548406862745098,-0.46875,-0.0625,0.421875,0.4212622549019608
exp25_src_mixed_r2c,1,5,141,0.3617021276595745,0.8936170212765957,0.2895136778115503,0.0897052304964539,-0.390625,-0.0625,0.890625,0.4182734929078014
exp25_src_mixed_r2c,2,3,38,0.3157894736842105,0.868421052631579,0.17408906882591085,0.028577302631578948,-0.1640625,-0.03125,0.515625,0.38754111842105265
exp25_src_mixed_r2c,2,4,99,0.1919191919191919,0.898989898989899,0.09523809523809527,-0.203125,-0.75,-0.0625,0.25,0.48311237373737376
exp25_src_mixed_r2c,2,5,99,0.1414141414141414,0.9090909090909091,0.07142857142857145,-0.2579703282828283,-0.828125,-0.140625,0.15625,0.5430082070707071
exp25_src_mixed_r2c,4,1,63,0.1746031746031746,0.8571428571428571,0.09730848861283646,-0.04724702380952381,-0.171875,-0.0625,0.28125,0.15042162698412698
exp25_src_mixed_r2c,4,2,114,0.2719298245614035,0.8070175438596491,0.20251716247139612,-0.02206688596491228,-0.203125,-0.03125,0.234375,0.13952850877192982
exp25_src_mixed_r2c,4,3,178,0.29775280898876405,0.7696629213483146,0.22817631806395902,-0.029406601123595506,-0.390625,-0.015625,0.328125,0.16520365168539325
exp25_src_mixed_r2c,5,1,135,0.17777777777777778,0.9629629629629629,0.06956521739130438,-0.032233796296296295,-0.265625,-0.046875,0.296875,0.2924189814814815
exp25_src_mixed_r2c,5,2,105,0.14285714285714285,0.9523809523809523,0.07329192546583853,-0.04806547619047619,-0.25,-0.046875,0.15625,0.3712797619047619
exp25_src_mixed_r2c,5,3,84,0.20238095238095238,0.8928571428571429,0.09340659340659345,-0.07124255952380952,-0.46875,-0.03125,0.1875,0.28236607142857145
exp25_src_score_mismatch_r2c,1,3,10,0.0,1.0,0.0,-0.05390625,-0.09375,-0.046875,-0.015625,0.19765625
exp25_src_score_mismatch_r2c,1,4,17,0.17647058823529413,1.0,0.17647058823529413,-0.043658088235294115,-0.109375,-0.03125,0.015625,0.16222426470588236
exp25_src_score_mismatch_r2c,1,5,47,0.02127659574468085,1.0,0.02127659574468085,-0.07662898936170212,-0.15625,-0.0625,-0.015625,0.2405252659574468
exp25_src_score_mismatch_r2c,2,3,19,0.05263157894736842,1.0,0.05263157894736842,-0.041529605263157895,-0.09375,-0.03125,-0.015625,0.06866776315789473
exp25_src_score_mismatch_r2c,2,4,33,0.09090909090909091,1.0,0.09090909090909091,-0.033380681818181816,-0.0625,-0.03125,0.0,0.08641098484848485
exp25_src_score_mismatch_r2c,2,5,33,0.0,1.0,0.0,-0.07220643939393939,-0.109375,-0.0625,-0.03125,0.15932765151515152
exp25_src_score_mismatch_r2c,4,1,21,0.047619047619047616,0.9523809523809523,0.047619047619047616,-0.053943452380952384,-0.109375,-0.0625,-0.0078125,0.09635416666666667
exp25_src_score_mismatch_r2c,4,2,38,0.15789473684210525,0.9473684210526315,0.15789473684210525,-0.03885690789473684,-0.09375,-0.046875,0.015625,0.09806743421052631
exp25_src_score_mismatch_r2c,4,3,89,0.19101123595505617,0.8426966292134831,0.19101123595505617,-0.013781601123595506,-0.046875,-0.015625,0.015625,0.0390625
exp25_src_score_mismatch_r2c,5,1,45,0.022222222222222223,1.0,0.022222222222222223,-0.05607638888888889,-0.09375,-0.046875,-0.03125,0.0953125
exp25_src_score_mismatch_r2c,5,2,35,0.02857142857142857,1.0,0.02857142857142857,-0.041741071428571426,-0.0703125,-0.046875,-0.015625,0.09129464285714285
exp25_src_score_mismatch_r2c,5,3,42,0.023809523809523808,1.0,0.023809523809523808,-0.03943452380952381,-0.0703125,-0.03125,0.0,0.07886904761904762
