split_name,split,label_5,count,pct_within_split
paper_like_triple_seed42,train,5,1381,0.520347
paper_like_triple_seed42,train,4,946,0.356443
paper_like_triple_seed42,train,3,251,0.094574
paper_like_triple_seed42,train,2,52,0.019593
paper_like_triple_seed42,train,1,24,0.009043
paper_like_triple_seed42,dev,5,345,0.519578
paper_like_triple_seed42,dev,4,237,0.356928
paper_like_triple_seed42,dev,3,62,0.093373
paper_like_triple_seed42,dev,2,14,0.021084
paper_like_triple_seed42,dev,1,6,0.009036
paper_like_triple_seed42,test,5,1201,0.541479
paper_like_triple_seed42,test,4,720,0.324617
paper_like_triple_seed42,test,3,194,0.087466
paper_like_triple_seed42,test,1,56,0.025248
paper_like_triple_seed42,test,2,47,0.02119
question_seed42,train,5,1755,0.527661
question_seed42,train,4,1163,0.349669
question_seed42,train,3,297,0.089296
question_seed42,train,1,58,0.017438
question_seed42,train,2,53,0.015935
question_seed42,dev,5,556,0.502258
question_seed42,dev,4,389,0.3514
question_seed42,dev,3,105,0.094851
question_seed42,dev,2,38,0.034327
question_seed42,dev,1,19,0.017164
question_seed42,test,5,616,0.558477
question_seed42,test,4,351,0.318223
question_seed42,test,3,105,0.095195
question_seed42,test,2,22,0.019946
question_seed42,test,1,9,0.00816
