triple_key,count,record_ids,question_preview,answer_preview,metric_canonical
d8c6790e5e44e941343f2a15cbb8fb3a4eb78a76,2,"[""19080a9f219b4a6aa02fd750a5a1f7c994866954"", ""cc93c49061287c845cc1d14b53f11268ee3cfe56""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"{\n  ""Answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}",Instruction Following & Task Completion
d461ce1112b31e0b8bdc1fb1e97e41ea6706cac0,2,"[""21f7477fab0c32db6c1573e3d0d58a9ff38c852e"", ""de9c51b8e6265f3ca76c99330b90ab73e3927ec8""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"{\n  ""Answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}",Content Relevance & Scope Control
b6aa4fd8d54291fa9c0395a30fa731724412d4c8,2,"[""284176e1ce22ec8d0dd99e3a1d4e745698f9693b"", ""d6cc82d43300e1b19c9527131fbe05e09f2869ab""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"{\n  ""Answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}",Basic Factual Accuracy
595d20cc3aafba514b89dc002491957c5fb3124f,2,"[""3e6317e0a4cd57573a6c971fc945cfc7ee52148a"", ""4042b14600691c9b29b70d916e9db910c058d891""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"{\n  ""Answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}",Reasoning Process Rigor
fdfd1e17b1b04c3fee6fe87d53f314f8653960e9,3,"[""8e47471e7ba30570f19adcb33f2e91003208d722"", ""940c78434788a2edece7f6447fa401a3095f0f6b"", ""1c173bd69bcf2c14f84c032321b4f28665a6bdaf""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"```json\n{\n  ""answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}\n```",Instruction Following & Task Completion
c7a1f4eeae30f122468c2566cae3d99821d276b3,3,"[""b6cf487cdb13229fa5d7bfc99af643bf40bf5061"", ""57c39c4ae2aada42c185ece17ed9e00a327a6a0c"", ""9b5b25142f59907245031f0abf739974b73630c5""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"```json\n{\n  ""answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}\n```",Content Relevance & Scope Control
7584e8d4bf751b98c0393e80aaacf6d155747205,3,"[""6be77feda75b3d90e5ff7ee9aae0622c43c5fd7b"", ""0676331be88dbae14fe2c13e851ee2124e60a350"", ""be1745f8a775d4a1b53a8ca554b7e894f6787eaa""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"```json\n{\n  ""answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}\n```",Basic Factual Accuracy
b85900ab199d898d0ebf3212de467b4d604d1316,3,"[""f0c153c819601d3c479c51f48b2acd66132d1e5f"", ""76909e50052e68bb729ed62933a86559f6a7c036"", ""2805e4237ccaed90f917ee91a5c2c44743bbd1b1""]",Subject:Applied Economics\nEducation Level:Undergraduate\nQuestion:Which of the following is considered a limitation of using Gross Domestic Product (GDP) as a measure of econom...,"```json\n{\n  ""answer"": ""C) GDP does not account for environmental degradation and resource depletion.""\n}\n```",Reasoning Process Rigor
6b4736c2e50f2a7d4cc5a1e3c412d72e7e78b61d,4,"[""84fdf0e94e97694e065bc3408edaf1a992c8f563"", ""6388b24b4dadcdac390ebf06bb15d59ba95a53e8"", ""a6ac2b4e54851b7d42b16663e6e69d36807217d7"", ""11ef266019b5d2c8ce0e4f2a78f6062c435d9d32""]",Subject:Psychology\nEducation Level:PhD\nQuestion:Which of the following theories best explains the mechanism of action of selective serotonin reuptake inhibitors (SSRIs) in the...,"```json\n{\n  ""Answer"": ""B) Monoamine Hypothesis""\n}\n```",Instruction Following & Task Completion
5622158eddc5f77ba71974bf27a525b276704d30,4,"[""e72e0eaeaca1d989a45ac96b292281185c6db4d2"", ""c72e56dcd9b2ed0a2635d84bbcf8bfcfbba156f9"", ""be84018ac68cc45b43d7e753179ffbe31e9af29a"", ""a96eb54e33a667280aa08ab24384eda9793018cb""]",Subject:Psychology\nEducation Level:PhD\nQuestion:Which of the following theories best explains the mechanism of action of selective serotonin reuptake inhibitors (SSRIs) in the...,"```json\n{\n  ""Answer"": ""B) Monoamine Hypothesis""\n}\n```",Content Relevance & Scope Control
