file_path,num_records,all_keys,key_presence_rate,nested_keys,score_like_fields,question_like_fields,answer_like_fields,metric_like_fields,subject_like_fields,scenario_like_fields,language_like_fields,model_like_fields,human_score_like_fields,judge_score_like_fields,likely_role,profile_error
5-grades/1-shot_cases_zh.json,12,"[""__key__"", ""description"", ""generated_responses"", ""principle"", ""question"", ""rules""]","{""__key__"": 1.0, ""description"": 0.4167, ""generated_responses"": 0.5833, ""principle"": 0.5833, ""question"": 0.5833, ""rules"": 0.4167}","[""__key__"", ""description"", ""generated_responses"", ""generated_responses[]"", ""generated_responses[].reason"", ""generated_responses[].response"", ""generated_responses[].score"", ""principle"", ""question"", ""rules"", ""rules[]""]",[],"[""question""]","[""generated_responses""]","[""principle""]",[],[],[],[],[],[],unknown,
5-grades/5_50_metric_v3_questions_en.json,12,"[""__key__"", ""__value__""]","{""__key__"": 1.0, ""__value__"": 1.0}","[""__key__"", ""__value__"", ""__value__[]""]",[],[],[],[],[],[],[],[],[],[],unknown,
5-grades/5_50_metric_v3_questions_zh.json,12,"[""__key__"", ""__value__""]","{""__key__"": 1.0, ""__value__"": 1.0}","[""__key__"", ""__value__"", ""__value__[]""]",[],[],[],[],[],[],[],[],[],[],unknown,
5-grades/5_50_metric_v3_questions_zh_test.json,2,"[""__key__"", ""__value__""]","{""__key__"": 1.0, ""__value__"": 1.0}","[""__key__"", ""__value__"", ""__value__[]""]",[],[],[],[],[],[],[],[],[],[],unknown,
5-grades/5_groupby_metric_v3_eval_en.jsonl,2785,"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","{""model"": 1.0, ""principle"": 1.0, ""question"": 1.0, ""reason"": 1.0, ""response"": 1.0, ""score"": 1.0}","[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""question""]","[""response""]","[""principle""]",[],[],[],"[""model""]",[],[],llm_judge_output,
5-grades/5_groupby_metric_v3_eval_zh.jsonl,2805,"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","{""model"": 1.0, ""principle"": 1.0, ""question"": 1.0, ""reason"": 1.0, ""response"": 1.0, ""score"": 1.0}","[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""question""]","[""response""]","[""principle""]",[],[],[],"[""model""]",[],[],llm_judge_output,
5-grades/5_human_1.jsonl,3366,"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","{""model"": 1.0, ""principle"": 1.0, ""question"": 1.0, ""reason"": 1.0, ""response"": 1.0, ""score"": 1.0}","[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""question""]","[""response""]","[""principle""]",[],[],[],"[""model""]",[],[],human_annotation,
5-grades/5_human_2.jsonl,3366,"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","{""model"": 1.0, ""principle"": 1.0, ""question"": 1.0, ""reason"": 1.0, ""response"": 1.0, ""score"": 1.0}","[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""question""]","[""response""]","[""principle""]",[],[],[],"[""model""]",[],[],human_annotation,
5-grades/5_human_3.jsonl,3366,"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","{""model"": 1.0, ""principle"": 1.0, ""question"": 1.0, ""reason"": 1.0, ""response"": 1.0, ""score"": 1.0}","[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""question""]","[""response""]","[""principle""]",[],[],[],"[""model""]",[],[],human_annotation,
5-grades/5_merge_human_metric_en.jsonl,4031,"[""eval"", ""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","{""eval"": 1.0, ""model"": 1.0, ""principle"": 1.0, ""question"": 1.0, ""reason"": 1.0, ""response"": 1.0, ""score"": 1.0}","[""eval"", ""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""question""]","[""response""]","[""principle""]",[],[],[],"[""model""]",[],"[""eval""]",merged_human_metric,
