split_name,check,split_a,split_b,key_type,key_value,record_id_a,record_id_b,question_preview,answer_preview,metric_canonical,generator_model,label_5,pair,overlap_count,severity,example_keys
paper_like_triple_seed42,question_key cross-split overlap,train,dev,question_key,,,,,,,,,train-dev,184,WARNING,"[""002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500"", ""00390e119f0cc1f62aa2726f07ddfc3fd9bcb599"", ""0086d5f774968e7f939e2a90227dd4f7c9daff8e"", ""017b79ae37affb7019266860fa78173a21364493"", ""02ce58cfa46bbe8455359e7783c8e7014804cae9"", ""032d2a7705a681161d1f663d69ca178d59f597fb"", ""04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7"", ""08019f2165bce2d8cfc49849d40aa7a44344525b"", ""0a3152b6a40fc98b07a15855ba40ec0882507e78"", ""0d15c361c4d8191bd918c895893f7acb5b4970f8""]"
paper_like_triple_seed42,question_key cross-split overlap,train,test,question_key,,,,,,,,,train-test,162,WARNING,"[""002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500"", ""00390e119f0cc1f62aa2726f07ddfc3fd9bcb599"", ""0086d5f774968e7f939e2a90227dd4f7c9daff8e"", ""01e981e006d5cc3c46452c8e47a7071211cd9c78"", ""032d2a7705a681161d1f663d69ca178d59f597fb"", ""041e24355921f74d38dc4cfa218e38b1295f9100"", ""08019f2165bce2d8cfc49849d40aa7a44344525b"", ""0d15c361c4d8191bd918c895893f7acb5b4970f8"", ""0f7aa5ab3270c4198e2520df8b356b3bd79ac250"", ""146b2dc09c3ee483b0b899e1eff2aed8f9f80520""]"
paper_like_triple_seed42,question_key cross-split overlap,dev,test,question_key,,,,,,,,,dev-test,150,WARNING,"[""002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500"", ""00390e119f0cc1f62aa2726f07ddfc3fd9bcb599"", ""0086d5f774968e7f939e2a90227dd4f7c9daff8e"", ""032d2a7705a681161d1f663d69ca178d59f597fb"", ""08019f2165bce2d8cfc49849d40aa7a44344525b"", ""0d15c361c4d8191bd918c895893f7acb5b4970f8"", ""0f7aa5ab3270c4198e2520df8b356b3bd79ac250"", ""146b2dc09c3ee483b0b899e1eff2aed8f9f80520"", ""14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4"", ""17b7d5ef28c4ab973e25c03486cef8f85327b921""]"
paper_like_triple_seed42,answer_key cross-split overlap,train,dev,answer_key,,,,,,,,,train-dev,472,WARNING,"[""0275766630c6ac500e3237d36b24a2233207e04c"", ""02c48074ede9051e4a0fc6167deacbfa4bb6a8da"", ""02cf42d4f66ef1e58cd75fc3183757bcffc337c7"", ""047391f55a0dab1c17f63428213114200d97d7d9"", ""055d60a76b642f69b401fd6854b9e59760114451"", ""05a0df68e08a3ff85d5b8bd0e64d0a6d2c08825d"", ""05a971c59502aa8454c728df1a02f40326da3359"", ""06524677621f62c9255ef7548ff0b32132b98394"", ""06af9b3bb13bc44de3ce925f0c6b8dd84550b02e"", ""06dab42dd25b4f8edda06948be8d6394b1ce00db""]"
paper_like_triple_seed42,answer_key cross-split overlap,train,test,answer_key,,,,,,,,,train-test,674,WARNING,"[""005b27b0c58d82170ba3dc2830a6dc8395b0c600"", ""0084f0174411e4198429b87e7f7300b43d12b355"", ""01ff1d7fb443bc3c913478de5663fe2bcf1f8a5a"", ""0275766630c6ac500e3237d36b24a2233207e04c"", ""02c48074ede9051e4a0fc6167deacbfa4bb6a8da"", ""02cf42d4f66ef1e58cd75fc3183757bcffc337c7"", ""02e544eba9884e035f24f2ff3a0d4d809952d739"", ""055d60a76b642f69b401fd6854b9e59760114451"", ""05a971c59502aa8454c728df1a02f40326da3359"", ""0602497b4d71ca5ea1978688ead4ddf50d78610a""]"
paper_like_triple_seed42,answer_key cross-split overlap,dev,test,answer_key,,,,,,,,,dev-test,347,WARNING,"[""0275766630c6ac500e3237d36b24a2233207e04c"", ""02c48074ede9051e4a0fc6167deacbfa4bb6a8da"", ""02cf42d4f66ef1e58cd75fc3183757bcffc337c7"", ""055d60a76b642f69b401fd6854b9e59760114451"", ""05a971c59502aa8454c728df1a02f40326da3359"", ""06524677621f62c9255ef7548ff0b32132b98394"", ""06af9b3bb13bc44de3ce925f0c6b8dd84550b02e"", ""06dab42dd25b4f8edda06948be8d6394b1ce00db"", ""06e540ab8aab1d52f149b54fdbdc755272e21678"", ""06f26d0afd186f0eafb599d0a872d244312a7b46""]"
paper_like_triple_seed42,normalized question+answer cross-split overlap,train,dev,qa_key,,,,,,,,,train-dev,472,WARNING,"[""001bfc9521e6adc9daef3f571a3a402ae3b1057a"", ""00ab329ba9f64ce87c59b509f23bc951f4a65a2e"", ""019c24ae53e254b8feeb8129d1f0049876f814a3"", ""02a097438aa26bafff459ec58be4e4086edb3fea"", ""02a0ffa2eefaf9b3ba1d74b2ed812a73c4d690bd"", ""02f8d15f17af083994d4fa3d375577bb8ed476cd"", ""0300e2f381d5b3140f3ded6288e7eca1033c41e2"", ""0381c0bf7f828486cf2dd9328dd36792b730f5ae"", ""039a404968b7e5aed738f36ca5f7eec9d2b3e3ec"", ""04293e7e7dde18616e4a56028c2a9439eecd37ef""]"
paper_like_triple_seed42,normalized question+answer cross-split overlap,train,test,qa_key,,,,,,,,,train-test,674,WARNING,"[""001bfc9521e6adc9daef3f571a3a402ae3b1057a"", ""017a62d92763b617a487be56cdec7ec84c2c07c4"", ""02a097438aa26bafff459ec58be4e4086edb3fea"", ""02a0ffa2eefaf9b3ba1d74b2ed812a73c4d690bd"", ""02a2d8cfae4d19ec67694988bdced23f9bae7b50"", ""0381c0bf7f828486cf2dd9328dd36792b730f5ae"", ""039a404968b7e5aed738f36ca5f7eec9d2b3e3ec"", ""04293e7e7dde18616e4a56028c2a9439eecd37ef"", ""043aa6fc1982bdbfba395e3739cab1d9d27bcca0"", ""045604de082687220de11cceb8f8b90bd66e88e7""]"
paper_like_triple_seed42,normalized question+answer cross-split overlap,dev,test,qa_key,,,,,,,,,dev-test,347,WARNING,"[""001bfc9521e6adc9daef3f571a3a402ae3b1057a"", ""02a097438aa26bafff459ec58be4e4086edb3fea"", ""02a0ffa2eefaf9b3ba1d74b2ed812a73c4d690bd"", ""0381c0bf7f828486cf2dd9328dd36792b730f5ae"", ""039a404968b7e5aed738f36ca5f7eec9d2b3e3ec"", ""04293e7e7dde18616e4a56028c2a9439eecd37ef"", ""04d0751fe8149b1bfb39a9a8450be40aaf9aa28b"", ""056d58d2fbe11f5efefe8524ba5b4d8dd91ef435"", ""061bde464a4058065c25c981100001d79f69c930"", ""07217bec289d505241d7079730ef12525e31961f""]"
paper_like_triple_seed42,duplicate full scored item within same split,train,train,full_record_key,51d60d724534b2735f06305900787ee9b146cd74,41d914fd44e980b30ca88565d41d8948fb9a332a,287c0e1ecaedeca9445bef61d78547193659b60c,焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...",Instruction Following & Task Completion,qwen2.5-14b-instruct,4,train-train,1,WARNING,"[""51d60d724534b2735f06305900787ee9b146cd74""]"
paper_like_triple_seed42,duplicate full scored item within same split,train,train,full_record_key,2a4f38d678f9771b5ed9ec225acd8d969e24b078,f8be52385e9d8d609a5d3e4b6b7b76c725f53693,858a04b62cf4253a9bbe60ed7d42d749883c6527,焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...",Role & Tone Consistency,qwen2.5-14b-instruct,4,train-train,1,WARNING,"[""2a4f38d678f9771b5ed9ec225acd8d969e24b078""]"
paper_like_triple_seed42,duplicate full scored item within same split,train,train,full_record_key,5f6f6e427c7d06c669c465644108b41216478451,d15186623246c54ae733a5d6d2829b0f5e460526,35337caab594c8e9d8aeffb54946f342dfa5a654,焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...",Scenario Element Integration,qwen2.5-14b-instruct,4,train-train,1,WARNING,"[""5f6f6e427c7d06c669c465644108b41216478451""]"
paper_like_triple_seed42,duplicate full scored item within same split,train,train,full_record_key,961c0f1c822cbdf27b80f600628f7e2bb4fcd308,dbdfd2ada70625081f6759bc5863491668502ccd,43eec9ed192dec3286e91ab8b1af39d45f723bb1,焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""情绪类型"": ""重度焦虑"",\n    ""具体表现"": ""学生表现出对语文课的极度紧张和害怕，担心自己表现不佳，害怕被老师批评和同学嘲笑。"",\n    ""潜在原因"": ""可能源于对自我表现的高要求、对他人评价的过度在意，或之前有过类似的负面经历。""\n  },\n  ""安慰与建议"": {...",Instruction Following & Task Completion,deepseek-v3,4,train-train,1,WARNING,"[""961c0f1c822cbdf27b80f600628f7e2bb4fcd308""]"
