source_path,source_origin,file_role,num_records,top_level_keys,contains_question,contains_answer,contains_metric,contains_task_or_scenario,contains_subject,contains_education_level,contains_human_score,contains_model_eval_score
EduBench.zip,zip,unknown,12,"[""README.md"", ""anthology.bib.txt"", ""formatting.md"", ""latex/acl.sty"", ""latex/acl_latex.tex"", ""latex/acl_lualatex.tex"", ""latex/acl_natbib.bst"", ""latex/custom.bib"", ""distribution-radar.pdf"", ""framework.pdf"", ""README"", ""distribution-radar1.pdf""]",False,False,False,False,False,False,False,False
README.md,official_github_clone,readme,0,[],False,False,False,False,False,False,False,False
code/readme.md,official_github_clone,readme,0,[],False,False,False,False,False,False,False,False
data/all_data/en_data/AG.jsonl,official_github_clone,en_data,1042,"[""Level"", ""Personalized Feedback"", ""Question"", ""Question Type"", ""Score"", ""Scoring Details"", ""Student's Answer"", ""Subject"", ""answer"", ""question""]",True,True,False,False,True,True,False,True
data/all_data/en_data/EC.jsonl,official_github_clone,en_data,1301,"[""Corrected Answer"", ""Correction Explanation"", ""Difficulty"", ""Generation Index"", ""Generation Time"", ""Original Answer"", ""Question"", ""Question Type"", ""Subject"", ""Total Attempts"", ""answer"", ""question""]",True,True,False,False,True,False,False,False
data/all_data/en_data/ES.jsonl,official_github_clone,en_data,1061,"[""Anxiety Level"", ""Comfort and Advice"", ""Dialogue with Student"", ""Education Level"", ""Emotional State Analysis"", ""Subject"", ""answer"", ""question""]",True,True,False,False,True,True,False,False
data/all_data/en_data/IP.jsonl,official_github_clone,en_data,1301,"[""Difficulty"", ""Generation Index"", ""Generation Time"", ""Guidance Provided"", ""Question"", ""Question Type"", ""Subject"", ""Total Attempts"", ""answer"", ""question""]",True,True,False,False,True,False,False,False
data/all_data/en_data/PCC.jsonl,official_github_clone,en_data,252,"[""Generation Index"", ""Generation Time"", ""Learning Path Planning"", ""Level"", ""Personalized Recommendations"", ""Student Profile"", ""Subject"", ""Total Attempts"", ""answer"", ""question""]",True,True,False,False,True,True,False,False
data/all_data/en_data/PLS.jsonl,official_github_clone,en_data,448,"[""Education Level"", ""Generation Index"", ""Generation Time"", ""Personalized Learning Content/Task"", ""Student Profile"", ""Subject"", ""answer"", ""question""]",True,True,False,True,True,True,False,False
data/all_data/en_data/Q&A.jsonl,official_github_clone,en_data,1285,"[""Answer"", ""Education Level"", ""Question"", ""Question Type"", ""Subject"", ""answer"", ""question""]",True,True,False,False,True,True,False,False
data/all_data/en_data/QG.jsonl,official_github_clone,en_data,1288,"[""Answer"", ""Education Level"", ""Knowledge Point"", ""Question"", ""Question Type"", ""Solution Guidance"", ""Subject"", ""answer"", ""question""]",True,True,False,False,True,True,False,False
data/all_data/en_data/TMG.jsonl,official_github_clone,en_data,1185,"[""Knowledge Point"", ""Level"", ""Question Type"", ""Subject"", ""Teaching Materials"", ""answer"", ""question""]",True,True,False,False,True,True,False,False
