record_id,source_file,source_row_index,human_1_raw,human_2_raw,human_3_raw,human_mean_raw,raw_score_scale_detected,human_1_5,human_2_5,human_3_5,human_mean_5,label_5,label_mapping_method,mapping_verified,notes
22fc3538594bd7f6426d96df9de31645e099e5df,results_merge.jsonl,0,5.0,4.0,4.0,4.333333333333333,1-5,5.0,4.0,4.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
00f03652813873e800443b4e84091ed05063eb49,results_merge.jsonl,1,4.0,4.0,4.0,4.0,1-5,4.0,4.0,4.0,4.0,4,already_1_5_round,True,raw human scores already on 1-5 scale
51e5f21cbcf3748b0c03279f49b625af32cd9b0b,results_merge.jsonl,2,4.0,4.0,3.0,3.6666666666666665,1-5,4.0,4.0,3.0,3.6666666666666665,4,already_1_5_round,True,raw human scores already on 1-5 scale
a946b20864b31d0ab6a9e953e7ef387da3543466,results_merge.jsonl,3,5.0,4.0,4.0,4.333333333333333,1-5,5.0,4.0,4.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
605a39edf2ab4a11d8237e2d71382f0ab7c40100,results_merge.jsonl,4,4.0,4.0,5.0,4.333333333333333,1-5,4.0,4.0,5.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
4abb5320624308bb074fe6932d7ef7c088b0dd41,results_merge.jsonl,5,4.0,4.0,3.0,3.6666666666666665,1-5,4.0,4.0,3.0,3.6666666666666665,4,already_1_5_round,True,raw human scores already on 1-5 scale
079d3cbeeacbfeccd949183b375b3198418e4959,results_merge.jsonl,6,4.0,4.0,5.0,4.333333333333333,1-5,4.0,4.0,5.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
ad2ae52c3ad75dc2ec01f807575b120f0db739c4,results_merge.jsonl,7,4.0,4.0,5.0,4.333333333333333,1-5,4.0,4.0,5.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
149f9441c4d8d11ab5ae76d131041560ce986240,results_merge.jsonl,8,4.0,4.0,5.0,4.333333333333333,1-5,4.0,4.0,5.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
696ba193025f25d05c1b1f8dfad77c2ca28f12c4,results_merge.jsonl,9,4.0,5.0,5.0,4.666666666666667,1-5,4.0,5.0,5.0,4.666666666666667,5,already_1_5_round,True,raw human scores already on 1-5 scale
e78781ba44e7ccd99d93c2d2256495034a753f86,results_merge.jsonl,10,3.0,4.0,4.0,3.6666666666666665,1-5,3.0,4.0,4.0,3.6666666666666665,4,already_1_5_round,True,raw human scores already on 1-5 scale
579c7161d23186114c709867acce054ec73e0531,results_merge.jsonl,11,4.0,4.0,5.0,4.333333333333333,1-5,4.0,4.0,5.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
f2dd13eea21d86717259e3f2ae658125c15e93a5,results_merge.jsonl,12,5.0,4.0,5.0,4.666666666666667,1-5,5.0,4.0,5.0,4.666666666666667,5,already_1_5_round,True,raw human scores already on 1-5 scale
24b68778c68222dd38199329a102b2c36aaca014,results_merge.jsonl,13,5.0,4.0,5.0,4.666666666666667,1-5,5.0,4.0,5.0,4.666666666666667,5,already_1_5_round,True,raw human scores already on 1-5 scale
7073c82cd9bf9cb523e855ec7578c31a064b29db,results_merge.jsonl,14,5.0,4.0,5.0,4.666666666666667,1-5,5.0,4.0,5.0,4.666666666666667,5,already_1_5_round,True,raw human scores already on 1-5 scale
51b966d61a762bbb396c629686ef62b121525bae,results_merge.jsonl,15,4.0,5.0,4.0,4.333333333333333,1-5,4.0,5.0,4.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
595ad2f7159ac18f38534303b13a476abbbb4f51,results_merge.jsonl,16,4.0,4.0,4.0,4.0,1-5,4.0,4.0,4.0,4.0,4,already_1_5_round,True,raw human scores already on 1-5 scale
6ba1d9fdc2898cfa44f877e7724b403d08eaac96,results_merge.jsonl,17,4.0,5.0,4.0,4.333333333333333,1-5,4.0,5.0,4.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
eb284da4d05b5674af9f47a017caa8f1d9ab9dcf,results_merge.jsonl,18,4.0,4.0,4.0,4.0,1-5,4.0,4.0,4.0,4.0,4,already_1_5_round,True,raw human scores already on 1-5 scale
0204872bcf4cd4b4d4937c12c2cd77f0171376ab,results_merge.jsonl,19,5.0,4.0,5.0,4.666666666666667,1-5,5.0,4.0,5.0,4.666666666666667,5,already_1_5_round,True,raw human scores already on 1-5 scale
877ca91093f413ef2586e714ebe9b6ecb22c9fbb,results_merge.jsonl,20,4.0,4.0,3.0,3.6666666666666665,1-5,4.0,4.0,3.0,3.6666666666666665,4,already_1_5_round,True,raw human scores already on 1-5 scale
bf19ea328afae37aa116eb7ffee1bea59330c821,results_merge.jsonl,21,4.0,4.0,5.0,4.333333333333333,1-5,4.0,4.0,5.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
1bf1b0ebe13512c39a7f0573ceaedf2231646bac,results_merge.jsonl,22,4.0,4.0,4.0,4.0,1-5,4.0,4.0,4.0,4.0,4,already_1_5_round,True,raw human scores already on 1-5 scale
b9d7fb4327404f427fe654c90978dc4844d0972d,results_merge.jsonl,23,4.0,4.0,5.0,4.333333333333333,1-5,4.0,4.0,5.0,4.333333333333333,4,already_1_5_round,True,raw human scores already on 1-5 scale
33de79a5a3a27fc3cdd56ed42d5215aaec3fbe67,results_merge.jsonl,24,4.0,5.0,5.0,4.666666666666667,1-5,4.0,5.0,5.0,4.666666666666667,5,already_1_5_round,True,raw human scores already on 1-5 scale
5b26cbf6ea42fc58b395d13eed217da190d3e2f0,results_merge.jsonl,25,3.0,3.0,3.0,3.0,1-5,3.0,3.0,3.0,3.0,3,already_1_5_round,True,raw human scores already on 1-5 scale
14c1e87e4c8d5504c467f90857fbd01561d043fa,results_merge.jsonl,26,4.0,5.0,5.0,4.666666666666667,1-5,4.0,5.0,5.0,4.666666666666667,5,already_1_5_round,True,raw human scores already on 1-5 scale
6884a393ed7c16124abf13a87b8d6772fd8c3a3c,results_merge.jsonl,27,5.0,5.0,5.0,5.0,1-5,5.0,5.0,5.0,5.0,5,already_1_5_round,True,raw human scores already on 1-5 scale
