raw_metric,canonical_metric,metric_abbr,metric_group,language,source_file,confidence,notes
Instruction Following & Task Completion,Instruction Following & Task Completion,IFTC,Scenario Adaptability,en,results_merge.jsonl,high,exact/contained official label
Scenario Element Integration,Scenario Element Integration,SEI,Scenario Adaptability,en,results_merge.jsonl,high,exact/contained official label
"Personalization, Adaptation & Learning Support","Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,en,results_merge.jsonl,high,exact/contained official label
Content Relevance & Scope Control,Content Relevance & Scope Control,CRSC,Scenario Adaptability,en,results_merge.jsonl,high,exact/contained official label
Higher-Order Thinking & Skill Development,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,en,results_merge.jsonl,high,exact/contained official label
Basic Factual Accuracy,Basic Factual Accuracy,BFA,Factual & Reasoning Accuracy,en,results_merge.jsonl,high,exact/contained official label
Reasoning Process Rigor,Reasoning Process Rigor,RPR,Factual & Reasoning Accuracy,en,results_merge.jsonl,high,exact/contained official label
Error Identification & Correction Precision,Error Identification & Correction Precision,EICP,Factual & Reasoning Accuracy,en,results_merge.jsonl,high,exact/contained official label
"Clarity, Simplicity & Inspiration","Clarity, Simplicity & Inspiration",CSI,Pedagogical Application,en,results_merge.jsonl,high,exact/contained official label
"Motivation, Guidance & Positive Feedback","Motivation, Guidance & Positive Feedback",MGPF,Pedagogical Application,en,results_merge.jsonl,high,exact/contained official label
Domain Knowledge Accuracy,Domain Knowledge Accuracy,DKA,Factual & Reasoning Accuracy,en,results_merge.jsonl,high,exact/contained official label
Role & Tone Consistency,Role & Tone Consistency,RTC,Scenario Adaptability,en,results_merge.jsonl,high,exact/contained official label
指令遵循与任务完成,Instruction Following & Task Completion,IFTC,Scenario Adaptability,zh,results_merge.jsonl,high,exact/contained official label
内容相关性与范围控制,Content Relevance & Scope Control,CRSC,Scenario Adaptability,zh,results_merge.jsonl,high,exact/contained official label
场景要素融合度,Scenario Element Integration,SEI,Scenario Adaptability,zh,results_merge.jsonl,high,exact/contained official label
个性化适应与学习支持,"Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,zh,results_merge.jsonl,high,exact/contained official label
促进高阶思维与能力发展,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,zh,results_merge.jsonl,high,exact/contained official label
基础事实准确性,Basic Factual Accuracy,BFA,Factual & Reasoning Accuracy,zh,results_merge.jsonl,high,exact/contained official label
推理过程严谨性,Reasoning Process Rigor,RPR,Factual & Reasoning Accuracy,zh,results_merge.jsonl,high,exact/contained official label
错误识别与纠正精确性,Error Identification & Correction Precision,EICP,Factual & Reasoning Accuracy,zh,results_merge.jsonl,high,exact/contained official label
清晰易懂与表达启发,"Clarity, Simplicity & Inspiration",CSI,Pedagogical Application,zh,results_merge.jsonl,high,exact/contained official label
激励引导与积极反馈,"Motivation, Guidance & Positive Feedback",MGPF,Pedagogical Application,zh,results_merge.jsonl,high,exact/contained official label
领域知识专业性,Domain Knowledge Accuracy,DKA,Factual & Reasoning Accuracy,zh,results_merge.jsonl,high,exact/contained official label
角色与口吻一致性,Role & Tone Consistency,RTC,Scenario Adaptability,zh,results_merge.jsonl,high,exact/contained official label
指令遵循与任务完成,Instruction Following & Task Completion,IFTC,Scenario Adaptability,zh,merge_human_metric.jsonl,high,exact/contained official label
内容相关性与范围控制,Content Relevance & Scope Control,CRSC,Scenario Adaptability,zh,merge_human_metric.jsonl,high,exact/contained official label
场景要素融合度,Scenario Element Integration,SEI,Scenario Adaptability,zh,merge_human_metric.jsonl,high,exact/contained official label
个性化适应与学习支持,"Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,zh,merge_human_metric.jsonl,high,exact/contained official label
促进高阶思维与能力发展,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,zh,merge_human_metric.jsonl,high,exact/contained official label
基础事实准确性,Basic Factual Accuracy,BFA,Factual & Reasoning Accuracy,zh,merge_human_metric.jsonl,high,exact/contained official label
推理过程严谨性,Reasoning Process Rigor,RPR,Factual & Reasoning Accuracy,zh,merge_human_metric.jsonl,high,exact/contained official label
错误识别与纠正精确性,Error Identification & Correction Precision,EICP,Factual & Reasoning Accuracy,zh,merge_human_metric.jsonl,high,exact/contained official label
清晰易懂与表达启发,"Clarity, Simplicity & Inspiration",CSI,Pedagogical Application,zh,merge_human_metric.jsonl,high,exact/contained official label
激励引导与积极反馈,"Motivation, Guidance & Positive Feedback",MGPF,Pedagogical Application,zh,merge_human_metric.jsonl,high,exact/contained official label
领域知识专业性,Domain Knowledge Accuracy,DKA,Factual & Reasoning Accuracy,zh,merge_human_metric.jsonl,high,exact/contained official label
角色与口吻一致性,Role & Tone Consistency,RTC,Scenario Adaptability,zh,merge_human_metric.jsonl,high,exact/contained official label
指令遵循与任务完成,Instruction Following & Task Completion,IFTC,Scenario Adaptability,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
场景要素融合度,Scenario Element Integration,SEI,Scenario Adaptability,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
个性化适应与学习支持,"Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
内容相关性与范围控制,Content Relevance & Scope Control,CRSC,Scenario Adaptability,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
促进高阶思维与能力发展,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
激励引导与积极反馈,"Motivation, Guidance & Positive Feedback",MGPF,Pedagogical Application,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
推理过程严谨性,Reasoning Process Rigor,RPR,Factual & Reasoning Accuracy,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
错误识别与纠正精确性,Error Identification & Correction Precision,EICP,Factual & Reasoning Accuracy,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
清晰易懂与表达启发,"Clarity, Simplicity & Inspiration",CSI,Pedagogical Application,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
基础事实准确性,Basic Factual Accuracy,BFA,Factual & Reasoning Accuracy,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
领域知识专业性,Domain Knowledge Accuracy,DKA,Factual & Reasoning Accuracy,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
角色与口吻一致性,Role & Tone Consistency,RTC,Scenario Adaptability,zh,merge_human_metric_strict_en.jsonl,high,exact/contained official label
内容相关性与范围控制,Content Relevance & Scope Control,CRSC,Scenario Adaptability,zh,merge_human_metric_strict_zh.jsonl,high,exact/contained official label
个性化适应与学习支持,"Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,zh,merge_human_metric_strict_zh.jsonl,high,exact/contained official label
促进高阶思维与能力发展,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,zh,merge_human_metric_strict_zh.jsonl,high,exact/contained official label
指令遵循与任务完成,Instruction Following & Task Completion,IFTC,Scenario Adaptability,zh,merge_human_metric_strict_zh.jsonl,high,exact/contained official label
场景要素融合度,Scenario Element Integration,SEI,Scenario Adaptability,zh,merge_human_metric_strict_zh.jsonl,high,exact/contained official label
