model,role,fold,availability,n,MAE,QWK,Exact_Match,Kendall_tau,Signed_Bias,abs_Signed_Bias,Bin_Agreement,expected_score_MAE,human_CE,human_Brier,human_RPS,low_n,low_to_high_count,low_to_high_rate,high_n,high_to_low_count,high_to_low_rate,label1_recall,pred_count_1,label2_recall,pred_count_2,label3_recall,pred_count_3,label4_recall,pred_count_4,label5_recall,pred_count_5,label2_correct,label2_total,label2_precision,class2_prediction_count
M1_4B_teacher,outer_train,0,AVAILABLE,2111,0.005210800568450971,0.9959869271399412,0.994789199431549,0.9943510512009861,-0.0014211274277593558,0.0014211274277593558,0.9971577451444813,0.0482741860721603,0.39022696247631955,0.00811012952372661,0.0012075643668648412,60,0,0.0,1848,0,0.0,1.0,20,1.0,40,0.9901477832512315,205,0.9920739762219286,756,0.997250229147571,1090,40,40,1.0,40
M1_4B_teacher,outer_train,1,AVAILABLE,2160,0.002777777777777778,0.997850457524145,0.9972222222222222,0.9968974473861709,0.001851851851851852,0.001851851851851852,0.9986111111111111,0.04104184263504606,0.37821439180868005,0.0068146258373353325,0.0009503784603909869,63,0,0.0,1892,0,0.0,1.0,19,1.0,44,0.9902439024390244,204,0.9948519948519948,775,1.0,1118,44,44,1.0,44
M1_4B_teacher,outer_train,2,AVAILABLE,2096,0.005248091603053435,0.9959501255573495,0.9947519083969466,0.994354518799611,-0.004293893129770993,0.004293893129770993,0.9971374045801527,0.04126946707878262,0.37508444848580996,0.006707401333025322,0.0009404710536368547,61,0,0.0,1833,0,0.0,1.0,17,1.0,44,0.995049504950495,206,0.9932065217391305,737,0.9954421148587056,1092,44,44,1.0,44
M1_4B_teacher,outer_train,3,AVAILABLE,2088,0.0028735632183908046,0.9977129262385852,0.9971264367816092,0.9973715522776991,0.0,0.0,0.9980842911877394,0.04167277652865532,0.3811426120714199,0.0066910467143867095,0.0009256567568429535,56,0,0.0,1845,0,0.0,1.0,20,0.9722222222222222,35,0.9893048128342246,187,0.9986859395532195,764,0.9981549815498155,1082,35,36,1.0,35
M1_4B_teacher,outer_train,4,AVAILABLE,2161,0.003239241092086997,0.9975285211792844,0.996760758907913,0.9975694836934537,0.00046274872744099955,0.00046274872744099955,0.996760758907913,0.04542037044431096,0.385315860231545,0.007513796523136176,0.0010715498467083165,64,0,0.0,1890,0,0.0,1.0,20,1.0,44,0.9806763285024155,206,0.9960159362549801,754,1.0,1137,44,44,1.0,44
M1_4B_teacher,outer_train,pooled,AVAILABLE,10616,0.0038620949510173325,0.9970083154281504,0.9961379050489827,0.9961039292815274,-0.0006593820648078372,0.0006593820648078372,0.997550866616428,0.043540332310582755,0.3820066462025255,0.007169085178352391,0.0010193673425342709,304,0,0.0,9308,0,0.0,1.0,96,0.9951923076923077,207,0.9890438247011952,1008,0.9949788583509513,3786,0.998189717595945,5519,207,208,1.0,207
M1_4B_teacher,heldout,0,AVAILABLE,543,0.3683241252302026,0.5228501606727087,0.6869244935543278,0.523842149608953,0.09576427255985268,0.09576427255985268,0.8839779005524862,0.3919828128484544,1.1001059450248059,0.29408490369642837,0.05184459911747337,16,13,0.8125,479,1,0.0020876826722338203,0.75,3,0.0,2,0.20833333333333334,21,0.6878306878306878,225,0.7931034482758621,292,0,12,0.0,2
M1_4B_teacher,heldout,1,AVAILABLE,494,0.4109311740890688,0.3760584774708997,0.6558704453441295,0.46384486281531967,0.0951417004048583,0.0951417004048583,0.8785425101214575,0.41211255383446804,1.2184525069783072,0.3132064932980955,0.05842859158450895,13,12,0.9230769230769231,435,1,0.0022988505747126436,0.0,0,0.0,2,0.13043478260869565,13,0.7159763313609467,226,0.7406015037593985,253,0,8,0.0,2
M1_4B_teacher,heldout,2,AVAILABLE,558,0.4050179211469534,0.4293678342274113,0.6684587813620072,0.49075132689480633,0.17204301075268819,0.17204301075268819,0.8853046594982079,0.42909515055006575,1.2780247444885446,0.32517363338023525,0.061092050187129925,15,11,0.7333333333333333,494,4,0.008097165991902834,0.2857142857142857,5,0.0,2,0.14285714285714285,14,0.6095238095238096,210,0.8309859154929577,327,0,8,0.0,2
M1_4B_teacher,heldout,3,AVAILABLE,566,0.4363957597173145,0.3996873953332588,0.6413427561837456,0.4582652292022374,0.13604240282685512,0.13604240282685512,0.8568904593639576,0.4335974456210954,1.2983566842989407,0.33804535689422527,0.06307583111819788,20,17,0.85,482,0,0.0,0.0,0,0.0,0,0.203125,26,0.6918918918918919,248,0.7474747474747475,292,0,16,0.0,0
