evaluator,split,gold_label,n,pred_1,pred_2,pred_3,pred_4,pred_5
Qwen3-4B-Instruct-direct,all_5536,1,86,3,1,7,2,73
Qwen3-4B-Instruct-direct,all_5536,2,113,0,6,22,26,59
Qwen3-4B-Instruct-direct,all_5536,3,507,4,4,48,101,350
Qwen3-4B-Instruct-direct,all_5536,4,1903,6,10,76,278,1533
Qwen3-4B-Instruct-direct,all_5536,5,2927,50,38,52,125,2662
Qwen3-4B-Instruct-direct,train,1,58,3,0,7,2,46
Qwen3-4B-Instruct-direct,train,2,53,0,2,12,16,23
Qwen3-4B-Instruct-direct,train,3,297,1,1,33,68,194
Qwen3-4B-Instruct-direct,train,4,1163,2,8,54,189,910
Qwen3-4B-Instruct-direct,train,5,1755,29,30,33,82,1581
Qwen3-4B-Instruct-direct,dev,1,19,0,1,0,0,18
Qwen3-4B-Instruct-direct,dev,2,38,0,4,5,4,25
Qwen3-4B-Instruct-direct,dev,3,105,3,3,1,17,81
Qwen3-4B-Instruct-direct,dev,4,389,4,2,7,50,326
Qwen3-4B-Instruct-direct,dev,5,556,21,8,10,21,496
Qwen3-4B-Instruct-direct,test,1,9,0,0,0,0,9
Qwen3-4B-Instruct-direct,test,2,22,0,0,5,6,11
Qwen3-4B-Instruct-direct,test,3,105,0,0,14,16,75
Qwen3-4B-Instruct-direct,test,4,351,0,0,15,39,297
Qwen3-4B-Instruct-direct,test,5,616,0,0,9,22,585
