synthetic_plan_id,target_label_5,language,metric_canonical,error_type,target_count,priority_rank,generation_split_mode,generation_prompt_version,notes
topup2_001,3,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_002,2,zh,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_003,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,1,3,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_004,1,zh,Higher-Order Thinking & Skill Development,reasoning_gap,1,4,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_005,2,en,Error Identification & Correction Precision,factual_error,1,5,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_006,1,zh,Instruction Following & Task Completion,instruction_violation,1,6,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_007,2,en,Basic Factual Accuracy,factual_error,1,7,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_008,3,zh,Domain Knowledge Accuracy,factual_error,1,8,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_009,1,en,Role & Tone Consistency,scenario_mismatch,1,9,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_010,2,zh,Content Relevance & Scope Control,scenario_mismatch,1,10,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_011,1,en,"Clarity, Simplicity & Inspiration",superficial_fluency,1,11,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_012,2,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,1,12,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_013,1,en,Reasoning Process Rigor,overconfident_wrong,1,1,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_014,2,zh,Scenario Element Integration,instruction_violation,1,2,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_015,3,en,"Personalization, Adaptation & Learning Support",rubric_violation,1,3,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_016,1,zh,Higher-Order Thinking & Skill Development,superficial_fluency,1,4,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_017,2,en,Error Identification & Correction Precision,reasoning_gap,1,5,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_018,1,zh,Instruction Following & Task Completion,rubric_violation,1,6,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_019,2,en,Basic Factual Accuracy,overconfident_wrong,1,7,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_020,1,zh,Domain Knowledge Accuracy,rubric_violation,1,8,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_021,2,en,Role & Tone Consistency,superficial_fluency,1,9,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_022,3,zh,Content Relevance & Scope Control,rubric_violation,1,10,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_023,1,en,"Clarity, Simplicity & Inspiration",rubric_violation,1,11,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_024,2,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,1,12,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_025,1,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_026,2,zh,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_027,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,1,3,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_028,3,zh,Higher-Order Thinking & Skill Development,reasoning_gap,1,4,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_029,2,en,Error Identification & Correction Precision,factual_error,1,5,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_030,1,zh,Instruction Following & Task Completion,instruction_violation,1,6,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_031,2,en,Basic Factual Accuracy,factual_error,1,7,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_032,1,zh,Domain Knowledge Accuracy,factual_error,1,8,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_033,2,en,Role & Tone Consistency,scenario_mismatch,1,9,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_034,1,zh,Content Relevance & Scope Control,scenario_mismatch,1,10,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_035,3,en,"Clarity, Simplicity & Inspiration",superficial_fluency,1,11,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_036,2,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,1,12,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_037,1,en,Reasoning Process Rigor,overconfident_wrong,1,1,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_038,2,zh,Scenario Element Integration,instruction_violation,1,2,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_039,1,en,"Personalization, Adaptation & Learning Support",rubric_violation,1,3,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_040,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,1,4,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_041,1,en,Error Identification & Correction Precision,reasoning_gap,1,5,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_042,3,zh,Instruction Following & Task Completion,rubric_violation,1,6,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_043,1,en,Basic Factual Accuracy,overconfident_wrong,1,7,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_044,2,zh,Domain Knowledge Accuracy,rubric_violation,1,8,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_045,1,en,Role & Tone Consistency,superficial_fluency,1,9,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_046,2,zh,Content Relevance & Scope Control,rubric_violation,1,10,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
topup2_047,1,en,"Clarity, Simplicity & Inspiration",rubric_violation,1,11,question_disjoint_formal,exp06_topup2_thinking_hardened_v1,Exp6-10 topup-2 raw generation target; question_seed42/train only
