synthetic_plan_id,target_label_5,language,metric_canonical,error_type,target_count,priority_rank,generation_split_mode,generation_prompt_version,notes
b96_001,1,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_002,1,zh,Reasoning Process Rigor,overconfident_wrong,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_003,1,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_004,1,zh,Reasoning Process Rigor,overconfident_wrong,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_005,2,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_006,2,zh,Reasoning Process Rigor,overconfident_wrong,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_007,2,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_008,3,zh,Reasoning Process Rigor,overconfident_wrong,1,1,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_009,1,en,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_010,1,zh,Scenario Element Integration,instruction_violation,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_011,1,en,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_012,1,zh,Scenario Element Integration,instruction_violation,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_013,2,en,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_014,2,zh,Scenario Element Integration,instruction_violation,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_015,2,en,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_016,3,zh,Scenario Element Integration,instruction_violation,1,2,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_017,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_018,1,zh,"Personalization, Adaptation & Learning Support",rubric_violation,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_019,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_020,1,zh,"Personalization, Adaptation & Learning Support",rubric_violation,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_021,2,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_022,2,zh,"Personalization, Adaptation & Learning Support",rubric_violation,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_023,2,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_024,3,zh,"Personalization, Adaptation & Learning Support",rubric_violation,1,3,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_025,1,en,Higher-Order Thinking & Skill Development,reasoning_gap,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_026,1,zh,Higher-Order Thinking & Skill Development,superficial_fluency,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_027,1,en,Higher-Order Thinking & Skill Development,reasoning_gap,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_028,1,zh,Higher-Order Thinking & Skill Development,superficial_fluency,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_029,2,en,Higher-Order Thinking & Skill Development,reasoning_gap,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_030,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_031,2,en,Higher-Order Thinking & Skill Development,reasoning_gap,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_032,3,zh,Higher-Order Thinking & Skill Development,superficial_fluency,1,4,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_033,1,en,Error Identification & Correction Precision,factual_error,1,5,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_034,1,zh,Error Identification & Correction Precision,reasoning_gap,1,5,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
b96_035,1,en,Error Identification & Correction Precision,factual_error,1,5,question_disjoint_formal,exp06_batch96_hardened_v1,Exp6-5 96-row dry-run target; question_seed42/train source only
