variant,stratum_type,stratum_value,n,MAE,expected_score_MAE,Signed_Bias,abs_Signed_Bias,Exact_Match,Kendall_tau,QWK,Bin_Agreement,low_n,low_to_high_count,low_to_high_rate,high_n,high_to_low_count,high_to_low_rate,label1_recall,pred_count_1,label2_recall,pred_count_2,label3_recall,pred_count_3,label4_recall,pred_count_4,label5_recall,pred_count_5,human_CE,human_Brier,human_RPS
v0h_human_soft,language,en,1341,0.4451901565995526,0.507178651123493,0.15734526472781507,0.15734526472781507,0.6383296047725578,0.3556016331051852,0.2757983099383482,0.8888888888888888,46,45,0.9782608695652174,1198,0,0.0,0.0,0,0.0,0,0.041237113402061855,15,0.5618279569892473,473,0.7784503631961259,853,1.141737699068633,0.3139674710974729,0.06148573837635658
v0h_human_soft,language,zh,1313,0.44097486671744096,0.47855894238706526,0.09824828636709824,0.09824828636709824,0.6252856054836253,0.428574558808267,0.3632157013496844,0.84996191926885,30,26,0.8666666666666667,1129,4,0.00354295837023915,0.0,1,0.0,3,0.15584415584415584,61,0.740418118466899,722,0.6702702702702703,526,1.06944056347704,0.32776134304205684,0.05910754189042039
v0h_human_soft,metric_group,Factual & Reasoning Accuracy,788,0.5038071065989848,0.5486692664488784,0.16116751269035534,0.16116751269035534,0.6345177664974619,0.2922465245876046,0.17607176981479689,0.8705583756345178,33,31,0.9393939393939394,701,3,0.0042796005706134095,0.0,1,0.0,2,0.037037037037037035,18,0.5459183673469388,250,0.7742574257425743,517,1.1474897298856641,0.35446684355283575,0.07524697074788947
v0h_human_soft,metric_group,Pedagogical Application,714,0.48739495798319327,0.530958626634761,0.15126050420168066,0.15126050420168066,0.572829131652661,0.3962056683247384,0.3612592028433612,0.803921568627451,24,21,0.875,574,0,0.0,0.0,0,0.0,0,0.14655172413793102,37,0.7576687116564417,451,0.5846774193548387,226,1.220180532596512,0.3558015608559026,0.06433736777408752
v0h_human_soft,metric_group,Scenario Adaptability,1152,0.3741319444444444,0.43143977528809496,0.09114583333333333,0.09114583333333333,0.6666666666666666,0.44777078388507874,0.4079317736263569,0.9097222222222222,19,19,1.0,1052,1,0.0009505703422053232,0.0,0,0.0,1,0.1111111111111111,21,0.660377358490566,494,0.7627388535031847,636,1.0067837733268905,0.2760580164801934,0.04759469108053885
v0h_human_soft,original_label,1,24,3.5,3.255014383586437,3.5,3.5,0.0,nan,0.0,0.0,24,23,0.9583333333333334,0,0,nan,0.0,0,nan,0,nan,1,nan,10,nan,13,5.463403458845506,1.4452718295341842,0.7158794001841184
v0h_human_soft,original_label,2,52,2.269230769230769,2.25933706474666,2.269230769230769,2.269230769230769,0.0,nan,0.0,0.0,52,48,0.9230769230769231,0,0,nan,nan,0,0.0,0,nan,4,nan,30,nan,18,5.776661925824852,1.3998247181249648,0.4811867357523373
v0h_human_soft,original_label,3,251,1.1195219123505975,1.0574024917468887,1.1195219123505975,1.1195219123505975,0.11155378486055777,nan,0.0,0.11155378486055777,0,0,nan,0,0,nan,nan,0,nan,0,0.11155378486055777,28,nan,165,nan,58,2.5294888872400803,0.8144006295842737,0.1578323285465128
v0h_human_soft,original_label,4,946,0.33298097251585623,0.32932466312181014,0.24841437632135308,0.24841437632135308,0.6701902748414377,nan,0.0,0.9608879492600423,0,0,nan,946,3,0.003171247357293869,nan,0,nan,3,nan,34,0.6701902748414377,634,nan,275,0.9621973639662339,0.25479963654844867,0.035878794092063994
v0h_human_soft,original_label,5,1381,0.27371469949312094,0.3880662079625045,-0.27371469949312094,0.27371469949312094,0.7349746560463433,nan,0.0,0.9927588703837799,0,0,nan,1381,1,0.000724112961622013,nan,1,nan,0,nan,9,nan,356,0.7349746560463433,1015,0.6941326532453937,0.2161104986995859,0.03207857213975995
v0h_human_soft,human_entropy_band,zero,1169,0.41231822070145424,0.483130208715035,0.13344739093242086,0.13344739093242086,0.7014542343883661,0.4778800329841008,0.3178476973900931,0.8682634730538922,53,51,0.9622641509433962,1031,2,0.0019398642095053346,0.0,1,0.0,1,0.058823529411764705,26,0.7407407407407407,431,0.8106267029972752,710,0.9358535071772743,0.42385213742688427,0.08008518379227506
v0h_human_soft,human_entropy_band,low,1485,0.46734006734006733,0.5008048811602324,0.12390572390572391,0.12390572390572391,0.5771043771043771,0.3575805344561376,0.3467232422819525,0.8707070707070707,23,20,0.8695652173913043,1296,2,0.0015432098765432098,0.0,0,0.0,2,0.13855421686746988,50,0.637904468412943,764,0.6491499227202473,669,1.2398875181186242,0.23966186767939676,0.044741412667775496
v1_raw_rubric,language,en,1341,0.4123788217747949,0.47301928325184833,0.1558538404175988,0.1558538404175988,0.6718866517524236,0.41989463368833685,0.33626814660448,0.8888888888888888,46,41,0.8913043478260869,1198,2,0.001669449081803005,0.0,2,0.0,1,0.1134020618556701,31,0.5752688172043011,432,0.8184019370460048,875,1.1500636004226261,0.3029081394579828,0.05914857459686218
v1_raw_rubric,language,zh,1313,0.4219345011424219,0.46622202663905177,0.09444021325209444,0.09444021325209444,0.6344249809596344,0.4666456548826569,0.4050618914666817,0.8446306169078446,30,25,0.8333333333333334,1129,1,0.0008857395925597874,0.0,0,0.0,1,0.14285714285714285,68,0.7456445993031359,723,0.69009009009009,521,1.0787561883113352,0.3205666700155655,0.05736732522542834
v1_raw_rubric,metric_group,Factual & Reasoning Accuracy,788,0.44416243654822335,0.5134104801847909,0.1548223350253807,0.1548223350253807,0.6763959390862944,0.41605633612725174,0.27035581906191863,0.8743654822335025,33,31,0.9393939393939394,701,2,0.0028530670470756064,0.0,2,0.0,0,0.07407407407407407,20,0.6020408163265306,253,0.8138613861386138,513,1.1787858778203728,0.337892664194233,0.07238671379075101
v1_raw_rubric,metric_group,Pedagogical Application,714,0.49299719887955185,0.5135939746222136,0.14565826330532214,0.14565826330532214,0.5672268907563025,0.4080143435174431,0.39675979311998366,0.7969187675070029,24,17,0.7083333333333334,574,1,0.0017421602787456446,0.0,0,0.0,2,0.1810344827586207,53,0.7116564417177914,417,0.6129032258064516,242,1.2415552283192188,0.35897319788654214,0.062344034227257185
v1_raw_rubric,metric_group,Scenario Adaptability,1152,0.3515625,0.4124955065554929,0.09288194444444445,0.09288194444444445,0.6909722222222222,0.48414149366058956,0.42598118493883974,0.9053819444444444,19,18,0.9473684210526315,1052,0,0.0,0.0,0,0.0,0,0.09876543209876543,26,0.6886792452830188,485,0.7898089171974523,641,0.9924378981572473,0.26435552957252234,0.04608260907118591
v1_raw_rubric,original_label,1,24,3.375,3.141409187813783,3.375,3.375,0.0,nan,0.0,0.0,24,22,0.9166666666666666,0,0,nan,0.0,0,nan,0,nan,2,nan,11,nan,11,6.171739813312204,1.3776264749843221,0.6781969832460953
v1_raw_rubric,original_label,2,52,2.2115384615384617,2.138152971078267,2.2115384615384617,2.2115384615384617,0.0,nan,0.0,0.0,52,44,0.8461538461538461,0,0,nan,nan,0,0.0,0,nan,8,nan,25,nan,19,6.147483068841949,1.3564149570819857,0.4510052553162398
v1_raw_rubric,original_label,3,251,1.0677290836653386,1.0252919394926792,1.0597609561752988,1.0597609561752988,0.13147410358565736,nan,0.0,0.13147410358565736,0,0,nan,0,0,nan,nan,0,nan,1,0.13147410358565736,33,nan,167,nan,50,2.486954214188859,0.7967186361209135,0.15139394228896977
v1_raw_rubric,original_label,4,946,0.3224101479915433,0.33383153332025517,0.22093023255813954,0.22093023255813954,0.678646934460888,nan,0.0,0.9503171247357294,0,0,nan,946,1,0.0010570824524312897,nan,0,nan,1,nan,46,0.678646934460888,642,nan,257,0.9766772936412595,0.25782757514249954,0.0370853295056312
v1_raw_rubric,original_label,5,1381,0.2447501810282404,0.3524530756557415,-0.2447501810282404,0.2447501810282404,0.7668356263577119,nan,0.0,0.9913106444605359,0,0,nan,1381,2,0.001448225923244026,nan,2,nan,0,nan,10,nan,310,0.7668356263577119,1059,0.6826133676858909,0.20248079350076145,0.030289597722063948
v1_raw_rubric,human_entropy_band,zero,1169,0.3943541488451668,0.46067478984748833,0.1223267750213858,0.1223267750213858,0.7159965782720273,0.5230833655758311,0.36450101678226554,0.8605645851154833,53,47,0.8867924528301887,1031,3,0.002909796314258002,0.0,2,0.0,2,0.07058823529411765,40,0.7373737373737373,409,0.8337874659400545,716,0.9499685864772262,0.40617665776923395,0.0770682068135171
v1_raw_rubric,human_entropy_band,low,1485,0.435016835016835,0.47672697002430287,0.12794612794612795,0.12794612794612795,0.604040404040404,0.413606430617009,0.400089268279075,0.8720538720538721,23,19,0.8260869565217391,1296,0,0.0,0.0,0,0.0,0,0.16265060240963855,59,0.6517719568567026,746,0.6908809891808346,680,1.244531236247574,0.23722783825680668,0.04346720726624787
v2_deterministic_checklist,language,en,1341,0.42580164056674125,0.471877658709441,0.12602535421327368,0.12602535421327368,0.6614466815809098,0.4029031411917301,0.3249126277060268,0.8881431767337807,46,41,0.8913043478260869,1198,3,0.0025041736227045075,0.0,3,0.0,0,0.18556701030927836,45,0.5725806451612904,443,0.7941888619854721,850,1.166939545106315,0.30492160919619155,0.05996031132704402
v2_deterministic_checklist,language,zh,1313,0.4265041888804265,0.470300984332222,0.11576542269611577,0.11576542269611577,0.6329017517136329,0.44471684741934725,0.37773354456947095,0.8552932216298553,30,27,0.9,1129,1,0.0008857395925597874,0.0,0,0.0,1,0.12337662337662338,46,0.7578397212543554,739,0.6792792792792792,527,1.0969051774695253,0.3339628352470534,0.05919939661443158
v2_deterministic_checklist,metric_group,Factual & Reasoning Accuracy,788,0.4631979695431472,0.5109640820390293,0.16370558375634517,0.16370558375634517,0.666243654822335,0.3791816584508079,0.2315117484253807,0.8769035532994924,33,32,0.9696969696969697,701,4,0.005706134094151213,0.0,3,0.0,1,0.037037037037037035,11,0.5969387755102041,257,0.803960396039604,516,1.1836316981438653,0.34236623756222107,0.07442710340023466
v2_deterministic_checklist,metric_group,Pedagogical Application,714,0.46218487394957986,0.5096758693145819,0.12885154061624648,0.12885154061624648,0.5952380952380952,0.43671235416463083,0.41172218400587623,0.8095238095238095,24,18,0.75,574,0,0.0,0.0,0,0.0,0,0.23275862068965517,56,0.754601226993865,429,0.6129032258064516,229,1.2353500713505883,0.35003727137188156,0.06072493383311987
v2_deterministic_checklist,metric_group,Scenario Adaptability,1152,0.3784722222222222,0.4199174178994804,0.08680555555555555,0.08680555555555555,0.6666666666666666,0.4315090908065038,0.38226673180263804,0.9071180555555556,19,18,0.9473684210526315,1052,0,0.0,0.0,0,0.0,0,0.09876543209876543,24,0.6721698113207547,496,0.7563694267515924,632,1.0332992178154248,0.28444607087927115,0.04872345920840468
v2_deterministic_checklist,original_label,1,24,3.5,3.3018734932365077,3.5,3.5,0.0,nan,0.0,0.0,24,24,1.0,0,0,nan,0.0,0,nan,0,nan,0,nan,12,nan,12,6.357679792724409,1.4795300635546529,0.7353914017395388
v2_deterministic_checklist,original_label,2,52,2.1923076923076925,2.1588730971079135,2.1923076923076925,2.1923076923076925,0.0,nan,0.0,0.0,52,44,0.8461538461538461,0,0,nan,nan,0,0.0,0,nan,8,nan,26,nan,18,6.311072580006286,1.3534041180805465,0.45241313819053786
