view,weighting,method,rows,mae,qwk,exact,within_one,signed_bias,severe_error,low_to_high,high_to_low,label1_recall,label2_recall,label5_recall,brier,log_loss,ece,fallback_rate,status
risk_enriched_train,unweighted,rounded_human,120,1.3,0.1887083382754121,0.2833333333333333,0.5833333333333334,-0.2833333333333333,0.4166666666666667,0.13333333333333333,0.2,0.625,0.25,0.2727272727272727,1.4333333333333333,19.80223179974875,0.7166666666666667,0.0,COMPLETE
risk_enriched_train,unweighted,human_median,120,1.3,0.1887083382754121,0.2833333333333333,0.5833333333333334,-0.2833333333333333,0.4166666666666667,0.13333333333333333,0.2,0.625,0.25,0.2727272727272727,1.4333333333333333,19.80223179974875,0.7166666666666667,0.0,COMPLETE
risk_enriched_train,unweighted,human_mean,120,1.3027777777777778,0.1887083382754121,0.2833333333333333,0.5833333333333334,-0.26944444444444443,0.4166666666666667,0.13333333333333333,0.2,0.625,0.25,0.2727272727272727,1.4333333333333333,19.80223179974875,0.7166666666666667,0.0,COMPLETE
risk_enriched_train,unweighted,qwen,120,0.475,0.7721238938053098,0.675,0.8833333333333333,-0.25833333333333336,0.11666666666666667,0.0,0.08333333333333333,1.0,0.875,0.7272727272727273,0.65,8.980081862676778,0.32499999999999996,0.0,COMPLETE
risk_enriched_train,unweighted,deepseek,113,0.7345132743362832,0.6483425147385715,0.5221238938053098,0.8230088495575221,-0.20353982300884957,0.17699115044247787,0.02654867256637168,0.07964601769911504,0.75,0.625,0.7692307692307693,0.9557522123893806,13.204204781063185,0.47787610619469023,0.0,COMPLETE
risk_enriched_train,unweighted,teacher_mean,120,0.475,0.8071127185051236,0.675,0.9,-0.225,0.1,0.008333333333333333,0.058333333333333334,0.75,0.84375,0.6666666666666666,0.65,8.980081862676778,0.32499999999999996,0.0,COMPLETE
risk_enriched_train,unweighted,teacher_median,120,0.475,0.8071127185051236,0.675,0.9,-0.225,0.1,0.008333333333333333,0.058333333333333334,0.75,0.84375,0.6666666666666666,0.65,8.980081862676778,0.32499999999999996,0.0,COMPLETE
risk_enriched_train,unweighted,Dawid-Skene,120,1.3449985880762798,0.1900524754734202,0.25833333333333336,0.5416666666666666,-0.2480996934842973,0.4583333333333333,0.15833333333333333,0.2,0.875,0.25,0.2727272727272727,1.4280701686711532,8.299127596102126,0.717557390512536,0.0,COMPLETE
risk_enriched_train,unweighted,MACE,120,1.2961171100711417,0.20366455250176174,0.2833333333333333,0.5916666666666667,-0.2877090489455789,0.4083333333333333,0.125,0.2,0.625,0.25,0.30303030303030304,1.3685390976947576,6.174956447937123,0.6611945399123474,0.0,COMPLETE
risk_enriched_train,unweighted,equal_weight_fusion,120,0.86375,0.32319652452269365,0.425,0.65,-0.2537499999999999,0.35,0.06666666666666667,0.2,0.875,0.59375,0.2727272727272727,0.7018749999999999,4.858138551936319,0.27541666666666687,0.0,COMPLETE
risk_enriched_train,unweighted,DRGA,120,0.9836126758424929,0.4060074249071888,0.4666666666666667,0.725,-0.60866506779891,0.275,0.025,0.20833333333333334,1.0,0.6875,0.24242424242424243,0.9132316210041329,3.7055280337839585,0.38675156094569385,0.0,COMPLETE
