b0_expected,b0_logit_1,b0_logit_2,b0_logit_3,b0_logit_4,b0_logit_5,b0_margin_4_vs_3_5,b0_pred_label_5,b0_prob_1,b0_prob_2,b0_prob_3,b0_prob_4,b0_prob_5,gold_label_5,human_pattern,m1_expected,m1_logit_1,m1_logit_2,m1_logit_3,m1_logit_4,m1_logit_5,m1_margin_4_vs_3_5,m1_pred_label_5,m1_prob_1,m1_prob_2,m1_prob_3,m1_prob_4,m1_prob_5,record_id
4.541191097465344,-5.0,-4.375,0.294921875,3.0,3.34375,-0.34375,5,0.00013537344057112932,0.00025291088968515396,0.02698291279375553,0.40354254841804504,0.5690861940383911,5,"[4,5,5]",4.296425965861999,-6.0625,-3.40625,-0.51171875,1.7421875,1.2890625,0.453125,4,0.00023346046509686857,0.0033251256681978703,0.06010173633694649,0.5724611878395081,0.363878458738327,033c60ce75db4441ba76414ef486a2b23cce4daf
4.398007595038507,-5.4375,-5.1875,-0.267578125,2.96875,2.6875,0.28125,4,0.000124517478980124,0.00015988360974006355,0.02190276049077511,0.5572092533111572,0.42060360312461853,4,"[4,4,5]",4.4644977675907285,-7.5625,-3.828125,-0.33203125,2.53125,2.5625,-0.03125,5,1.9772878658841364e-05,0.0008277293527498841,0.027303768321871758,0.47833240032196045,0.49351632595062256,11016d742fce73e51065518f84a28f9aa10fcebb
3.8996357952200924,-4.59375,-6.3125,2.015625,3.59375,1.046875,1.578125,4,0.00021642404317390174,3.880269287037663e-05,0.1605907827615738,0.778200626373291,0.06095338240265846,4,"[3,4,4]",3.446782498853281,-3.828125,-3.203125,1.40625,1.109375,-1.796875,-0.296875,3,0.0029627440962940454,0.005535134579986334,0.5558457970619202,0.4130695164203644,0.022586805745959282,1321f578327c33f641a633c97cc429f8a65e0936
3.670890301465988,-3.71875,-2.515625,0.043701171875,0.490234375,-1.296875,0.446533203125,4,0.007940322160720825,0.026445310562849045,0.3418612778186798,0.5342897176742554,0.08946333080530167,4,"[4,4,5]",3.277749663218856,-3.03125,-1.40625,-0.16796875,-0.53515625,-1.9921875,-0.3671875,3,0.025934351608157158,0.13170550763607025,0.45434173941612244,0.31471332907676697,0.0733051523566246,134afa68d81199f55104dd27357e83ffc45bc6a2
4.12919062871083,-7.34375,-5.53125,-3.40625,5.28125,3.375,1.90625,4,2.862706651285407e-06,1.753620381350629e-05,0.00014682883920613676,0.8704516887664795,0.12938109040260315,4,"[4,4,4]",4.488621011259966,-6.125,-2.96875,-1.15625,2.546875,2.59375,-0.046875,5,8.249946404248476e-05,0.0019372830865904689,0.011867298744618893,0.48150256276130676,0.5046103596687317,158caa31ca6e88364f048ce5dea0ef48c45eb5f2
3.724375064834021,-6.625,-4.75,1.765625,2.625,-1.046875,0.859375,4,6.630318239331245e-05,0.00043235108023509383,0.2921033203601837,0.6898558139801025,0.017542168498039246,4,"[4,4,5]",4.319754362048116,-5.8125,-3.171875,0.138671875,1.4609375,1.484375,-0.0234375,5,0.0003015314578078687,0.004228063393384218,0.11584938317537308,0.4346567392349243,0.44496431946754456,1f3c6f4f327f860aa5c9c7828a49754af4f6045b
4.930626806908094,-6.53125,-5.15625,-1.09375,2.765625,5.40625,-2.640625,5,6.096346169215394e-06,2.411151581327431e-05,0.0014013474574312568,0.06647389382123947,0.9320945739746094,5,"[4,5,5]",4.0485157241346315,-5.46875,-3.953125,0.7890625,1.5390625,1.0,0.5390625,4,0.00043907028157263994,0.0019987644627690315,0.22922790050506592,0.4852754771709442,0.28305870294570923,217bc5f8108ac9b42ffc8611954df42c367467c3
4.467899923647565,-6.8125,-7.46875,-2.734375,4.09375,3.96875,0.125,4,9.738349035615101e-06,5.052189408161212e-06,0.0005749003030359745,0.5308961272239685,0.46851417422294617,4,"[4,4,5]",4.577469001476857,-6.53125,-4.65625,-0.94921875,2.421875,2.828125,-0.40625,5,5.098846668261103e-05,0.00033248658291995525,0.013543075881898403,0.39424365758895874,0.5918298363685608,22c0a22207a2774ab5c9e4e883aada58c2e32cce
4.049069316342866,-3.046875,-8.5625,-1.2578125,2.78125,0.26171875,2.51953125,4,0.002673399168998003,1.0756185474747326e-05,0.01599719189107418,0.9082100987434387,0.0731084868311882,4,"[3,4,4]",4.441616183612496,-2.671875,-3.421875,-0.921875,1.2578125,1.4765625,-0.21875,5,0.008233637548983097,0.0038892950396984816,0.047381311655044556,0.41901862621307373,0.5214771032333374,29c6654c8a0480309100e57d88a1706118c9a47b
4.605027779403372,-7.75,-6.125,-1.9609375,3.546875,3.984375,-0.4375,5,4.86166891278117e-06,2.468959428369999e-05,0.0015883392188698053,0.3917020857334137,0.6066800355911255,5,"[4,5,5]",4.283973385987338,-6.53125,-3.921875,-0.240234375,1.7421875,1.3203125,0.421875,4,0.00014199636643752456,0.0019298093393445015,0.07663560658693314,0.5563979148864746,0.36489465832710266,2c47a9f02ed587c3a3300186917e73a84d7b9790
