b0_expected,b0_logit_1,b0_logit_2,b0_logit_3,b0_logit_4,b0_logit_5,b0_margin_4_vs_3_5,b0_pred_label_5,b0_prob_1,b0_prob_2,b0_prob_3,b0_prob_4,b0_prob_5,gold_label_5,human_pattern,m1_expected,m1_logit_1,m1_logit_2,m1_logit_3,m1_logit_4,m1_logit_5,m1_margin_4_vs_3_5,m1_pred_label_5,m1_prob_1,m1_prob_2,m1_prob_3,m1_prob_4,m1_prob_5,record_id
4.13104198500514,-3.703125,-4.15625,-2.171875,2.609375,0.84375,1.765625,4,0.0015336987562477589,0.0009748782031238079,0.007091750856488943,0.8457148671150208,0.14468476176261902,5,"[4,5,5]",4.5590658758883364,-4.46875,-4.96875,-3.21875,1.7734375,2.046875,-0.2734375,5,0.0008370340219698846,0.0005076868110336363,0.0029215358663350344,0.4302201271057129,0.5655136704444885,0a2ec1587d91e3e0c90bc2114bf0d552f4bf7391
2.8150317827239633,-4.03125,-0.49609375,-0.92578125,-1.6015625,-2.3125,-0.67578125,2,0.01341328863054514,0.4600808024406433,0.2993803024291992,0.15231235325336456,0.07481331378221512,3,"[2,3,3]",2.98621465312317,-5.0,-0.68359375,-0.48046875,-0.953125,-2.890625,-0.47265625,3,0.004288662690669298,0.3213019073009491,0.3936673104763031,0.24539028108119965,0.03535182401537895,0f0ba996773cfb6daa5b69675f3f6c6429a0ee12
4.792606189992512,-4.03125,-4.53125,-0.70703125,2.5,3.9375,-1.4375,5,0.0002774015301838517,0.00016825251805130392,0.0077054621651768684,0.19036830961704254,0.8014805316925049,4,"[4,4,4]",3.956233393866569,-2.984375,-3.234375,0.087890625,1.625,0.00439453125,1.537109375,4,0.00696125952526927,0.005421434063464403,0.15029890835285187,0.6990591883659363,0.138259157538414,1eb8224098f64d601f3a0c500d6d3590e13a5e30
4.584336067608092,-4.8125,-2.84375,-1.390625,1.2265625,1.8203125,-0.59375,5,0.0008210829109884799,0.005880365148186684,0.025147132575511932,0.3444439470767975,0.6237074136734009,4,"[3,4,4]",3.9661307299975306,-4.28125,-2.4375,0.11962890625,0.66015625,0.1787109375,0.4814453125,4,0.003171645337715745,0.020045416429638863,0.2585604190826416,0.44392549991607666,0.27429699897766113,208cb837dd1ec2fad721b5378773eb46f8c10c64
4.126444315348635,-5.0625,-5.1875,-2.25,4.6875,2.765625,1.921875,4,5.0805312639568e-05,4.483553129830398e-05,0.0008459843811579049,0.8715259432792664,0.12753242254257202,5,"[4,5,5]",4.81974486319541,-7.21875,-3.96875,-1.40625,2.234375,3.8125,-1.578125,5,1.3353998838283587e-05,0.0003444041940383613,0.004466301295906305,0.1702359914779663,0.8249399662017822,217e39e9d23ce8951533dbb6eff28c9f9a917794
4.578169467531097,-7.53125,-5.5,-1.625,3.765625,4.09375,-0.328125,5,5.186585894989548e-06,3.9540507714264095e-05,0.0019051684066653252,0.41788047552108765,0.5801695585250854,4,"[4,4,5]",4.433093062420085,-6.625,-3.96875,-0.734375,2.046875,1.9765625,0.0703125,4,8.581141446484253e-05,0.0012221930082887411,0.03103208914399147,0.5008325576782227,0.46682727336883545,2a2241cfdd7c2b082c949da68ad249a764ca3d0c
4.155243527624407,-6.4375,-5.46875,-0.91015625,3.296875,1.7109375,1.5859375,4,4.8540488933213055e-05,0.00012788714957423508,0.012206721119582653,0.8197652101516724,0.16785164177417755,5,"[4,5,5]",4.551473716710461,-6.9375,-4.28125,-1.1796875,1.734375,2.09375,-0.359375,5,6.882959860377014e-05,0.000980324693955481,0.021795226261019707,0.40171927213668823,0.5754362940788269,2e7a78ad2158de40302b74642fe0e381e3ae6e3a
4.986130510355906,-5.59375,-8.25,-3.953125,1.7578125,6.03125,-4.2734375,5,8.816438821668271e-06,6.190111889736727e-07,4.547865319182165e-05,0.013741565868258476,0.9862035512924194,4,"[4,4,4]",4.295195794446045,-5.5625,-3.703125,0.287109375,2.25,1.875,0.375,4,0.00022102777438703924,0.0014189369976520538,0.07671846449375153,0.5462261438369751,0.3754153847694397,307318a1c64b45a333161858c42bb2363f51dd79
4.301958102383651,-4.53125,-8.0,-0.0888671875,2.6875,2.09375,0.59375,4,0.00045361873344518244,1.4132921933196485e-05,0.03854724019765854,0.6190906763076782,0.34189435839653015,5,"[4,5,5]",4.812496413662302,-6.3125,-4.15625,-0.9609375,2.046875,3.625,-1.578125,5,3.971003388869576e-05,0.00034304236760362983,0.008376340381801128,0.16956284642219543,0.8216780424118042,322a6bfd1e8ae2d71ec2af1833f55ac487c57cd6
3.7209611722864793,-1.796875,0.2197265625,1.703125,3.15625,-6.8125,1.453125,4,0.005456976126879454,0.04099689796566963,0.18071024119853973,0.7727996706962585,3.619876952143386e-05,3,"[3,3,4]",3.4083420406095684,-3.265625,-1.75,1.09375,0.83203125,-2.09375,-0.26171875,3,0.006794051732867956,0.03092832863330841,0.53135085105896,0.4089953601360321,0.021931467577815056,455000acf9427c815c9177ac052af53992f31cf9
